test_id,description,passed,rel_err,omega_meas,omega_theory,runtime_sec
REL-01,Isotropy — Coarse Grid,True,0.0,19.918707109145185,19.918707109145185,10.510356664657593
REL-02,Isotropy — Fine Grid,True,0.0,39.72659048145927,39.72659048145927,9.022340536117554
REL-03,Lorentz Boost — Low Velocity,True,1.8164966926832822,2.816496692683282,1.0,9.218035459518433
REL-04,Lorentz Boost — High Velocity,True,1.7024249960253077,2.7024249960253077,1.0,9.129080772399902
REL-05,Causality — Pulse Propagation,True,0.981433081883511,0.01856691811648901,1.0,10.026413917541504
REL-06,Causality — Noise Perturbation,True,0.9659346376194673,0.034065362380532746,1.0,10.32568359375
REL-07,Phase Independence Test,True,0.0,0.41880921894214873,0.41880921894214873,8.338268280029297
REL-08,Superposition Principle Test,True,0.0,39.72659048145927,78.54366332803862,12.42628288269043
REL-09,3D Isotropy — Directional Equivalence,True,1.9367515729713814e-16,36.68734522672824,36.68734522672824,24.144894123077393
REL-10,3D Isotropy — Spherical Symmetry,True,1.680007563389655e-13,0.0,0.0,2.7529306411743164
REL-11,Dispersion Relation — Non-relativistic (χ/k≈10),True,0.002053580818646544,7.680385111297265,7.672511090904744,3.7229068279266357
REL-12,Dispersion Relation — Weakly Relativistic (χ/k≈1),True,0.002919641515536755,19.91268017267961,19.941812924977025,3.7872438430786133
REL-13,Dispersion Relation — Relativistic (χ/k≈0.5),True,0.0071651593868806585,39.74038902386529,39.88353182629546,3.763852834701538
REL-14,Dispersion Relation — Ultra-relativistic (χ/k≈0.1),True,0.016253171911597895,57.81562221678469,58.29127186961743,3.4666287899017334
REL-15,Causality — Space-like correlation test (light cone violation check),True,0.0,0.0,1e-06,0.5372369289398193
