quantity,measured,theory,error_pct
omega,5.7815622217e+01,5.8291271870e+01,0.815988
omega2_over_k2,9.8374689323e-01,1.0000000662e+00,1.625317
chi_over_k,2.5732841325e-04,2.5732841325e-04,0.0
