component,value,unit,source
measured_wave_speed,0.986460348162476,arb,summary.json
expected_wave_speed,1.0,arb,summary.json
speed_error,0.013539651837524036,arb,summary.json
wave_frequency,0.02,arb,summary.json
probe_distance,5.1000000000000005,arb,summary.json
lag_samples,517,arb,summary.json
time_lag,5.17,arb,summary.json
