chi,omega_measured,omega_theory,shift_pct,rel_error
3.000000119e-01,3.000000089e-01,3.000000119e-01,-0.000001,9.911907e-09
1.400000006e-01,1.399999992e-01,1.400000006e-01,-0.000001,9.905097e-09
