time,E_rms
0.00000000e+00,7.0710678119e-01
3.00000000e-02,7.0955980916e-01
6.00000000e-02,7.0860639634e-01
9.00000000e-02,7.0747709149e-01
1.20000000e-01,7.0999625854e-01
1.50000000e-01,7.0762955814e-01
1.80000000e-01,7.0839514334e-01
2.10000000e-01,7.0970041971e-01
2.40000000e-01,7.0712266786e-01
2.70000000e-01,7.0939314607e-01
3.00000000e-01,7.0882202658e-01
3.30000000e-01,7.0734451948e-01
3.60000000e-01,7.0996428072e-01
3.90000000e-01,7.0780658120e-01
4.20000000e-01,7.0818178932e-01
4.50000000e-01,7.0981930471e-01
4.80000000e-01,7.0717081295e-01
5.10000000e-01,7.0920758922e-01
5.40000000e-01,7.0903158404e-01
5.70000000e-01,7.0723918616e-01
6.00000000e-01,7.0990061849e-01
6.30000000e-01,7.0800040317e-01
6.60000000e-01,7.0797677170e-01
6.90000000e-01,7.0990974916e-01
7.20000000e-01,7.0725012671e-01
7.50000000e-01,7.0900730078e-01
7.80000000e-01,7.0923036083e-01
8.10000000e-01,7.0716347428e-01
8.40000000e-01,7.0980669606e-01
8.70000000e-01,7.0820665088e-01
9.00000000e-01,7.0778471284e-01
9.30000000e-01,7.0996972913e-01
9.60000000e-01,7.0735881437e-01
9.90000000e-01,7.0879677699e-01
1.02000000e+00,7.0941389506e-01
1.05000000e+00,7.0711909715e-01
1.08000000e+00,7.0968461529e-01
1.11000000e+00,7.0842067475e-01
1.14000000e+00,7.0760994652e-01
1.17000000e+00,7.0999790281e-01
1.20000000e+00,7.0749441744e-01
1.23000000e+00,7.0858074796e-01
1.26000000e+00,7.0957807033e-01
1.29000000e+00,7.0710705928e-01
1.32000000e+00,7.0953710944e-01
1.35000000e+00,7.0863765414e-01
1.38000000e+00,7.0745641936e-01
1.41000000e+00,7.0999364006e-01
1.44000000e+00,7.0765387019e-01
1.47000000e+00,7.0836407182e-01
1.50000000e+00,7.0971920708e-01
1.53000000e+00,7.0712763318e-01
1.56000000e+00,7.0936748287e-01
1.59000000e+00,7.0885270626e-01
1.62000000e+00,7.0732760078e-01
1.65000000e+00,7.0995703621e-01
1.68000000e+00,7.0783356994e-01
1.71000000e+00,7.0815162569e-01
1.74000000e+00,7.0983414414e-01
1.77000000e+00,7.0718035310e-01
1.80000000e+00,7.0917953798e-01
1.83000000e+00,7.0906099610e-01
1.86000000e+00,7.0722640353e-01
1.89000000e+00,7.0988891000e-01
1.92000000e+00,7.0802945943e-01
1.95000000e+00,7.0794819579e-01
1.98000000e+00,7.0992030852e-01
2.01000000e+00,7.0726402577e-01
2.04000000e+00,7.0897749100e-01
2.07000000e+00,7.0925784482e-01
2.10000000e+00,7.0715511695e-01
2.13000000e+00,7.0979078557e-01
2.16000000e+00,7.0823711940e-01
2.19000000e+00,7.0775836924e-01
2.22000000e+00,7.0997577216e-01
2.25000000e+00,7.0737675788e-01
2.28000000e+00,7.0876587820e-01
2.31000000e+00,7.0943883437e-01
2.34000000e+00,7.0711535428e-01
2.37000000e+00,7.0966485895e-01
2.40000000e+00,7.0845186900e-01
2.43000000e+00,7.0758642994e-01
2.46000000e+00,7.0999929436e-01
2.49000000e+00,7.0751599963e-01
2.52000000e+00,7.0854945474e-01
2.55000000e+00,7.0959990584e-01
2.58000000e+00,7.0710801560e-01
2.61000000e+00,7.0951394969e-01
2.64000000e+00,7.0866887185e-01
2.67000000e+00,7.0743626109e-01
2.70000000e+00,7.0999034900e-01
2.73000000e+00,7.0767860330e-01
2.76000000e+00,7.0833308826e-01
2.79000000e+00,7.0973744959e-01
2.82000000e+00,7.0713326703e-01
2.85000000e+00,7.0934143871e-01
2.88000000e+00,7.0888324531e-01
2.91000000e+00,7.0731125651e-01
2.94000000e+00,7.0994913615e-01
2.97000000e+00,7.0786089536e-01
