time,peak_position,width,max_gradient
0.0,30.700000000000003,13.0,1.9624944668825501
0.5,30.700000000000003,13.200000000000001,1.0177724086382407
1.0,30.700000000000003,15.3,0.8724676489238817
1.5,30.700000000000003,13.0,1.8734370137135763
2.0,30.700000000000003,16.5,1.0842356331537444
2.5,35.0,20.900000000000002,0.7038410252384365
3.0,30.700000000000003,15.9,1.6286156716599445
3.5,30.700000000000003,19.8,1.0381735671624421
4.0,25.1,21.3,0.8093708083210799
4.5,30.700000000000003,19.1,1.2888743500244433
5.0,35.7,23.0,1.0105555004398543
5.5,36.300000000000004,24.200000000000003,0.9199743896581749
6.0,36.800000000000004,25.0,1.046944753694358
6.5,24.200000000000003,26.0,0.9961898526338964
7.0,37.800000000000004,27.1,0.964950086057122
7.5,38.300000000000004,28.0,0.9957600719315647
8.0,38.800000000000004,29.1,0.9888823931081266
8.5,39.300000000000004,30.1,0.9791146568877864
9.0,39.800000000000004,31.1,0.9858749270511876
9.5,40.300000000000004,32.1,0.9856717498509201
10.0,40.800000000000004,33.1,0.984704055296744
10.5,41.300000000000004,34.1,0.9857788376159069
11.0,41.800000000000004,35.1,0.9860607891198209
11.5,42.300000000000004,36.1,0.9861406428453842
12.0,42.800000000000004,37.1,0.9863578261929958
12.5,43.300000000000004,38.1,0.9864659904710767
13.0,17.6,39.1,0.9864987361368451
13.5,17.1,40.1,0.9864839529854715
14.0,16.6,41.1,0.986406808410259
14.5,16.1,42.1,0.9862683741540015
15.0,15.600000000000001,43.1,0.986070215162714
15.5,15.100000000000001,44.1,0.9858117193396179
16.0,14.600000000000001,45.2,0.9862425952473072
16.5,14.100000000000001,46.2,0.9867846248654216
17.0,13.600000000000001,47.2,0.9872664433841135
17.5,13.100000000000001,48.2,0.9876880112334624
18.0,12.600000000000001,49.2,0.9880492940668117
18.5,12.100000000000001,50.2,0.988350259646655
19.0,11.600000000000001,51.2,0.9885908798916063
19.5,50.400000000000006,52.2,0.98877113060513
20.0,50.900000000000006,53.2,0.9888909914042978
20.5,51.400000000000006,54.2,0.9889504457555516
21.0,51.900000000000006,55.2,0.9889494809729991
21.5,52.400000000000006,56.2,0.9888880882190384
22.0,52.900000000000006,57.2,0.9887662625057498
22.5,53.400000000000006,58.2,0.98893645784015
23.0,53.900000000000006,59.2,0.9893092071453607
23.5,54.400000000000006,60.2,0.9896215532778165
24.0,54.900000000000006,61.2,0.9898734689727797
24.5,55.400000000000006,102.30000000000001,0.9900649308392174
25.0,55.900000000000006,101.5,0.9901959193791745
25.5,56.400000000000006,102.30000000000001,0.9902664189633531
26.0,4.5,102.30000000000001,0.9902764178228726
26.5,4.0,101.7,0.9902259080466865
27.0,3.5,102.30000000000001,0.9901148855695227
27.5,3.0,102.30000000000001,0.9899433501520247
28.0,2.5,101.9,0.9897113053877357
28.5,2.0,102.30000000000001,0.9894187587648032
29.0,1.5,102.30000000000001,0.9893711239400634
29.5,1.0,102.30000000000001,0.9898818268899954
30.0,0.5,102.30000000000001,0.9903320905887109
30.5,0.0,102.30000000000001,0.9907218814850884
31.0,101.9,102.30000000000001,0.9910511698788904
31.5,101.4,101.9,0.991319929922802
32.0,100.9,102.30000000000001,0.9915281396249104
32.5,63.5,102.30000000000001,0.9916757808499203
33.0,64.0,101.9,0.9917628393210648
33.5,64.5,102.30000000000001,0.9917893046213186
34.0,65.0,102.30000000000001,0.9917551701941459
34.5,65.5,101.80000000000001,0.9916604333446832
35.0,66.0,102.30000000000001,0.9915050952397398
35.5,66.5,102.30000000000001,0.9913444054861567
36.0,67.0,101.7,0.9916848995279882
36.5,67.5,102.30000000000001,0.9919648261482028
37.0,68.0,102.30000000000001,0.9921842088947802
37.5,68.5,40.0,0.9923427721424605
38.0,69.0,39.0,0.9924408012264138
38.5,69.5,38.0,0.9924797656821163
39.0,93.80000000000001,37.0,0.9924533496006177
39.5,93.30000000000001,36.0,0.9923662079058023
40.0,92.80000000000001,35.0,0.9922514056297865
40.5,92.30000000000001,34.0,0.9920012686500912
41.0,91.80000000000001,33.0,0.9916592338512809
41.5,91.30000000000001,32.0,0.9917327362307916
42.0,90.80000000000001,30.900000000000002,0.9909330447625722
42.5,90.30000000000001,29.900000000000002,0.9902778284558058
43.0,89.80000000000001,28.900000000000002,0.9945913697056252
43.5,89.30000000000001,27.900000000000002,0.9916164340708369
44.0,73.5,28.1,0.9834008378803003
44.5,75.60000000000001,25.900000000000002,1.0087874063713944
45.0,87.80000000000001,26.1,0.9958915816004129
45.5,88.80000000000001,26.400000000000002,0.9432392610915811
46.0,77.10000000000001,22.8,1.0733505794940879
46.5,77.5,21.900000000000002,1.036097589205184
47.0,87.30000000000001,23.6,0.8426284551508223
47.5,81.9,19.5,1.2849656729874643
48.0,81.9,18.7,1.295237401463163
48.5,76.5,20.900000000000002,0.6404185527738888
49.0,81.9,16.2,1.4833606254475118
49.5,81.9,15.600000000000001,1.598930601637441
