quantity,measured,theory,error_pct
omega,7.6803851700e+00,7.6725110909e+00,0.102627
omega2_over_k2,1.0027349474e+00,1.0006799550e+00,0.205360
chi_over_k,2.6075945876e-02,2.6075945876e-02,0.0
energy_drift,4.4017382717e-04,1.0000000000e-02,4.401738
