dir,omega_theory,omega_meas_serial,omega_meas_parallel,rel_err_serial,rel_err_parallel,backend_gap,serial_t,parallel_t
x,0.09817477042468103,0.06872233929727672,0.06872233929727672,0.3,0.3,0.0,5.980251312255859,6.269748687744141
y,0.09817477042468103,0.12762720155208535,0.12762720155208535,0.3,0.3,0.0,6.134610652923584,6.398932695388794
z,0.09817477042468103,0.12762720155208535,0.12762720155208535,0.3,0.3,0.0,6.126641273498535,6.2767229080200195
d,0.09817477042468105,0.12762720155208537,0.12762720155208537,0.3000000000000001,0.3000000000000001,0.0,6.100933074951172,6.198994159698486
