step,dim,tile,global_mean,global_rms,tile_mean,tile_rms,tile_maxabs,rel_mean_gap
50,3,"0:0-64,0-64,0-64",0.05983377512332469,0.11982339316321776,0.05983377512332469,0.11982339316321776,0.6365299716186932,0.0
100,3,"0:0-64,0-64,0-64",0.05983377512332469,0.0819655732403893,0.05983377512332469,0.0819655732403893,0.17975365519434944,0.0
150,3,"0:0-64,0-64,0-64",0.05983377512332469,0.08820164238189399,0.05983377512332469,0.08820164238189399,0.411168164084358,0.0
200,3,"0:0-64,0-64,0-64",0.05983377512332469,0.11106655486442177,0.05983377512332469,0.11106655486442177,0.4008976414058851,0.0
