step,energy,drift,cfl_ratio,cfl_limit,max_abs,edge_ratio,grad_ratio,has_bad,checksum
10,1.5496108016e+00,2.024718e-03,0.040000,0.577350,9.958957e-01,0.236413,1.000000,0,2088526385
20,1.5551617656e+00,5.614137e-03,0.040000,0.577350,9.843790e-01,0.243939,1.000000,0,1375126511
30,1.5538735134e+00,4.781115e-03,0.040000,0.577350,9.655926e-01,0.257094,1.000000,0,874716641
40,1.5495388701e+00,1.978205e-03,0.040000,0.577350,9.397678e-01,0.276099,1.000000,0,2806032330
50,1.5502639306e+00,2.447051e-03,0.040000,0.577350,9.072215e-01,0.300740,1.000000,0,1114761381
60,1.5538671969e+00,4.777031e-03,0.040000,0.577350,8.683502e-01,0.330648,1.000000,0,3184800032
70,1.5538611019e+00,4.773089e-03,0.040000,0.577350,8.236231e-01,0.365325,1.000000,0,3417324592
80,1.5521419853e+00,3.661457e-03,0.040000,0.577350,7.735750e-01,0.404113,1.000000,0,964031759
90,1.5541648452e+00,4.969499e-03,0.040000,0.577350,7.187965e-01,0.446430,1.000000,0,1780665341
100,1.5579914710e+00,7.443910e-03,0.040000,0.577350,6.599249e-01,0.492051,1.000000,0,3261695160
