quantity,measured,theory,error_pct
omega,1.9912680173e+01,1.9941812925e+01,0.146089
omega2_over_k2,9.9708662670e-01,1.0000062866e+00,0.291964
chi_over_k,2.5073024881e-03,2.5073024881e-03,0.0
