x,chi
9.950000e+00,1.388700e-02
1.000000e+01,1.390600e-02
1.005000e+01,1.392600e-02
1.010000e+01,1.394500e-02
1.015000e+01,1.396500e-02
1.020000e+01,1.398400e-02
1.025000e+01,1.400400e-02
1.030000e+01,1.402300e-02
1.035000e+01,1.404300e-02
1.040000e+01,1.406200e-02
1.045000e+01,1.408200e-02
1.050000e+01,1.410200e-02
1.055000e+01,1.412100e-02
1.060000e+01,1.414100e-02
1.065000e+01,1.416000e-02
1.070000e+01,1.418000e-02
1.075000e+01,1.419900e-02
1.080000e+01,1.421900e-02
1.085000e+01,1.423800e-02
1.090000e+01,1.425800e-02
1.095000e+01,1.427700e-02
1.100000e+01,1.429700e-02
1.105000e+01,1.431600e-02
1.110000e+01,1.433600e-02
1.115000e+01,1.435500e-02
1.120000e+01,1.437500e-02
1.125000e+01,1.439500e-02
1.130000e+01,1.441400e-02
1.135000e+01,1.443400e-02
1.140000e+01,1.445300e-02
1.145000e+01,1.447300e-02
1.150000e+01,1.449200e-02
1.155000e+01,1.451200e-02
1.160000e+01,1.453100e-02
1.165000e+01,1.455100e-02
1.170000e+01,1.457000e-02
1.175000e+01,1.459000e-02
1.180000e+01,1.460900e-02
1.185000e+01,1.462900e-02
1.190000e+01,1.464800e-02
1.195000e+01,1.466800e-02
1.200000e+01,1.468700e-02
1.205000e+01,1.470700e-02
1.210000e+01,1.472700e-02
1.215000e+01,1.474600e-02
1.220000e+01,1.476600e-02
1.225000e+01,1.478500e-02
1.230000e+01,1.480500e-02
1.235000e+01,1.482400e-02
1.240000e+01,1.484400e-02
1.245000e+01,1.486300e-02
1.250000e+01,1.488300e-02
1.255000e+01,1.490200e-02
1.260000e+01,1.492200e-02
1.265000e+01,1.494100e-02
1.270000e+01,1.496100e-02
1.275000e+01,1.498000e-02
1.280000e+01,1.500000e-02
1.285000e+01,1.502000e-02
1.290000e+01,1.503900e-02
1.295000e+01,1.505900e-02
1.300000e+01,1.507800e-02
1.305000e+01,1.509800e-02
1.310000e+01,1.511700e-02
1.315000e+01,1.513700e-02
1.320000e+01,1.515600e-02
1.325000e+01,1.517600e-02
1.330000e+01,1.519500e-02
1.335000e+01,1.521500e-02
1.340000e+01,1.523400e-02
1.345000e+01,1.525400e-02
1.350000e+01,1.527300e-02
1.355000e+01,1.529300e-02
1.360000e+01,1.531300e-02
1.365000e+01,1.533200e-02
1.370000e+01,1.535200e-02
1.375000e+01,1.537100e-02
1.380000e+01,1.539100e-02
1.385000e+01,1.541000e-02
1.390000e+01,1.543000e-02
1.395000e+01,1.544900e-02
1.400000e+01,1.546900e-02
1.405000e+01,1.548800e-02
1.410000e+01,1.550800e-02
1.415000e+01,1.552700e-02
1.420000e+01,1.554700e-02
1.425000e+01,1.556600e-02
1.430000e+01,1.558600e-02
1.435000e+01,1.560500e-02
1.440000e+01,1.562500e-02
1.445000e+01,1.564500e-02
1.450000e+01,1.566400e-02
1.455000e+01,1.568400e-02
1.460000e+01,1.570300e-02
1.465000e+01,1.572300e-02
1.470000e+01,1.574200e-02
1.475000e+01,1.576200e-02
1.480000e+01,1.578100e-02
1.485000e+01,1.580100e-02
1.490000e+01,1.582000e-02
1.495000e+01,1.584000e-02
1.500000e+01,1.585900e-02
1.505000e+01,1.587900e-02
1.510000e+01,1.589800e-02
1.515000e+01,1.591800e-02
1.520000e+01,1.593700e-02
1.525000e+01,1.595700e-02
1.530000e+01,1.597700e-02
1.535000e+01,1.599600e-02
1.540000e+01,1.601600e-02
1.545000e+01,1.603500e-02
1.550000e+01,1.605500e-02
1.555000e+01,1.607400e-02
1.560000e+01,1.609400e-02
1.565000e+01,1.611300e-02
1.570000e+01,1.613300e-02
1.575000e+01,1.615200e-02
1.580000e+01,1.617200e-02
1.585000e+01,1.619100e-02
1.590000e+01,1.621100e-02
1.595000e+01,1.623000e-02
1.600000e+01,1.625000e-02
1.605000e+01,1.627000e-02
1.610000e+01,1.628900e-02
1.615000e+01,1.630900e-02
1.620000e+01,1.632800e-02
1.625000e+01,1.634800e-02
1.630000e+01,1.636700e-02
1.635000e+01,1.638700e-02
1.640000e+01,1.640600e-02
1.645000e+01,1.642600e-02
1.650000e+01,1.644500e-02
1.655000e+01,1.646500e-02
1.660000e+01,1.648400e-02
1.665000e+01,1.650400e-02
1.670000e+01,1.652300e-02
1.675000e+01,1.654300e-02
1.680000e+01,1.656200e-02
1.685000e+01,1.658200e-02
1.690000e+01,1.660200e-02
1.695000e+01,1.662100e-02
1.700000e+01,1.664100e-02
1.705000e+01,1.666000e-02
1.710000e+01,1.668000e-02
1.715000e+01,1.669900e-02
1.720000e+01,1.671900e-02
1.725000e+01,1.673800e-02
1.730000e+01,1.675800e-02
1.735000e+01,1.677700e-02
1.740000e+01,1.679700e-02
1.745000e+01,1.681600e-02
1.750000e+01,1.683600e-02
1.755000e+01,1.685500e-02
1.760000e+01,1.687500e-02
1.765000e+01,1.689500e-02
1.770000e+01,1.691400e-02
1.775000e+01,1.693400e-02
1.780000e+01,1.695300e-02
1.785000e+01,1.697300e-02
1.790000e+01,1.699200e-02
1.795000e+01,1.701200e-02
1.800000e+01,1.703100e-02
1.805000e+01,1.705100e-02
1.810000e+01,1.707000e-02
1.815000e+01,1.709000e-02
1.820000e+01,1.710900e-02
1.825000e+01,1.712900e-02
1.830000e+01,1.714800e-02
1.835000e+01,1.716800e-02
1.840000e+01,1.718700e-02
1.845000e+01,1.720700e-02
1.850000e+01,1.722700e-02
1.855000e+01,1.724600e-02
1.860000e+01,1.726600e-02
1.865000e+01,1.728500e-02
1.870000e+01,1.730500e-02
1.875000e+01,1.732400e-02
1.880000e+01,1.734400e-02
1.885000e+01,1.736300e-02
1.890000e+01,1.738300e-02
1.895000e+01,1.740200e-02
1.900000e+01,1.742200e-02
1.905000e+01,1.744100e-02
1.910000e+01,1.746100e-02
1.915000e+01,1.748000e-02
1.920000e+01,1.750000e-02
1.925000e+01,1.752000e-02
1.930000e+01,1.753900e-02
1.935000e+01,1.755900e-02
1.940000e+01,1.757800e-02
1.945000e+01,1.759800e-02
1.950000e+01,1.761700e-02
1.955000e+01,1.763700e-02
1.960000e+01,1.765600e-02
1.965000e+01,1.767600e-02
1.970000e+01,1.769500e-02
1.975000e+01,1.771500e-02
1.980000e+01,1.773400e-02
1.985000e+01,1.775400e-02
1.990000e+01,1.777300e-02
1.995000e+01,1.779300e-02
2.000000e+01,1.781200e-02
2.005000e+01,1.783200e-02
2.010000e+01,1.785200e-02
2.015000e+01,1.787100e-02
2.020000e+01,1.789100e-02
2.025000e+01,1.791000e-02
2.030000e+01,1.793000e-02
2.035000e+01,1.794900e-02
2.040000e+01,1.796900e-02
2.045000e+01,1.798800e-02
2.050000e+01,1.800800e-02
2.055000e+01,1.802700e-02
2.060000e+01,1.804700e-02
2.065000e+01,1.806600e-02
2.070000e+01,1.808600e-02
2.075000e+01,1.810500e-02
2.080000e+01,1.812500e-02
2.085000e+01,1.814500e-02
2.090000e+01,1.816400e-02
2.095000e+01,1.818400e-02
2.100000e+01,1.820300e-02
2.105000e+01,1.822300e-02
2.110000e+01,1.824200e-02
2.115000e+01,1.826200e-02
2.120000e+01,1.828100e-02
2.125000e+01,1.830100e-02
2.130000e+01,1.832000e-02
2.135000e+01,1.834000e-02
2.140000e+01,1.835900e-02
2.145000e+01,1.837900e-02
2.150000e+01,1.839800e-02
2.155000e+01,1.841800e-02
2.160000e+01,1.843700e-02
2.165000e+01,1.845700e-02
2.170000e+01,1.847700e-02
2.175000e+01,1.849600e-02
2.180000e+01,1.851600e-02
2.185000e+01,1.853500e-02
2.190000e+01,1.855500e-02
2.195000e+01,1.857400e-02
2.200000e+01,1.859400e-02
2.205000e+01,1.861300e-02
2.210000e+01,1.863300e-02
2.215000e+01,1.865200e-02
2.220000e+01,1.867200e-02
2.225000e+01,1.869100e-02
2.230000e+01,1.871100e-02
2.235000e+01,1.873000e-02
2.240000e+01,1.875000e-02
2.245000e+01,1.877000e-02
2.250000e+01,1.878900e-02
2.255000e+01,1.880900e-02
2.260000e+01,1.882800e-02
2.265000e+01,1.884800e-02
2.270000e+01,1.886700e-02
2.275000e+01,1.888700e-02
2.280000e+01,1.890600e-02
2.285000e+01,1.892600e-02
2.290000e+01,1.894500e-02
2.295000e+01,1.896500e-02
2.300000e+01,1.898400e-02
2.305000e+01,1.900400e-02
2.310000e+01,1.902300e-02
2.315000e+01,1.904300e-02
2.320000e+01,1.906300e-02
2.325000e+01,1.908200e-02
2.330000e+01,1.910200e-02
2.335000e+01,1.912100e-02
2.340000e+01,1.914100e-02
2.345000e+01,1.916000e-02
2.350000e+01,1.918000e-02
2.355000e+01,1.919900e-02
2.360000e+01,1.921900e-02
2.365000e+01,1.923800e-02
2.370000e+01,1.925800e-02
2.375000e+01,1.927700e-02
2.380000e+01,1.929700e-02
2.385000e+01,1.931600e-02
2.390000e+01,1.933600e-02
2.395000e+01,1.935500e-02
2.400000e+01,1.937500e-02
2.405000e+01,1.939500e-02
2.410000e+01,1.941400e-02
2.415000e+01,1.943400e-02
2.420000e+01,1.945300e-02
2.425000e+01,1.947300e-02
2.430000e+01,1.949200e-02
2.435000e+01,1.951200e-02
2.440000e+01,1.953100e-02
2.445000e+01,1.955100e-02
2.450000e+01,1.957000e-02
2.455000e+01,1.959000e-02
2.460000e+01,1.960900e-02
2.465000e+01,1.962900e-02
2.470000e+01,1.964800e-02
2.475000e+01,1.966800e-02
2.480000e+01,1.968700e-02
2.485000e+01,1.970700e-02
2.490000e+01,1.972700e-02
2.495000e+01,1.974600e-02
2.500000e+01,1.976600e-02
2.505000e+01,1.978500e-02
2.510000e+01,1.980500e-02
2.515000e+01,1.982400e-02
2.520000e+01,1.984400e-02
2.525000e+01,1.986300e-02
2.530000e+01,1.988300e-02
2.535000e+01,1.990200e-02
2.540000e+01,1.992200e-02
2.545000e+01,1.994100e-02
2.550000e+01,1.996100e-02
2.555000e+01,1.998000e-02
2.560000e+01,2.000000e-02
2.565000e+01,2.002000e-02
2.570000e+01,2.003900e-02
2.575000e+01,2.005900e-02
2.580000e+01,2.007800e-02
2.585000e+01,2.009800e-02
2.590000e+01,2.011700e-02
2.595000e+01,2.013700e-02
2.600000e+01,2.015600e-02
2.605000e+01,2.017600e-02
2.610000e+01,2.019500e-02
2.615000e+01,2.021500e-02
2.620000e+01,2.023400e-02
2.625000e+01,2.025400e-02
2.630000e+01,2.027300e-02
2.635000e+01,2.029300e-02
2.640000e+01,2.031200e-02
2.645000e+01,2.033200e-02
2.650000e+01,2.035200e-02
2.655000e+01,2.037100e-02
2.660000e+01,2.039100e-02
2.665000e+01,2.041000e-02
2.670000e+01,2.043000e-02
2.675000e+01,2.044900e-02
2.680000e+01,2.046900e-02
2.685000e+01,2.048800e-02
2.690000e+01,2.050800e-02
2.695000e+01,2.052700e-02
2.700000e+01,2.054700e-02
2.705000e+01,2.056600e-02
2.710000e+01,2.058600e-02
2.715000e+01,2.060500e-02
2.720000e+01,2.062500e-02
2.725000e+01,2.064500e-02
2.730000e+01,2.066400e-02
2.735000e+01,2.068400e-02
2.740000e+01,2.070300e-02
2.745000e+01,2.072300e-02
2.750000e+01,2.074200e-02
2.755000e+01,2.076200e-02
2.760000e+01,2.078100e-02
2.765000e+01,2.080100e-02
2.770000e+01,2.082000e-02
2.775000e+01,2.084000e-02
2.780000e+01,2.085900e-02
2.785000e+01,2.087900e-02
2.790000e+01,2.089800e-02
2.795000e+01,2.091800e-02
2.800000e+01,2.093700e-02
2.805000e+01,2.095700e-02
2.810000e+01,2.097700e-02
2.815000e+01,2.099600e-02
2.820000e+01,2.101600e-02
2.825000e+01,2.103500e-02
2.830000e+01,2.105500e-02
2.835000e+01,2.107400e-02
2.840000e+01,2.109400e-02
2.845000e+01,2.111300e-02
2.850000e+01,2.113300e-02
2.855000e+01,2.115200e-02
2.860000e+01,2.117200e-02
2.865000e+01,2.119100e-02
2.870000e+01,2.121100e-02
2.875000e+01,2.123000e-02
2.880000e+01,2.125000e-02
2.885000e+01,2.127000e-02
2.890000e+01,2.128900e-02
2.895000e+01,2.130900e-02
2.900000e+01,2.132800e-02
2.905000e+01,2.134800e-02
2.910000e+01,2.136700e-02
2.915000e+01,2.138700e-02
2.920000e+01,2.140600e-02
2.925000e+01,2.142600e-02
2.930000e+01,2.144500e-02
2.935000e+01,2.146500e-02
2.940000e+01,2.148400e-02
2.945000e+01,2.150400e-02
2.950000e+01,2.152300e-02
2.955000e+01,2.154300e-02
2.960000e+01,2.156200e-02
2.965000e+01,2.158200e-02
2.970000e+01,2.160200e-02
2.975000e+01,2.162100e-02
2.980000e+01,2.164100e-02
2.985000e+01,2.166000e-02
2.990000e+01,2.168000e-02
2.995000e+01,2.169900e-02
3.000000e+01,2.171900e-02
3.005000e+01,2.173800e-02
3.010000e+01,2.175800e-02
3.015000e+01,2.177700e-02
3.020000e+01,2.179700e-02
3.025000e+01,2.181600e-02
3.030000e+01,2.183600e-02
3.035000e+01,2.185500e-02
3.040000e+01,2.187500e-02
3.045000e+01,2.189500e-02
3.050000e+01,2.191400e-02
3.055000e+01,2.193400e-02
3.060000e+01,2.195300e-02
3.065000e+01,2.197300e-02
3.070000e+01,2.199200e-02
3.075000e+01,2.201200e-02
3.080000e+01,2.203100e-02
3.085000e+01,2.205100e-02
3.090000e+01,2.207000e-02
3.095000e+01,2.209000e-02
3.100000e+01,2.210900e-02
3.105000e+01,2.212900e-02
3.110000e+01,2.214800e-02
3.115000e+01,2.216800e-02
3.120000e+01,2.218700e-02
3.125000e+01,2.220700e-02
3.130000e+01,2.222700e-02
3.135000e+01,2.224600e-02
3.140000e+01,2.226600e-02
3.145000e+01,2.228500e-02
3.150000e+01,2.230500e-02
3.155000e+01,2.232400e-02
3.160000e+01,2.234400e-02
3.165000e+01,2.236300e-02
3.170000e+01,2.238300e-02
3.175000e+01,2.240200e-02
3.180000e+01,2.242200e-02
3.185000e+01,2.244100e-02
3.190000e+01,2.246100e-02
3.195000e+01,2.248000e-02
3.200000e+01,2.250000e-02
3.205000e+01,2.252000e-02
3.210000e+01,2.253900e-02
3.215000e+01,2.255900e-02
3.220000e+01,2.257800e-02
3.225000e+01,2.259800e-02
3.230000e+01,2.261700e-02
3.235000e+01,2.263700e-02
3.240000e+01,2.265600e-02
3.245000e+01,2.267600e-02
3.250000e+01,2.269500e-02
3.255000e+01,2.271500e-02
3.260000e+01,2.273400e-02
3.265000e+01,2.275400e-02
3.270000e+01,2.277300e-02
3.275000e+01,2.279300e-02
3.280000e+01,2.281300e-02
3.285000e+01,2.283200e-02
3.290000e+01,2.285200e-02
3.295000e+01,2.287100e-02
3.300000e+01,2.289100e-02
3.305000e+01,2.291000e-02
3.310000e+01,2.293000e-02
3.315000e+01,2.294900e-02
3.320000e+01,2.296900e-02
3.325000e+01,2.298800e-02
