time,entropy,energy
0.0,0.469260844348527,1.0
0.25,0.49955576589592177,1.1053496543042876
0.5,0.46971793580568727,1.002078747980273
0.75,0.5038033400339841,1.102636370253687
1.0,0.471084144339561,1.0053814538489074
1.25,0.504272109720844,1.098799230133712
1.5,0.4733667040737176,1.0096896601015597
1.75,0.5050490089732401,1.0940900030865488
2.0,0.4765630312257719,1.0147250363569398
2.25,0.5061687496322259,1.0888062439592898
2.5,0.4806410720115998,1.0201784609960558
2.75,0.507597840985209,1.0832609325428333
3.0,0.4855215127165721,1.0257405929824428
3.25,0.5093015545458417,1.0777527297227159
3.5,0.4910771960383635,1.0311298221559515
3.75,0.5112471255029561,1.0725406737436902
4.0,0.49719964947970025,1.0361142179265783
4.25,0.5133942223078231,1.0678261270981595
4.5,0.5038314667665895,1.0405253282071156
4.75,0.5156983409252625,1.0637434039450235
5.0,0.510697364472342,1.0442631350047846
5.25,0.518121206812061,1.0603590537471463
5.5,0.5172959156934017,1.0472928572266589
5.75,0.5206438555762707,1.0576785241274547
6.0,0.5230869063323904,1.0496353624108754
6.25,0.5233019653610794,1.055658073040328
6.5,0.5276633783563937,1.0513535613895173
6.75,0.5261973964442275,1.0542194364962387
7.0,0.5308429501688616,1.0525372811030613
7.25,0.529137153814959,1.0532648615536218
7.5,0.5326826579449452,1.053288810388669
7.75,0.5318862671721039,1.052690576378838
8.0,0.5334173425089676,1.0537107294384762
8.25,0.5342850186221214,1.052397433648359
8.5,0.5333877399671091,1.0538969295211154
8.75,0.536215657337931,1.052298169180835
9.0,0.5329716047281468,1.0539270554557036
9.25,0.5376045856645805,1.0523213327143683
9.5,0.5326019904943233,1.0538640676381823
9.75,0.5384250389641045,1.05241239001936
10.0,0.5329772609453138,1.053754278037659
10.25,0.5386957713020328,1.0525327366154213
10.5,0.5339679237643681,1.053629069742297
10.75,0.5384768399836618,1.0526574197826597
11.0,0.5351262670514666,1.0535075291408464
11.25,0.5378661279717144,1.052772282673692
11.5,0.5362294967182416,1.053399350699291
11.75,0.5369988901473998,1.0528710785444726
12.0,0.5371433065709879,1.0533075604974658
12.25,0.5360608327276492,1.0529529071448478
12.5,0.5377900239212415,1.0532307992842662
12.75,0.5353669896195102,1.053020138989269
13.0,0.5381345466710903,1.0531650770962597
13.25,0.535498045052859,1.0530768403345625
13.5,0.5381767040061384,1.0531050435836675
13.75,0.5359615254910896,1.053127601566788
