time,KE,GE,PE,H_total
0.0,0.0,0.9999999999999999,0.0,0.9999999999999999
0.005,0.04598973465858526,0.9503025101074926,0.0,0.9962922447660778
0.01,0.1748268278401061,0.8199615090891342,0.0,0.9947883369292403
0.015,0.36107937943067314,0.6346582362966541,0.0,0.9957376157273272
0.02,0.5684550872534605,0.43041912143845656,0.0,0.9988742086919171
0.025,0.7574657608964904,0.24602402618904026,0.0,1.0034897870855306
0.03,0.8935776456926261,0.11502473494735577,0.0,1.008602380639982
0.035,0.9540399903872174,0.05913884380207218,0.0,1.0131788341892896
0.04,0.9319438176811784,0.08441365905192445,0.0,1.016357476733103
0.045,0.8367492767830605,0.18087083491371517,0.0,1.0176201116967758
0.05,0.6913543074609184,0.32552294004863797,0.0,1.0168772475095564
0.055,0.5265515471775808,0.4879016363989404,0.0,1.0144531835765211
0.06,0.37425184558042257,0.6367301384338547,0.0,1.0109819840142773
0.065,0.26102942601523843,0.7462158809936241,0.0,1.0072453070088625
0.07,0.2033484092280193,0.8006454980556736,0.0,1.003993907283693
0.075,0.2053384401877482,0.7964560366173069,0.0,1.001794476805055
0.08,0.2593404115908124,0.7415929736444211,0.0,1.0009333852352336
0.085,0.3488089179050185,0.6525833844559529,0.0,1.0013923023609714
0.09,0.4526843329227966,0.5502080561944671,0.0,1.0028923891172636
0.095,0.5501283752085234,0.45486002991119023,0.0,1.0049884051197138
0.1,0.6245748955474807,0.38261018999043556,0.0,1.0071850855379163
0.105,0.6663352146516067,0.3427116522394794,0.0,1.0090468668910861
0.11,0.6734180819565161,0.3368596747225371,0.0,1.010277756679053
0.115,0.6506623440466798,0.360096124723429,0.0,1.0107584687701088
0.12,0.6076316687126962,0.40290803361541705,0.0,1.0105397023281133
0.125,0.5559168960628648,0.4538836730244644,0.0,1.009800569087329
0.13,0.506511769121681,0.5022757307074555,0.0,1.0087874998291366
0.135,0.46779606287805275,0.5399545477458338,0.0,1.0077506106238867
0.14,0.44443262679505624,0.5624592841006464,0.0,1.0068919108957026
0.145,0.43723071804621894,0.5691035686124158,0.0,1.006334286658635
0.15,0.4438103026361009,0.562303431452582,0.0,1.0061137340886828
0.155,0.4597635439031776,0.5464280440485484,0.0,1.006191587951726
0.16,0.479966448516896,0.5265132538960325,0.0,1.0064797024129286
0.165,0.49973605882954053,0.5071341328632077,0.0,1.0068701916927483
0.17,0.5156290172790948,0.49163320270662064,0.0,1.0072622199857155
0.17500000000000002,0.5258004114660827,0.4817803283908875,0.0,1.0075807398569703
0.18,0.5299545816314373,0.47783051562367057,0.0,1.007785097255108
0.185,0.5289988693740701,0.4788693239266448,0.0,1.007868193300715
0.19,0.5245470723379968,0.48330175122591,0.0,1.007848823563907
0.195,0.5184140991706679,0.4893465583947815,0.0,1.0077606575654494
0.2,0.5122083824327972,0.4954327697708725,0.0,1.0076411522036697
0.20500000000000002,0.5070794355363495,0.5004433792706888,0.0,1.0075228148070383
0.21,0.503629321588545,0.5037987175829567,0.0,1.0074280391715016
0.215,0.5019595310727591,0.5054080655907698,0.0,1.007367596663529
0.22,0.5018041244108629,0.505537903504184,0.0,1.007342027915047
0.225,0.5026959807829458,0.5046487777900364,0.0,1.007344758572982
0.23,0.5041217657077277,0.5032439681811076,0.0,1.0073657338888353
0.23500000000000001,0.5056370936940968,0.5017575284065731,0.0,1.0073946221006698
0.24,0.5069306497974505,0.5004923804470502,0.0,1.0074230302445009
0.245,0.5078404336577848,0.4996051398234194,0.0,1.0074455734812042
0.25,0.5083344622376723,0.49912548376627547,0.0,1.0074599460039477
0.255,0.5084717998999851,0.49899451517784676,0.0,1.0074663150778318
0.26,0.5083586917579974,0.4991077107101861,0.0,1.0074664024681836
0.265,0.5081106125399921,0.4993519500813147,0.0,1.0074625626213067
0.27,0.5078260512323637,0.4996310088541584,0.0,1.007457060086522
0.275,0.5075732995883121,0.4998783329648859,0.0,1.007451632553198
0.28,0.5073882722075228,0.5000590586607887,0.0,1.0074473308683114
0.28500000000000003,0.5072797291217569,0.5001648391253493,0.0,1.0074445682471063
0.29,0.5072380123105548,0.5002052762478328,0.0,1.0074432885583877
0.295,0.5072441043430519,0.5001990655585492,0.0,1.007443169901601
0.3,0.5072769682993629,0.5001668344342094,0.0,1.0074438027335724
0.305,0.5073183090819222,0.500126501062091,0.0,1.0074448101440132
0.31,0.5073548304088505,0.5000910728717818,0.0,1.0074459032806322
0.315,0.5073786279129215,0.5000682551884412,0.0,1.0074468831013628
0.32,0.5073865588742595,0.5000610507899597,0.0,1.007447609664219
0.325,0.507379340064258,0.5000686231315956,0.0,1.0074479631958537
0.33,0.5073608535325141,0.5000869654890814,0.0,1.0074478190215954
0.335,0.5073377915441529,0.5001092610335727,0.0,1.0074470525777257
0.34,0.5073194373212291,0.5001261446201947,0.0,1.0074455819414236
0.34500000000000003,0.5073171332397777,0.5001263106982393,0.0,1.0074434439380169
0.35000000000000003,0.5073428960850479,0.5000979904265105,0.0,1.0074408865115583
0.355,0.5074067507333888,0.5000316956295763,0.0,1.007438446362965
0.36,0.5075126974754346,0.4999242727500661,0.0,1.0074369702255006
0.365,0.5076537896038845,0.4997837458907719,0.0,1.0074375354946565
0.37,0.5078074949530034,0.4996337418030369,0.0,1.0074412367560401
0.375,0.5079331809174829,0.4995156522335579,0.0,1.0074488331510407
0.38,0.507973949339124,0.4994863482356312,0.0,1.007460297574755
0.385,0.507864865907558,0.49960950011733074,0.0,1.0074743660248888
0.39,0.5075486265195255,0.4999396133363419,0.0,1.0074882398558673
0.395,0.5069977785556372,0.5004998458011513,0.0,1.0074976243567884
0.4,0.5062399357874995,0.5012573347687674,0.0,1.007497270556267
0.405,0.505379512755787,0.5021025921187353,0.0,1.0074821048745224
0.41000000000000003,0.5046072313908244,0.5028416472992294,0.0,1.0074488786900537
0.41500000000000004,0.5041881147319216,0.5032099505076122,0.0,1.0073980652395338
0.42,0.504420921547019,0.5029145981891395,0.0,1.0073355197361584
0.425,0.5055675894226594,0.5017056795017008,0.0,1.0072732689243602
0.43,0.5077599799630101,0.49946880716844483,0.0,1.007228787131455
0.435,0.5109016300590625,0.49632068242107824,0.0,1.0072223124801407
0.44,0.5145916804398067,0.4926805021251019,0.0,1.0072721825649087
0.445,0.5181032184737474,0.4892855606769375,0.0,1.007388779150685
0.45,0.5204454580310347,0.4871228837908223,0.0,1.007568341821857
0.455,0.5205261396082136,0.4872623075293232,0.0,1.007788447137537
0.46,0.517407286934871,0.4905998415984648,0.0,1.0080071285333358
0.465,0.5106172969534477,0.49754994562911087,0.0,1.0081672425825585
0.47000000000000003,0.5004520019082799,0.5077546868580325,0.0,1.0082066887663124
0.47500000000000003,0.4881760743504074,0.5198974830742389,0.0,1.0080735574246462
0.48,0.47603362953099676,0.531709883327672,0.0,1.0077435128586687
0.485,0.46700028326446374,0.5402349046327372,0.0,1.007235187897201
0.49,0.464259789428798,0.5423588306429595,0.0,1.0066186200717575
0.495,0.4704603259411633,0.5355519405991166,0.0,1.00601226654028
0.5,0.48688373827648435,0.5186823723974958,0.0,1.0055661106739802
0.505,0.5127244712322092,0.4927071670934962,0.0,1.0054316383257054
0.51,0.5447007609147688,0.46102262780240694,0.0,1.0057233887171757
0.515,0.5771910363314674,0.4292893396023996,0.0,1.006480375933867
0.52,0.6029971606903586,0.40464062115334914,0.0,1.0076377818437077
0.525,0.6146934608081265,0.3943254969399943,0.0,1.0090189577481208
0.53,0.6063543742435235,0.40400009672004267,0.0,1.0103544709635661
0.535,0.5753053601671292,0.4360236389991472,0.0,1.0113289991662764
0.54,0.5234570685036561,0.48819239691742355,0.0,1.0116494654210797
0.545,0.45779890482254815,0.5533218470521475,0.0,1.0111207518746956
0.55,0.3897612830210973,0.6199494340721148,0.0,1.009710717093212
0.555,0.3333922338191341,0.6741935990248175,0.0,1.0075858328439515
0.56,0.3025881149444297,0.7025152857618007,0.0,1.0051034007062305
0.5650000000000001,0.307900100067799,0.6948554356665062,0.0,1.0027555357343052
0.5700000000000001,0.3536296240475015,0.6474424223931297,0.0,1.001072046440631
0.5750000000000001,0.4359613223834549,0.5645397504236577,0.0,1.0005010728071126
0.58,0.5427287057907898,0.45856588519482716,0.0,1.001294590985617
0.585,0.6550805232021314,0.3483474142637666,0.0,1.003427937465898
0.59,0.7508785969546097,0.2556984510000437,0.0,1.0065770479546534
0.595,0.8092127111188571,0.2009520970503906,0.0,1.0101648081692476
0.6,0.8150805480994948,0.1983908697386748,0.0,1.0134714178381696
0.605,0.7631495960419514,0.2526374433566072,0.0,1.0157870393985586
0.61,0.6596465842567784,0.356926110428905,0.0,1.0165726946856832
0.615,0.521797073127701,0.49379392776806336,0.0,1.0155910008957643
0.62,0.3747853509106465,0.6381882407570734,0.0,1.0129735916677198
0.625,0.24679435935461172,0.762411756059903,0.0,1.0092061154145147
0.63,0.16316958868994733,0.8418616823510762,0.0,1.0050312710410234
0.635,0.14100200426099302,0.8602885149848413,0.0,1.0012905192458343
0.64,0.18537021791941555,0.813370422020573,0.0,0.9987406399399885
0.645,0.2881249767168396,0.7097630585886898,0.0,0.9978880353055295
0.65,0.4295213318591053,0.569358383868949,0.0,0.9988797157280542
0.655,0.5823455778973406,0.41913061059232404,0.0,1.0014761884896646
0.66,0.7176075174908977,0.28750400687764827,0.0,1.005111524368546
0.665,0.8105159603717706,0.19850890454739428,0.0,1.0090248649191649
0.67,0.8454114168119293,0.16701951699838413,0.0,1.0124309338103135
0.675,0.8186005160393063,0.19608835787330126,0.0,1.0146888739126076
0.68,0.7385483227379912,0.2768824470582068,0.0,1.015430769796198
0.685,0.6235055755072255,0.3911170393582271,0.0,1.0146226148654527
0.6900000000000001,0.4972234376186598,0.5153244981308693,0.0,1.012547935749529
0.6950000000000001,0.38380204924363165,0.6259210374394468,0.0,1.0097230866830784
0.7000000000000001,0.3028464362153038,0.703922154616066,0.0,1.0067685908313697
0.705,0.2659503722745012,0.7383188730317045,0.0,1.0042692453062056
0.71,0.27515175681037046,0.7275037354557575,0.0,1.002655492266128
0.715,0.32350901986597047,0.6786215458953807,0.0,1.0021305657613513
0.72,0.3974640813230593,0.6051907588360268,0.0,1.002654840159086
0.725,0.4802969299637209,0.5236874260989022,0.0,1.0039843560626232
0.73,0.5558125644874705,0.4499358110094001,0.0,1.0057483754968706
0.735,0.6114504608031818,0.3960932625238012,0.0,1.007543723326983
0.74,0.6402338848337208,0.36878884670853895,0.0,1.0090227315422597
0.745,0.6413065850309793,0.368649674986237,0.0,1.0099562600172163
0.75,0.6191474577744821,0.3911141785489716,0.0,1.0102616363234538
0.755,0.581828186056442,0.42816669826891907,0.0,1.0099948843253612
0.76,0.538830766088155,0.47048405549748695,0.0,1.009314821585642
0.765,0.498954442711372,0.5094772810454834,0.0,1.0084317237568554
0.77,0.4687337747490279,0.5388207757742619,0.0,1.00755455052329
0.775,0.451605854105761,0.555242683283755,0.0,1.006848537389516
0.78,0.44786025090148573,0.5585501679237284,0.0,1.006410418825214
0.785,0.455230621068929,0.5510325543146621,0.0,1.0062631753835911
0.79,0.4698765922375469,0.5364908387914981,0.0,1.006367431029045
0.795,0.48747149741449347,0.519171986852907,0.0,1.0066434842674004
0.8,0.5041480606566765,0.5028487962774735,0.0,1.0069968569341499
0.805,0.5171377608574599,0.490203261360515,0.0,1.0073410222179748
0.81,0.5250413959306157,0.48257164399559793,0.0,1.0076130399262135
0.8150000000000001,0.5277612904218215,0.48001911647195594,0.0,1.0077804068937775
0.8200000000000001,0.5261905510913116,0.48164924528471603,0.0,1.0078397963760277
0.8250000000000001,0.521783491895697,0.48602651153590126,0.0,1.0078100034315982
0.8300000000000001,0.5161258858937199,0.491596234040488,0.0,1.007722119934208
0.835,0.5105935793329678,0.4970162183779669,0.0,1.0076097977109346
0.84,0.5061461554772498,0.5013555255792389,0.0,1.0075016810564887
0.845,0.5032611892327707,0.5041558529989014,0.0,1.0074170422316722
0.85,0.5019832751043077,0.5053813786026772,0.0,1.007364653706985
0.855,0.5020448812026025,0.5052993196812895,0.0,1.007344200883892
0.86,0.5030131390873342,0.5043360363142295,0.0,1.0073491754015638
0.865,0.5044246119942539,0.5029455613792606,0.0,1.0073701733735145
0.87,0.5058839951050176,0.5015137628406577,0.0,1.0073977579456752
0.875,0.507117713877786,0.5003066882363504,0.0,1.0074244021141365
0.88,0.5079857937509417,0.4994595916958163,0.0,1.007445385446758
0.885,0.5084631775880116,0.49899561525934366,0.0,1.0074587928473553
0.89,0.5086045390100492,0.49886037731442023,0.0,1.0074649163244693
0.895,0.5085054948684199,0.4989598998405127,0.0,1.0074653947089325
0.9,0.5082695137102303,0.49919285821806764,0.0,1.007462371928298
0.905,0.507985374290284,0.49947247940125417,0.0,1.0074578536915382
0.91,0.5077160361099425,0.49973729844190695,0.0,1.0074533345518495
0.915,0.5074969965260369,0.4999526836390198,0.0,1.0074496801650565
0.92,0.5073408447118107,0.5001063518373013,0.0,1.007447196549112
0.925,0.5072445934428547,0.5002012063862159,0.0,1.0074457998290707
0.93,0.5071970645261186,0.5002481437994767,0.0,1.0074452083255951
0.935,0.5071846646254573,0.5002604377205396,0.0,1.007445102345997
0.9400000000000001,0.5071949357364924,0.5002502889314279,0.0,1.0074452246679204
0.9450000000000001,0.5072180596879223,0.5002273588790256,0.0,1.007445418566948
0.9500000000000001,0.5072469456505451,0.5001986706964161,0.0,1.0074456163469612
0.9550000000000001,0.5072766538235359,0.5001691452895186,0.0,1.0074457991130545
0.96,0.5073037924815057,0.5001421571006835,0.0,1.0074459495821892
0.965,0.5073262745729324,0.5001197418759606,0.0,1.0074460164488932
0.97,0.5073435280357756,0.500102375265904,0.0,1.0074459033016796
0.975,0.5073569900437342,0.5000884984921273,0.0,1.0074454885358617
0.98,0.5073705245338097,0.500074150931251,0.0,1.0074446754650608
0.985,0.507390314023081,0.5000531497797372,0.0,1.0074434638028182
0.99,0.507423813194141,0.5000182118475897,0.0,1.0074420250417306
0.995,0.5074775302000791,0.49996322591644904,0.0,1.0074407561165282
1.0,0.5075537266555593,0.4998865538612796,0.0,1.007440280516839
1.0050000000000001,0.5076465748777466,0.49979479235071,0.0,1.0074413672284566
1.01,0.5077388102813049,0.4997059389457121,0.0,1.0074447492270169
1.0150000000000001,0.5078003388657517,0.499650508177573,0.0,1.0074508470433248
1.02,0.5077904238680299,0.4996690143360691,0.0,1.007459438204099
1.025,0.5076647832089702,0.49980457104047127,0.0,1.0074693542494415
1.03,0.5073880259671405,0.5000902962051913,0.0,1.0074783221723318
1.035,0.5069503144223563,0.500532766509071,0.0,1.0074830809314272
1.04,0.5063851395447201,0.5010947403947739,0.0,1.007479879939494
1.045,0.5057830803957227,0.501682313576068,0.0,1.0074653939717906
1.05,0.5052950556497484,0.5021429127086156,0.0,1.007437968358364
1.055,0.505118659393559,0.502280298156611,0.0,1.00739895755017
1.06,0.5054633914099504,0.5018903849335937,0.0,1.0073537763435443
1.065,0.506495238417636,0.5008169599209688,0.0,1.0073121983386049
1.07,0.5082677493855183,0.499019716643936,0.0,1.0072874660294544
1.075,0.5106542249035936,0.49663973707258086,0.0,1.0072939619761745
1.08,0.51330183582426,0.4940417003400973,0.0,1.0073435361643575
1.085,0.5156308503376539,0.4918101939066983,0.0,1.0074410442443522
1.09,0.516898308611231,0.49068181230777497,0.0,1.0075801209190058
1.095,0.5163341090245445,0.49140643483961177,0.0,1.0077405438641562
1.1,0.5133391283788391,0.49454944806478524,0.0,1.0078885764436243
1.105,0.5077127102873584,0.5002685803204254,0.0,1.0079812906077839
1.11,0.4998560326967549,0.5081190033766422,0.0,1.007975036073397
1.115,0.49088543238362287,0.5169516122397989,0.0,1.0078370446234217
1.12,0.4825924696311402,0.5249654221231073,0.0,1.0075578917542476
1.125,0.47720971425538544,0.5299518320009221,0.0,1.0071615462563075
1.1300000000000001,0.47698270488933536,0.5297267098719489,0.0,1.0067094147612843
1.135,0.4836030771848073,0.522692359228705,0.0,1.0062954364135124
1.1400000000000001,0.4976133697962674,0.5084176224526223,0.0,1.0060309922488897
1.145,0.517934477829155,0.48808647197356964,0.0,1.0060209498027246
1.1500000000000001,0.5416760024873124,0.46465902765181655,0.0,1.006335030139129
1.155,0.5643565269903908,0.4426245611269911,0.0,1.006981088117382
1.16,0.5805833815383826,0.42730462528170676,0.0,1.0078880068200893
1.165,0.5851305750982736,0.42377450636128516,0.0,1.0089050814595588
1.17,0.5742325626410675,0.4355892341559018,0.0,1.0098217967969694
1.175,0.546812154759696,0.46359501617635945,0.0,1.0104071709360554
1.18,0.5053159070584677,0.505146433836901,0.0,1.0104623408953688
1.185,0.45586399560827134,0.5540112317351448,0.0,1.0098752273434162
1.19,0.4075407223291007,0.6011227269603865,0.0,1.0086634492894873
1.195,0.3708403217570209,0.6361520015624487,0.0,1.0069923233194695
1.2,0.355501964966055,0.6496572059387166,0.0,1.0051591709047716
1.205,0.36816354442230564,0.635379108891064,0.0,1.0035426533133696
1.21,0.410379113566866,0.592145731357713,0.0,1.002524844924579
1.215,0.4775360831557393,0.5248658771730543,0.0,1.0024019603287937
1.22,0.5590594217271785,0.4442452679703387,0.0,1.0033046896975173
1.225,0.6400213219217065,0.3651278545997856,0.0,1.005149176521492
1.23,0.703941639351135,0.30369253823254466,0.0,1.0076341775836797
1.235,0.7362467922623606,0.27404296574023684,0.0,1.0102897580025973
1.24,0.7276375964463756,0.28493268280271955,0.0,1.0125702792490952
1.245,0.6765665602443396,0.33740604929419316,0.0,1.0139726095385329
1.25,0.5901710961398304,0.42398156786359553,0.0,1.014152664003426
