time,entropy
0.0,7.845649542337824
0.005,7.848427044692631
0.01,7.857074114107945
0.015,7.874776704190654
0.02,7.91032705425399
0.025,7.985407708177299
0.03,8.14294320992191
0.035,8.344925476541675
0.04,8.220544039945743
0.045,8.183265807141733
0.05,8.109183930926909
0.055,8.065431449213945
0.06,8.049063051384273
0.065,8.051675739055847
0.07,8.069173281223806
0.075,8.10045086933398
0.08,8.145284657857957
0.085,8.203496717403258
0.09,8.275005226654127
0.095,8.352130390959946
0.1,8.420364115031461
0.105,8.457618333728949
0.11,8.450165371995388
0.115,8.411755640043761
0.12,8.397935503197147
0.125,8.422423383045764
0.13,8.453151994587408
0.135,8.480836452525379
0.14,8.505870451125404
0.145,8.53097799962512
0.15,8.55599245503869
0.155,8.580165826366677
0.16,8.60053884016472
0.165,8.614686527192472
0.17,8.620713859233383
0.17500000000000002,8.618986876234992
0.18,8.612268582055687
0.185,8.604674447094588
0.19,8.600161540825741
0.195,8.601950893069095
0.2,8.611981698206208
0.20500000000000002,8.62711678503792
0.21,8.643681452041598
0.215,8.6593089482053
0.22,8.672775904535337
0.225,8.68360388838839
0.23,8.691780221329076
0.23500000000000001,8.697695292981262
0.24,8.70194144590933
0.245,8.705233742799335
0.25,8.708279590295684
0.255,8.711650431563719
0.26,8.715706762124537
0.265,8.720583635806266
0.27,8.726237433659207
0.275,8.732530128756416
0.28,8.73923489100305
0.28500000000000003,8.746082027470356
0.29,8.752885514643648
0.295,8.759551163143072
0.3,8.76605757399761
0.305,8.772428000732209
0.31,8.778706104821762
0.315,8.78493736870466
0.32,8.79115455848128
0.325,8.797371128089651
0.33,8.80358005296874
0.335,8.809758433844184
0.34,8.81587873965765
0.34500000000000003,8.821922993542941
0.35000000000000003,8.827899827492601
0.355,8.833864131133735
0.36,8.83992650222601
0.365,8.84620776256301
0.37,8.852828887702206
0.375,8.859893108995266
0.38,8.867444257718201
0.385,8.875422942794764
0.39,8.883636225209424
0.395,8.891753584529003
0.4,8.899333253941155
0.405,8.905884644483155
0.41000000000000003,8.910935419071613
0.41500000000000004,8.914105844168425
0.42,8.915269443846906
0.425,8.914652880974508
0.43,8.91311098001728
0.435,8.912456221675935
0.44,8.914916591981068
0.445,8.921192911921173
0.45,8.931182891251208
0.455,8.94399496038345
0.46,8.957988572410535
0.465,8.97121103539121
0.47000000000000003,8.982063431682437
0.47500000000000003,8.989869301551241
0.48,8.99467108266766
0.485,8.996901201215564
0.49,8.996648740809047
0.495,8.993129198110715
0.5,8.98445157149442
0.505,8.968655328832142
0.51,8.947519038697074
0.515,8.933648803857404
0.52,8.930490869325428
0.525,8.923835517626749
0.53,8.901580278056695
0.535,8.861464616959996
0.54,8.811837162489272
0.545,8.764938903540724
0.55,8.731183439717405
0.555,8.715337797673707
0.56,8.719707454657165
0.5650000000000001,8.744617658059811
0.5700000000000001,8.789254347761988
0.5750000000000001,8.8514887309578
0.58,8.924123496732157
0.585,8.987734813971208
0.59,9.025035267589542
0.595,9.063231327539487
0.6,8.962335033284907
0.605,8.701514427139823
0.61,8.461080988061232
0.615,8.320494670307806
0.62,8.261603947051857
0.625,8.253264168097584
0.63,8.275316495227292
0.635,8.316674855474531
0.64,8.371521100148097
0.645,8.436342540876693
0.65,8.50665411217516
0.655,8.5713348024291
0.66,8.600603822162018
0.665,8.553122119058969
0.67,8.579360159886232
0.675,8.756933604244722
0.68,8.710995179571874
0.685,8.557886674173185
0.6900000000000001,8.454957809958557
0.6950000000000001,8.417693452305812
0.7000000000000001,8.42709571140752
0.705,8.467947782327183
0.71,8.530783587649143
0.715,8.610732864567817
0.72,8.70462276132045
0.725,8.808249011122308
0.73,8.912992790284594
0.735,9.006132644053277
0.74,9.074301793293131
0.745,9.111866080267676
0.75,9.138557768481768
0.755,9.153234787548385
0.76,9.150469399248788
0.765,9.140255599436362
0.77,9.134481721918316
0.775,9.13998857042786
0.78,9.15755367074812
0.785,9.185204461308421
0.79,9.218406686282382
0.795,9.25232507860574
0.8,9.282099800367288
0.805,9.304488270698648
0.81,9.31861763101796
0.8150000000000001,9.32610471699671
0.8200000000000001,9.330194198151037
0.8250000000000001,9.335478076003039
0.8300000000000001,9.345124969201784
0.835,9.357946186478433
0.84,9.372211029700743
0.845,9.386582360311033
0.85,9.400035856292194
0.855,9.411910358590255
0.86,9.421699019860167
0.865,9.429231095860757
0.87,9.434611292824147
0.875,9.438241912839137
0.88,9.440750045081604
0.885,9.442841526137446
0.89,9.445157307951696
0.895,9.448172461406463
0.9,9.452158740040911
0.905,9.4571563507825
0.91,9.462937251710024
0.915,9.469178154483089
0.92,9.475580065154496
0.925,9.481907981997814
0.93,9.488000524088951
0.935,9.493767275334946
0.9400000000000001,9.499172814799763
0.9450000000000001,9.504220996468543
0.9500000000000001,9.50894218613354
0.9550000000000001,9.513379996532157
0.96,9.517581937819035
0.965,9.521594293362776
0.97,9.52545954367594
0.975,9.529217417921345
0.98,9.532906508657197
0.985,9.53656792220994
0.99,9.540253720159676
0.995,9.544037779897813
1.0,9.548007471471436
1.0050000000000001,9.552219828349116
1.01,9.556712758930672
1.0150000000000001,9.561508804816622
1.02,9.566591945319047
1.025,9.5718843411845
1.03,9.577232223256251
1.035,9.582409315240024
1.04,9.587136946035708
1.045,9.591106247826069
1.05,9.59404176621203
1.055,9.595747647237921
1.06,9.596188198194627
1.065,9.595614682105538
1.07,9.59471589223638
1.075,9.594754391425399
1.08,9.59663361184392
