quantity,measured,theory,error_pct
omega,3.9740389024e+01,3.9883531826e+01,0.358902
omega2_over_k2,9.9283640099e-01,1.0000015716e+00,0.716516
chi_over_k,1.2536512440e-03,1.2536512440e-03,0.0
