time,KE,GE,PE,H_total
0.0,0.0,0.9999861859153533,1.3814084646735203e-05,1.0
0.005,0.0456293165904874,0.9504817140111549,1.319893353443607e-05,0.9961242295351768
0.01,0.17350097338728135,0.820603070286138,1.1574641937760064e-05,0.9941156183153571
0.015,0.35849495263828274,0.6358264140055558,9.232070563136552e-06,0.9943305987144018
0.02,0.5647311145772449,0.43192215807477274,6.585047327364842e-06,0.996659857699345
0.025,0.7531070800766005,0.24745394842569618,4.090284927733189e-06,1.0005651187872244
0.03,0.8893297208324031,0.11587744773824599,2.161035515931408e-06,1.005209329606165
0.035,0.9506686424146252,0.05897749745344951,1.0921674766079827e-06,1.0096472320355514
0.04,0.9300058990698794,0.08302348606388511,1.0113569293805258e-06,1.013030396490694
0.045,0.8364223620040636,0.17835534725309493,1.8650060310171421e-06,1.0147795742631895
0.05,0.6923750800451915,0.3223089126502807,3.4398239853418173e-06,1.0146874325194577
0.055,0.5282798046512176,0.48464802219260583,5.4135326535198645e-06,1.012933240376477
0.06,0.3758401642081104,0.634165201839283,7.422545548757137e-06,1.0100127885929422
0.065,0.2616486522357796,0.7449483911292749,9.131848734616707e-06,1.006606175213789
0.07,0.20240482783405772,0.8010033750885599,1.029305359131467e-05,1.003418495976209
0.075,0.20262321044711398,0.7983974847424895,1.0780265982274422e-05,1.0010314754555858
0.08,0.2550733148970225,0.7447138640959382,1.0598960415609604e-05,0.9997977779533763
0.085,0.34356948074528093,0.6562172350103701,9.86906642556728e-06,0.9997965848220766
0.09,0.44725448454300676,0.5535896565417645,8.788598980124626e-06,1.0008529296837514
0.095,0.5452931187792897,0.4573077682101772,7.587370591248169e-06,1.002608474360058
0.1,0.6209353731786414,0.383679459725509,6.481131971513545e-06,1.004621314036122
0.105,0.6641809923164346,0.34228223556070597,5.635018744243444e-06,1.0064688628958849
0.11,0.6726859318159996,0.3351397999351824,5.142049311533132e-06,1.0078308738004933
0.115,0.6509837886579828,0.3575487486927962,5.018530559715644e-06,1.0085375558813388
0.12,0.6084484783209888,0.4001242678051994,5.214533721355247e-06,1.0085779606599095
0.125,0.5566286580671577,0.45143922754072985,5.634870542405822e-06,1.00807352047843
0.13,0.5066157220236504,0.5006067187715537,6.164666353299588e-06,1.0072286054615573
0.135,0.466986292921735,0.5392800230881408,6.693747576821451e-06,1.0062730097574526
0.14,0.44264022156228683,0.5627629858267961,7.13536052021295e-06,1.005410342749603
0.145,0.43460368439635844,0.570171201722615,7.4367268016428874e-06,1.0047823228457753
0.15,0.440647068533948,0.5637988087337008,7.581064980059693e-06,1.0044534583326288
0.155,0.45642308073658366,0.5479844866770597,7.5824878123442995e-06,1.0044151499014555
0.16,0.47677998955773293,0.5278166697781405,7.4763086885429296e-06,1.0046041356445619
0.165,0.4969407477189327,0.5079800603154778,7.307654388492946e-06,1.004928115688799
0.17,0.5133349219132417,0.4919493568551896,7.120968341210434e-06,1.0052913997367725
0.17500000000000002,0.5239922219705815,0.48161588465663246,6.952213650047468e-06,1.005615058840864
0.18,0.5285207799778872,0.4773209772359222,6.824617060785553e-06,1.0058485818308702
0.185,0.5277760712567241,0.4781898241283776,6.747884180800389e-06,1.0059726432692826
0.19,0.523366197289549,0.4826217354604959,6.7201423147228336e-06,1.0059946528923596
