step,x_peak,amplitude
0,1.0,0.07996449263827861
1,1.0,0.07969697675811793
2,1.0,0.07920200103810919
3,1.0,0.07848510239141364
4,1.0,0.07755277160073579
5,1.0,0.07641241518484436
6,1.0,0.07507231195561903
7,2.0,0.07480418718423497
8,2.0,0.07561502128130342
9,2.0,0.07634605292500564
10,2.0,0.07699372348761231
11,2.0,0.07755438797095618
12,2.0,0.07802435800061557
13,2.0,0.07839994632176632
14,2.0,0.07867751238428296
15,2.0,0.07885350859376349
16,2.0,0.07892452679791921
17,2.0,0.07888734457427456
18,2.0,0.07873897088539301
19,2.0,0.07847669067188331
20,2.0,0.07809810796121043
21,2.0,0.07760118708177403
22,2.0,0.07698429158672539
23,2.0,0.0762462205104447
24,2.0,0.07538624160233764
25,2.0,0.07440412120744691
26,3.0,0.07398343417209254
27,3.0,0.07483225389888187
28,3.0,0.0756007600432593
29,3.0,0.07628663710128299
30,3.0,0.07688758521904039
31,3.0,0.07740133298490233
32,3.0,0.07782565157010969
33,3.0,0.07815837014443094
34,3.0,0.07839739247542704
35,3.0,0.07854071460220656
36,3.0,0.0785864434576439
37,3.0,0.07853281629705725
38,3.0,0.0783782207764837
39,3.0,0.07812121551012002
40,3.0,0.07776055092438147
41,3.0,0.07729519021551726
42,3.0,0.07672433020894533
43,3.0,0.0760474219115501
44,3.0,0.07526419054322717
45,3.0,0.07437465483104252
46,4.0,0.07358999478045233
47,4.0,0.0744101967799603
48,4.0,0.07515065048003723
49,4.0,0.07580949485546043
50,4.0,0.07638491650368102
51,4.0,0.07687515786018174
52,4.0,0.07727852611384801
53,4.0,0.07759340279978688
54,4.0,0.07781825403806576
55,4.0,0.07795164137773122
56,4.0,0.07799223319629923
57,4.0,0.07793881659577848
58,4.0,0.0777903097272956
59,4.0,0.077545774467637
60,4.0,0.07720442936260644
61,4.0,0.07676566274412341
62,4.0,0.07622904592055255
63,4.0,0.07559434633295795
64,4.0,0.07486154056391171
65,4.0,0.07403082708024207
66,10.0,0.07315759348689779
67,10.0,0.07393124902888681
68,10.0,0.0746452761679327
69,10.0,0.07529877270650118
70,10.0,0.07589088752069166
71,10.0,0.07642082166411444
72,10.0,0.07688782943313083
73,10.0,0.07729121939168276
74,10.0,0.0776303553539514
75,10.0,0.07790465732310213
76,10.0,0.07811360238439685
77,10.0,0.0782567255509821
78,10.0,0.07833362056069536
79,10.0,0.07834394062226994
80,10.0,0.0782873991093633
81,10.0,0.078163770200882
82,10.0,0.07797288946613161
83,10.0,0.07771465439337921
84,10.0,0.07738902486048119
85,11.0,0.07814290082518247
86,11.0,0.07887661307128514
87,11.0,0.0795441933894508
88,11.0,0.08014474155071426
89,11.0,0.08067741890854821
90,11.0,0.08114144944888692
91,11.0,0.08153612077743777
92,11.0,0.08186078504291992
93,11.0,0.08211485979496139
94,11.0,0.08229782877548046
95,11.0,0.08240924264247472
96,11.0,0.08244871962524021
97,11.0,0.08241594611014487
98,11.0,0.08231067715618329
99,11.0,0.08213273693964442
100,11.0,0.08188201912732955
101,11.0,0.0815584871778644
102,11.0,0.08116217457075629
103,11.0,0.08069318496295491
104,11.0,0.08015169227278285
105,11.0,0.07953794069120936
106,12.0,0.0798414082864332
107,12.0,0.08020522243800964
108,12.0,0.08049998985252883
109,12.0,0.08072516382540026
110,12.0,0.08088025991934489
111,12.0,0.08096485662822933
112,12.0,0.0809785959894924
113,12.0,0.08092118414406915
114,12.0,0.08079239184274296
115,12.0,0.08059205489788608
116,12.0,0.08032007457958298
117,12.0,0.07997641795516992
118,12.0,0.07956111817126722
119,12.0,0.07907427467742886
120,12.0,0.07851605339058652
121,12.0,0.07788668679952218
122,12.0,0.07718647400866505
123,12.0,0.07641578072057456
124,12.0,0.07557503915654143
125,13.0,0.07560653473226323
126,13.0,0.07576313692249945
127,13.0,0.07585287666244053
128,13.0,0.07587534909050511
129,13.0,0.07583020989727299
130,13.0,0.07571717590914183
131,13.0,0.075536025619526
132,13.0,0.07528659966670362
133,13.0,0.07496880125746572
134,13.0,0.07458259653577172
135,13.0,0.07412801489566667
136,13.0,0.07360514923776942
137,13.0,0.07301415616869598
138,13.0,0.07235525614283886
139,13.0,0.07162873354598154
140,13.0,0.07083493672028693
141,14.0,0.07094014515452052
142,14.0,0.07113877464734923
143,14.0,0.07127253692230809
144,14.0,0.07134095635027161
145,14.0,0.07134361716970725
146,14.0,0.07128016417873369
147,14.0,0.07115030337636905
148,14.0,0.0709538025517149
149,14.0,0.07069049181985711
150,14.0,0.07036026410330327
151,14.0,0.0699630755578209
152,14.0,0.06949894594158827
153,9.0,0.06935193447264125
154,9.0,0.06980499066147743
155,9.0,0.07018226201316011
156,9.0,0.07048301125230415
157,9.0,0.07070659421119448
158,9.0,0.07085246382695387
159,9.0,0.07092017416349679
160,9.0,0.07090938444358348
161,9.0,0.07081986307490858
162,9.0,0.07065149165278423
163,9.0,0.07040426892062066
164,9.0,0.07007831466807739
165,9.0,0.06967387354546843
166,10.0,0.07074982510831031
167,10.0,0.07185783334044557
168,10.0,0.07289320790916803
169,10.0,0.07385460767240337
170,10.0,0.07474076594717781
171,10.0,0.07555049370854197
172,10.0,0.07628268283618461
173,10.0,0.07693630940420028
174,10.0,0.07751043700858257
175,10.0,0.07800422012608096
176,10.0,0.07841690749708899
177,10.0,0.07874784552422891
178,10.0,0.07899648167726912
179,10.0,0.07916236789396024
180,10.0,0.07924516396531114
181,10.0,0.07924464089275443
182,10.0,0.07916068420357798
183,10.0,0.07899329720993528
184,10.0,0.07874260419569858
185,11.0,0.0794853882031723
186,11.0,0.08058637997167066
187,11.0,0.08161004621284552
188,11.0,0.08255511841727046
189,11.0,0.08342040533979578
190,11.0,0.08420479581481738
191,11.0,0.0849072615957749
192,11.0,0.085526860214984
193,11.0,0.08606273785924982
194,11.0,0.08651413225602
195,11.0,0.08688037556411883
196,11.0,0.08716089726236262
197,11.0,0.08735522702859295
198,11.0,0.08746299760088366
199,11.0,0.08748394761188268
200,11.0,0.0874179243864469
201,11.0,0.08726488669192069
202,11.0,0.08702490742960325
203,11.0,0.08669817625515171
204,11.0,0.08628500211488177
205,12.0,0.08657806227121191
206,12.0,0.08742391068800816
207,12.0,0.08818891673502945
208,12.0,0.08887206082182524
209,12.0,0.08947240332065264
210,12.0,0.08998908698435289
211,12.0,0.09042133937085253
212,12.0,0.09076847527069788
213,12.0,0.09102989913348186
214,12.0,0.09120510748844972
215,12.0,0.09129369135397579
216,12.0,0.09129533862999116
217,12.0,0.09120983646681394
218,12.0,0.09103707360319337
219,12.0,0.09077704266572964
220,12.0,0.09042984242117716
221,12.0,0.08999567997248367
222,12.0,0.0894748728887662
223,12.0,0.08886785125878113
224,13.0,0.08906578476018073
225,13.0,0.08967660351000085
226,13.0,0.09020546245423704
227,13.0,0.090651523116684
228,13.0,0.09101402823785301
229,13.0,0.09129230386313113
230,13.0,0.09148576141864194
231,13.0,0.09159389977179859
232,13.0,0.09161630727313733
233,13.0,0.09155266377559848
234,13.0,0.0914027426269816
235,13.0,0.09116641263084514
236,13.0,0.09084363997065024
237,13.0,0.0904344900914653
238,13.0,0.08993912953305551
239,13.0,0.08935782770768246
240,13.0,0.08869095861543577
241,14.0,0.08879056859300123
242,14.0,0.08929380385892552
243,14.0,0.08971514676671569
244,14.0,0.09005383322273777
245,14.0,0.09030917962015005
246,14.0,0.09048058461561688
247,14.0,0.09056753088100879
248,14.0,0.0905695868279398
249,14.0,0.09048640830272862
250,14.0,0.09031774024908945
251,14.0,0.0900634183355621
252,14.0,0.08972337054438138
253,14.0,0.08929761871816196
254,14.0,0.08878628006043962
255,14.0,0.0881895685857644
256,14.0,0.08750779651468593
257,15.0,0.08776346895535433
258,15.0,0.08819594847923884
259,15.0,0.08854709781184097
260,15.0,0.08881622878970846
261,15.0,0.08900273219908135
262,15.0,0.08910607920720111
263,15.0,0.0891258227594742
264,15.0,0.08906159894131083
