step,x_peak,amplitude
0,1.0,0.07996449263827861
1,1.0,0.07969697675811793
2,1.0,0.07920200103810919
3,1.0,0.07848510239141364
4,1.0,0.07755277160073579
5,1.0,0.07641241518484436
6,1.0,0.07507231195561903
7,2.0,0.07480418718423497
8,2.0,0.07561502128130342
9,2.0,0.07634605292500563
10,2.0,0.07699372348761227
11,2.0,0.07755438797095605
12,2.0,0.07802435800061523
13,2.0,0.07839994632176549
14,2.0,0.078677512384281
15,2.0,0.07885350859375914
16,2.0,0.07892452679791005
17,2.0,0.07888734457425606
18,2.0,0.07873897088535711
19,2.0,0.07847669067181612
20,2.0,0.07809810796108867
21,2.0,0.07760118708155973
22,2.0,0.07698429158635808
23,2.0,0.07624622050983017
24,2.0,0.07538624160133194
25,2.0,0.07440412120583412
26,3.0,0.07398343398204768
27,3.0,0.07483225362625091
28,3.0,0.07560075965731923
29,3.0,0.07628663656166951
30,3.0,0.07688758447324995
31,3.0,0.07740133196527763
32,3.0,0.07782565019022855
33,3.0,0.0781583682948103
34,3.0,0.07839739001844546
35,3.0,0.07854071136614044
36,3.0,0.07858643922970354
37,3.0,0.07853281081530082
38,3.0,0.07837821372047811
39,3.0,0.07812120649020965
40,3.0,0.07776053946941733
41,3.0,0.07729517575889142
42,3.0,0.07672431207276807
43,3.0,0.07604739928880047
44,3.0,0.07526416247770146
45,3.0,0.07437462019492015
46,4.0,0.0735892919460693
47,4.0,0.07440937351044218
48,4.0,0.07514968974948248
49,4.0,0.07580837775441349
50,4.0,0.0763836220942961
51,4.0,0.07687366302670884
52,4.0,0.07727680540890042
53,4.0,0.07759142828691601
54,4.0,0.07781599513123748
55,4.0,0.0779490646783675
56,4.0,0.07798930232862007
57,4.0,0.07793549204125068
58,4.0,0.07778654865906749
59,4.0,0.07754153058591076
60,4.0,0.07719965273197216
61,4.0,0.07676029963395073
62,4.0,0.07622303864960683
63,4.0,0.07558763311947753
64,4.0,0.07485405538245038
65,4.0,0.07402249952664679
66,4.0,0.07309339375272501
67,5.0,0.07331430576811525
68,5.0,0.07404895546406444
69,5.0,0.07470395052145642
70,5.0,0.07527773624192485
71,5.0,0.07576882398405589
72,5.0,0.07617579780418143
73,5.0,0.07649732150518584
74,5.0,0.07673214607651492
75,5.0,0.07687911750336532
76,5.0,0.0769371849176925
77,5.0,0.07690540905825158
78,5.0,0.07678297100142743
79,5.0,0.07656918111916977
80,5.0,0.07626348821498066
81,5.0,0.07586548878366106
82,5.0,0.07537493633546798
83,5.0,0.0747917507205222
84,5.0,0.07411602738479717
85,5.0,0.0733480464848703
86,5.0,0.07248828178488644
87,6.0,0.07226478325201935
88,6.0,0.07302292960843225
89,6.0,0.0737032268584408
90,6.0,0.07430426386352301
91,6.0,0.07482470041611158
92,6.0,0.07526327260531422
93,6.0,0.07561879844520183
94,6.0,0.07589018375429324
95,6.0,0.07607642827155739
96,6.0,0.07617663199083705
97,6.0,0.07619000169209593
98,6.0,0.07611585764433224
99,6.0,0.07595364045141353
100,6.0,0.07570291800850286
101,6.0,0.0753633925331958
102,6.0,0.07493490763200782
103,6.0,0.07441745535947523
104,6.0,0.07381118322389833
105,6.0,0.07311640109069825
106,6.0,0.0723335879315175
107,7.0,0.07186329758706451
108,7.0,0.07265287104625039
109,7.0,0.07336565573941177
110,7.0,0.07400033199900935
111,7.0,0.0745556540422124
112,7.0,0.07503045450833125
113,7.0,0.07542364917036495
114,7.0,0.07573424181193557
115,7.0,0.07596132925862131
116,7.0,0.07610410655035896
117,7.0,0.0761618722391752
118,7.0,0.07613403379404436
119,7.0,0.07602011309217288
120,7.0,0.07581975197349879
121,7.0,0.07553271783268757
122,7.0,0.07515890922042535
123,7.0,0.07469836142337935
124,7.0,0.07415125198983735
125,7.0,0.07351790616577679
126,7.0,0.07279880220397433
127,7.0,0.07199457650677449
128,8.0,0.0726207033761201
129,8.0,0.07335223438860831
130,8.0,0.07400649016175484
131,8.0,0.07458230392933747
132,8.0,0.0750785884264537
133,8.0,0.07549433994455867
134,8.0,0.07582864249568307
135,8.0,0.07608067207702907
136,8.0,0.076249701025456
137,8.0,0.07633510244962635
138,8.0,0.07633635472580083
139,8.0,0.07625304604145809
140,8.0,0.07608487896908328
141,8.0,0.07583167505063368
142,8.0,0.0754933793713636
143,8.0,0.07507006509988927
144,8.0,0.07456193796961375
145,8.0,0.07396934067492925
146,8.0,0.07329275715398495
147,8.0,0.07253281672827214
148,9.0,0.07230442849292767
149,9.0,0.0730458145590821
150,9.0,0.07371105405309622
151,9.0,0.0742990442153312
152,9.0,0.07480876175710033
153,9.0,0.07523926642774556
154,9.0,0.07558970465261465
155,9.0,0.07585931323456993
156,9.0,0.07604742311039807
157,9.0,0.07615346315218759
158,9.0,0.07617696400240527
159,9.0,0.07611756193004128
160,9.0,0.0759750026938151
161,9.0,0.07574914539704926
162,9.0,0.07543996631743517
163,9.0,0.07504756269354657
164,9.0,0.07457215644861116
165,9.0,0.07401409783074338
166,9.0,0.07337386894758102
167,9.0,0.07265208717207053
168,9.0,0.07184950839502079
169,10.0,0.07239154404544937
170,10.0,0.07307556598387718
171,10.0,0.07368372720293684
172,10.0,0.07421504214251233
173,10.0,0.07466860730267769
174,10.0,0.07504360449378687
175,10.0,0.07533930412380746
176,10.0,0.07555506851555352
177,10.0,0.07569035524547134
178,10.0,0.07574472049460372
179,10.0,0.07571782240131014
180,10.0,0.07560942440425766
181,10.0,0.07541939856312747
182,10.0,0.07514772884341198
183,10.0,0.07479451435061485
184,10.0,0.07435997249811997
185,10.0,0.07384444209197286
186,10.0,0.07324838631482951
187,10.0,0.0725723955903816
188,10.0,0.07181719030867309
189,11.0,0.07179078415597193
190,11.0,0.07250400591814243
191,11.0,0.07314251388560472
192,11.0,0.07370534006094542
193,11.0,0.07419159766313509
194,11.0,0.07460048408298199
195,11.0,0.07493128385609803
196,11.0,0.07518337164697199
197,11.0,0.07535621523695882
198,11.0,0.07544937850818619
199,11.0,0.07546252441455617
200,11.0,0.07539541793018482
201,11.0,0.07524792896478055
202,11.0,0.07502003523461953
203,11.0,0.07471182507693809
204,11.0,0.07432350019473463
205,11.0,0.07385537831816359
206,11.0,0.07330789576791792
207,11.0,0.07268160990524163
208,11.0,0.0719772014524975
209,12.0,0.0714568506200669
210,12.0,0.07219934512893462
211,12.0,0.0728679379933798
212,12.0,0.07346167379731278
213,12.0,0.07397967767038491
214,12.0,0.07442115800426659
215,12.0,0.07478540917129373
216,12.0,0.07507181423980369
217,12.0,0.07527984767985364
218,12.0,0.07540907805236985
219,12.0,0.07545917067411952
220,12.0,0.07542989025022982
221,12.0,0.07532110346530695
222,12.0,0.07513278152353421
223,12.0,0.07486500262745806
224,12.0,0.07451795438450794
225,12.0,0.07409193612964644
226,12.0,0.07358736115191408
227,12.0,0.07300475881202491
228,12.0,0.07234477653759006
229,12.0,0.07160818168200209
230,13.0,0.07198886331919734
231,13.0,0.07268130091769703
232,13.0,0.07329963778444819
233,13.0,0.07384301124856461
234,13.0,0.07431064091430396
235,13.0,0.07470183116884928
236,13.0,0.07501597367579642
237,13.0,0.07525254984873572
238,13.0,0.07541113329879505
239,13.0,0.07549139224947989
240,13.0,0.07549309191160736
241,13.0,0.07541609681058743
242,13.0,0.07526037305775983
243,13.0,0.0750259905569528
244,13.0,0.07471312513689325
245,13.0,0.07432206059957097
246,13.0,0.07385319067414724
247,13.0,0.07330702086550327
248,13.0,0.07268417018605276
249,13.0,0.07198537275899809
250,14.0,0.0716711458288499
251,14.0,0.07238500337650307
252,14.0,0.07302561677384024
253,14.0,0.07359213078991311
254,14.0,0.07408377132898929
255,14.0,0.0744998477677946
256,14.0,0.07483975527002859
257,14.0,0.07510297707309187
258,14.0,0.07528908674153809
259,14.0,0.07539775038132901
260,14.0,0.07542872880853084
261,14.0,0.07538187966564616
262,14.0,0.07525715947833106
263,14.0,0.07505462564480385
