step,x,y,z,r
145,77.484332,95.995046,64.000000,34.720457
146,77.577318,95.994980,64.000000,34.756616
147,77.670305,95.994914,64.000000,34.792984
148,77.763291,95.994848,64.000000,34.829563
149,77.856278,95.994781,64.000000,34.866351
150,77.949264,95.994714,64.000000,34.903348
151,78.042250,95.994646,64.000000,34.940552
152,78.135236,95.994578,64.000000,34.977963
153,78.228221,95.994510,64.000000,35.015582
154,78.321207,95.994441,64.000000,35.053406
155,78.414192,95.994372,64.000000,35.091435
156,78.507177,95.994303,64.000000,35.129669
157,78.600162,95.994233,64.000000,35.168106
158,78.693147,95.994163,64.000000,35.206747
159,78.786131,95.994093,64.000000,35.245590
160,78.879116,95.994022,64.000000,35.284636
161,78.972100,95.993951,64.000000,35.323882
162,79.065084,95.993879,64.000000,35.363329
163,79.158068,95.993807,64.000000,35.402976
164,79.251052,95.993735,64.000000,35.442822
165,79.344035,95.993662,64.000000,35.482867
166,79.437019,95.993589,64.000000,35.523109
167,79.530002,95.993516,64.000000,35.563549
168,79.622985,95.993442,64.000000,35.604185
169,79.715968,95.993368,64.000000,35.645017
170,79.808951,95.993294,64.000000,35.686044
171,79.901933,95.993219,64.000000,35.727266
172,79.994915,95.993144,64.000000,35.768681
173,80.087898,95.993068,64.000000,35.810290
174,80.180880,95.992992,64.000000,35.852091
175,80.273862,95.992916,64.000000,35.894084
176,80.366843,95.992840,64.000000,35.936268
177,80.459825,95.992763,64.000000,35.978642
178,80.552806,95.992686,64.000000,36.021207
179,80.645787,95.992608,64.000000,36.063960
180,80.738768,95.992530,64.000000,36.106902
181,80.831749,95.992452,64.000000,36.150031
182,80.924729,95.992373,64.000000,36.193348
183,81.017710,95.992294,64.000000,36.236851
184,81.110690,95.992215,64.000000,36.280540
185,81.203670,95.992136,64.000000,36.324413
186,81.296650,95.992056,64.000000,36.368472
187,81.389630,95.991975,64.000000,36.412714
188,81.482609,95.991895,64.000000,36.457139
189,81.575589,95.991814,64.000000,36.501746
190,81.668568,95.991733,64.000000,36.546536
191,81.761547,95.991651,64.000000,36.591506
192,81.854526,95.991569,64.000000,36.636656
193,81.947504,95.991487,64.000000,36.681987
194,82.040483,95.991405,64.000000,36.727496
195,82.133461,95.991322,64.000000,36.773184
196,82.226439,95.991239,64.000000,36.819050
197,82.319417,95.991155,64.000000,36.865092
198,82.412395,95.991071,64.000000,36.911312
199,82.505372,95.990987,64.000000,36.957706
200,82.598350,95.990903,64.000000,37.004276
201,82.691327,95.990818,64.000000,37.051021
202,82.784304,95.990733,64.000000,37.097939
203,82.877281,95.990647,64.000000,37.145030
204,82.970257,95.990562,64.000000,37.192293
205,83.063234,95.990476,64.000000,37.239729
206,83.156210,95.990389,64.000000,37.287335
207,83.249186,95.990303,64.000000,37.335112
208,83.342162,95.990216,64.000000,37.383059
209,83.435137,95.990129,64.000000,37.431175
210,83.528113,95.990041,64.000000,37.479460
211,83.621088,95.989953,64.000000,37.527912
212,83.714063,95.989865,64.000000,37.576532
213,83.807038,95.989776,64.000000,37.625318
214,83.900013,95.989688,64.000000,37.674270
215,83.992988,95.989599,64.000000,37.723388
216,84.085962,95.989509,64.000000,37.772670
217,84.178936,95.989420,64.000000,37.822116
218,84.271910,95.989330,64.000000,37.871725
219,84.364884,95.989239,64.000000,37.921497
220,84.457858,95.989149,64.000000,37.971431
221,84.550831,95.989058,64.000000,38.021527
222,84.643805,95.988967,64.000000,38.071783
223,84.736778,95.988876,64.000000,38.122200
224,84.829751,95.988784,64.000000,38.172776
225,84.922723,95.988692,64.000000,38.223511
226,85.015696,95.988600,64.000000,38.274404
227,85.108668,95.988507,64.000000,38.325454
228,85.201640,95.988414,64.000000,38.376662
229,85.294612,95.988321,64.000000,38.428026
230,85.387584,95.988228,64.000000,38.479546
231,85.480556,95.988134,64.000000,38.531221
232,85.573527,95.988040,64.000000,38.583050
233,85.666498,95.987946,64.000000,38.635034
234,85.759469,95.987851,64.000000,38.687170
235,85.852440,95.987756,64.000000,38.739459
236,85.945411,95.987661,64.000000,38.791900
237,86.038381,95.987566,64.000000,38.844493
238,86.131351,95.987470,64.000000,38.897236
239,86.224321,95.987375,64.000000,38.950130
240,86.317291,95.987278,64.000000,39.003173
241,86.410261,95.987182,64.000000,39.056365
242,86.503231,95.987085,64.000000,39.109705
243,86.596200,95.986988,64.000000,39.163193
244,86.689169,95.986891,64.000000,39.216828
245,86.782138,95.986794,64.000000,39.270610
246,86.875107,95.986696,64.000000,39.324537
247,86.968075,95.986598,64.000000,39.378610
248,87.061044,95.986500,64.000000,39.432828
249,87.154012,95.986401,64.000000,39.487189
250,87.246980,95.986302,64.000000,39.541695
251,87.339948,95.986203,64.000000,39.596343
252,87.432915,95.986104,64.000000,39.651133
253,87.525883,95.986004,64.000000,39.706065
254,87.618850,95.985904,64.000000,39.761139
255,87.711817,95.985804,64.000000,39.816353
256,87.804784,95.985704,64.000000,39.871707
257,87.897751,95.985603,64.000000,39.927200
258,87.990717,95.985503,64.000000,39.982832
259,88.083684,95.985401,64.000000,40.038603
260,88.176650,95.985300,64.000000,40.094511
261,88.269616,95.985198,64.000000,40.150556
262,88.362582,95.985097,64.000000,40.206738
263,88.455547,95.984995,64.000000,40.263056
264,88.548513,95.984892,64.000000,40.319509
265,88.641478,95.984790,64.000000,40.376097
266,88.734443,95.984687,64.000000,40.432819
267,88.827408,95.984584,64.000000,40.489675
268,88.920372,95.984480,64.000000,40.546664
269,89.013337,95.984377,64.000000,40.603785
270,89.106301,95.984273,64.000000,40.661039
271,89.199265,95.984169,64.000000,40.718424
272,89.292229,95.984065,64.000000,40.775940
273,89.385193,95.983960,64.000000,40.833586
274,89.478156,95.983856,64.000000,40.891362
275,89.571120,95.983751,64.000000,40.949267
276,89.664083,95.983646,64.000000,41.007301
277,89.757046,95.983540,64.000000,41.065463
278,89.850008,95.983435,64.000000,41.123752
279,89.942971,95.983329,64.000000,41.182169
280,90.035933,95.983223,64.000000,41.240712
281,90.128896,95.983116,64.000000,41.299381
282,90.221858,95.983010,64.000000,41.358176
283,90.314820,95.982903,64.000000,41.417096
284,90.407781,95.982796,64.000000,41.476139
285,90.500743,95.982689,64.000000,41.535307
286,90.593704,95.982581,64.000000,41.594598
287,90.686665,95.982473,64.000000,41.654012
288,90.779626,95.982366,64.000000,41.713548
289,90.872587,95.982257,64.000000,41.773206
290,90.965547,95.982149,64.000000,41.832985
291,91.058508,95.982041,64.000000,41.892884
292,91.151468,95.981932,64.000000,41.952904
293,91.244428,95.981823,64.000000,42.013044
294,91.337388,95.981714,64.000000,42.073302
295,91.430347,95.981604,64.000000,42.133680
296,91.523307,95.981494,64.000000,42.194175
297,91.616266,95.981385,64.000000,42.254788
298,91.709225,95.981275,64.000000,42.315518
299,91.802184,95.981164,64.000000,42.376365
300,91.895143,95.981054,64.000000,42.437328
