x,p_initial,p_final
2.400000,-7.8881625945e-03,-2.2309629103e-02
2.420000,-9.0157316156e-03,-2.2937302116e-02
2.440000,-1.0201128034e-02,-2.3358819940e-02
2.460000,-1.1431251467e-02,-2.3555891911e-02
2.480000,-1.2690390990e-02,-2.3514796140e-02
2.500000,-1.3960370227e-02,-2.3227104765e-02
2.520000,-1.5220793588e-02,-2.2690278568e-02
2.540000,-1.6449396143e-02,-2.1908101620e-02
2.560000,-1.7622495505e-02,-2.0890910253e-02
2.580000,-1.8715539585e-02,-1.9655626571e-02
2.600000,-1.9703739369e-02,-1.8225550374e-02
2.620000,-2.0562771173e-02,-1.6629935238e-02
2.640000,-2.1269528333e-02,-1.4903335615e-02
2.660000,-2.1802898355e-02,-1.3084744022e-02
2.680000,-2.2144538288e-02,-1.1216555790e-02
2.700000,-2.2279618813e-02,-9.3433705284e-03
2.720000,-2.2197506438e-02,-7.5106978240e-03
2.740000,-2.1892353378e-02,-5.7635886566e-03
2.760000,-2.1363566296e-02,-4.1452588242e-03
2.780000,-2.0616128100e-02,-2.6957513094e-03
2.800000,-1.9660751434e-02,-1.4506795903e-03
2.820000,-1.8513848088e-02,-4.4011438425e-04
2.840000,-1.7197305337e-02,3.1235950873e-04
2.860000,-1.5738067661e-02,7.9036722852e-04
2.880000,-1.4167530278e-02,9.8523137691e-04
2.900000,-1.2520758964e-02,8.9620333135e-04
2.920000,-1.0835558411e-02,5.3042841710e-04
2.940000,-9.1514184402e-03,-9.7347735815e-05
2.960000,-7.5083734122e-03,-9.6531940646e-04
2.980000,-5.9458148442e-03,-2.0453823674e-03
3.000000,-4.5013002234e-03,-3.3040890674e-03
3.020000,-3.2094021739e-03,-4.7037541940e-03
3.040000,-2.1006413560e-03,-6.2036739301e-03
3.060000,-1.2005437543e-03,-7.7614036716e-03
3.080000,-5.2885845187e-04,-9.3340568322e-03
3.100000,-9.8965778532e-05,-1.0879575238e-02
3.120000,8.2501848576e-05,-1.2357921688e-02
3.140000,1.5812657083e-05,-1.3732171288e-02
3.160000,-2.9194272835e-04,-1.4969450284e-02
3.180000,-8.2715571882e-04,-1.6041713796e-02
3.200000,-1.5702165187e-03,-1.6926334645e-02
3.220000,-2.4962209916e-03,-1.7606489566e-02
3.240000,-3.5758381581e-03,-1.8071358056e-02
3.260000,-4.7763030094e-03,-1.8316111945e-02
3.280000,-6.0624951531e-03,-1.8341731278e-02
3.300000,-7.3980614598e-03,-1.8154652551e-02
3.320000,-8.7465404257e-03,-1.7766265660e-02
3.340000,-1.0072447359e-02,-1.7192304590e-02
3.360000,-1.1342282609e-02,-1.6452133089e-02
3.380000,-1.2525429697e-02,-1.5567979644e-02
3.400000,-1.3594916039e-02,-1.4564137884e-02
3.420000,-1.4528015757e-02,-1.3466153236e-02
3.440000,-1.5306681335e-02,-1.2300046597e-02
3.460000,-1.5917798399e-02,-1.1091569905e-02
3.480000,-1.6353265181e-02,-9.8655322456e-03
3.500000,-1.6609905042e-02,-8.6452087862e-03
3.520000,-1.6689226399e-02,-7.4518354689e-03
3.540000,-1.6597049437e-02,-6.3042177802e-03
3.560000,-1.6343022729e-02,-5.2184326610e-03
3.580000,-1.5940055483e-02,-4.2076408536e-03
3.600000,-1.5403692345e-02,-3.2820084716e-03
3.620000,-1.4751457706e-02,-2.4487127972e-03
3.640000,-1.4002195312e-02,-1.7120443295e-03
3.660000,-1.3175426856e-02,-1.0735815872e-03
3.680000,-1.2290750282e-02,-5.3242876697e-04
3.700000,-1.1367295005e-02,-8.5507149418e-05
3.720000,-1.0423247323e-02,2.7212558750e-04
3.740000,-9.4754552444e-03,5.4692581805e-04
3.760000,-8.5391178973e-03,7.4650850959e-04
3.780000,-7.6275608826e-03,8.7930110488e-04
3.800000,-6.7520954768e-03,9.5420424148e-04
3.820000,-5.9219566340e-03,9.8028104027e-04
3.840000,-5.1443123248e-03,9.6647884866e-04
3.860000,-4.4243349563e-03,9.2138661355e-04
3.880000,-3.7653244228e-03,8.5303553790e-04
3.900000,-3.1688717381e-03,7.6874049042e-04
3.920000,-2.6350521340e-03,6.7498781942e-04
3.940000,-2.1626369184e-03,5.7736444351e-04
3.960000,-1.7493141777e-03,4.8052342559e-04
3.980000,-1.3919095038e-03,3.8818860038e-04
4.000000,-1.0865992210e-03,3.0318833322e-04
4.020000,-8.2911000956e-04,2.2751313762e-04
4.040000,-6.1490027452e-04,1.6239487268e-04
4.060000,-4.3932002950e-04,1.0839936048e-04
4.080000,-2.9774739530e-04,6.5527388978e-05
4.100000,-1.8570100443e-04,3.3319488895e-05
4.120000,-9.8928627894e-05,1.0960154881e-05
4.140000,-3.3473179194e-05,-2.6225731526e-06
4.160000,1.4282101771e-05,-8.6655319645e-06
4.180000,4.7587022901e-05,-8.4882828233e-06
4.200000,6.9313825123e-05,-3.4228531171e-06
4.220000,8.1959903514e-05,5.2442738621e-06
4.240000,8.7661194515e-05,1.6317940249e-05
4.260000,8.8213673460e-05,2.8727202352e-05
4.280000,8.5100603698e-05,4.1547365623e-05
4.300000,7.9523433948e-05,5.4011804124e-05
4.320000,7.2434531448e-05,6.5514301574e-05
4.340000,6.4570244941e-05,7.5604538271e-05
4.360000,5.6483096716e-05,8.3977734280e-05
4.380000,4.8572193638e-05,9.0459873009e-05
4.400000,4.1111213205e-05,9.4990143229e-05
4.420000,3.4273555774e-05,9.7601880690e-05
4.440000,2.8154454185e-05,9.8403475152e-05
4.460000,2.2789995976e-05,9.7559275076e-05
4.480000,1.8173141900e-05,9.5271865577e-05
4.500000,1.4266919696e-05,9.1766868753e-05
4.520000,1.1015037585e-05,8.7278953398e-05
4.540000,8.3502015549e-06,8.2040305671e-05
4.560000,6.2004386300e-06,7.6272325471e-05
4.580000,4.4937293132e-06,7.0178571511e-05
4.600000,3.1612403156e-06,6.3939926599e-05
4.620000,2.1394273967e-06,5.7712465609e-05
4.640000,1.3712508508e-06,5.1626044754e-05
4.660000,8.0671568561e-07,4.5784257948e-05
4.680000,4.0291705877e-07,4.0266099195e-05
4.700000,1.2374076100e-07,3.5127752103e-05
4.720000,-6.0660299558e-08,3.0404867804e-05
4.740000,-1.7451875254e-07,2.6115623283e-05
4.760000,-2.3716258727e-07,2.2263512646e-05
4.780000,-2.6372967344e-07,1.8840025911e-05
4.800000,-2.6585067037e-07,1.5827497502e-05
4.820000,-2.5227701861e-07,1.3201547356e-05
4.840000,-2.2944085304e-07,1.0933138066e-05
4.860000,-2.0194131619e-07,8.9905170863e-06
