step,energy,drift,timestamp
0,6.8484452635e+00,0.000000e+00,2025-11-03T03:00:05.754839Z
25,6.8207730527e+00,-4.040656e-03,2025-11-03T03:00:05.821452Z
50,6.7401129543e+00,-1.581853e-02,2025-11-03T03:00:05.884517Z
75,6.6079073894e+00,-3.512299e-02,2025-11-03T03:00:05.952643Z
100,6.4265041207e+00,-6.161123e-02,2025-11-03T03:00:06.012929Z
125,6.1991027073e+00,-9.481605e-02,2025-11-03T03:00:06.071408Z
150,5.9296967099e+00,-1.341543e-01,2025-11-03T03:00:06.126228Z
175,5.6230115516e+00,-1.789360e-01,2025-11-03T03:00:06.183524Z
200,5.2844304789e+00,-2.283752e-01,2025-11-03T03:00:06.260094Z
225,4.9199013164e+00,-2.816032e-01,2025-11-03T03:00:06.325688Z
250,4.5358241188e+00,-3.376856e-01,2025-11-03T03:00:06.379041Z
275,4.1389279159e+00,-3.956398e-01,2025-11-03T03:00:06.436509Z
300,3.7361468667e+00,-4.544533e-01,2025-11-03T03:00:06.489360Z
325,3.3345010722e+00,-5.131010e-01,2025-11-03T03:00:06.543827Z
350,2.9409799946e+00,-5.705624e-01,2025-11-03T03:00:06.612363Z
375,2.5624233859e+00,-6.258387e-01,2025-11-03T03:00:06.675726Z
400,2.2053981778e+00,-6.779710e-01,2025-11-03T03:00:06.742325Z
425,1.8760763522e+00,-7.260581e-01,2025-11-03T03:00:06.805531Z
450,1.5801223638e+00,-7.692728e-01,2025-11-03T03:00:06.862626Z
475,1.3225961773e+00,-8.068764e-01,2025-11-03T03:00:06.920768Z
500,1.1078718714e+00,-8.382302e-01,2025-11-03T03:00:06.974267Z
525,9.3956755037e-01,-8.628057e-01,2025-11-03T03:00:07.033050Z
550,8.2048346907e-01,-8.801942e-01,2025-11-03T03:00:07.089668Z
575,7.5255029861e-01,-8.901137e-01,2025-11-03T03:00:07.143742Z
600,7.3679340546e-01,-8.924145e-01,2025-11-03T03:00:07.196460Z
625,7.7331813210e-01,-8.870812e-01,2025-11-03T03:00:07.249599Z
650,8.6131611881e-01,-8.742319e-01,2025-11-03T03:00:07.297475Z
675,9.9908808397e-01,-8.541146e-01,2025-11-03T03:00:07.347497Z
700,1.1840781039e+00,-8.271026e-01,2025-11-03T03:00:07.393398Z
725,1.4129182172e+00,-7.936877e-01,2025-11-03T03:00:07.440064Z
750,1.6814862728e+00,-7.544718e-01,2025-11-03T03:00:07.484158Z
775,1.9849803704e+00,-7.101561e-01,2025-11-03T03:00:07.529752Z
800,2.3180095171e+00,-6.615276e-01,2025-11-03T03:00:07.588512Z
825,2.6746955971e+00,-6.094448e-01,2025-11-03T03:00:07.642923Z
