mode,energy
1,0.0014614910886127214
2,0.003953231182178123
3,0.028025849170908602
4,0.042137460165947924
5,0.41306306695541395
6,0.13759122908567695
7,0.0064293753222283544
8,0.014092708570158097
9,0.14637076131314358
10,0.07734234630929826
11,0.12912082792492013
12,0.5953942437648092
13,0.003690625895574939
14,0.0475902013376209
15,0.013807458909370796
16,0.00030744445225875186
17,0.0017127641953669683
18,0.09201544864454107
19,0.03857592347737767
20,0.07597007759100041
