time,energy
0.0,0.9999999999999999
0.005,0.9965851287964088
0.01,0.995970267438732
0.015,0.9982538227932152
0.02,1.0029469186662816
0.025,1.009084777397611
0.03,1.0154396573580646
0.035,1.0207848851049839
0.04,1.0241490577249552
0.045,1.0250039959413286
0.05,1.023347839998717
0.055,1.0196708223328412
0.06,1.0148188789246844
0.065,1.0097925375719534
0.07,1.0055303861426144
0.075,1.0027257817484005
0.08,1.0017135007389917
0.085,1.0024436491258917
0.09,1.0045387282895328
0.095,1.007411621930364
0.1,1.0104113917060138
0.105,1.0129618622012426
0.11,1.014664357059716
0.115,1.0153479995739334
0.12,1.0150650715726712
0.125,1.0140414213517555
0.13,1.0126001372078361
0.135,1.0110794233926006
0.14,1.0097631239648446
0.145,1.0088361335208542
0.15,1.0083691342267298
0.155,1.008329818765324
0.16,1.0086125844243519
0.165,1.0090763853156495
0.17,1.009580936591031
0.17500000000000002,1.0100140538514555
0.18,1.0103065227968187
0.185,1.0104344631736688
0.19,1.010411866895657
0.195,1.010277435519228
0.2,1.0100800008414232
0.20500000000000002,1.009865975463399
0.21,1.0096708991715493
0.215,1.0095156834658072
0.22,1.009406968016175
0.225,1.0093402843157855
0.23,1.009304503405959
0.23500000000000001,1.0092862303242747
0.24,1.0092732350354745
0.245,1.0092565070519646
0.25,1.009230953158457
0.255,1.0091950463235244
0.26,1.0091498590892312
0.265,1.0090979013189623
0.27,1.0090420794060209
0.275,1.0089849557414432
0.28,1.0089283573609078
0.28500000000000003,1.0088732880783138
0.29,1.0088200482361867
0.295,1.0087684559493963
0.3,1.0087180811704186
0.305,1.0086684348826842
0.31,1.0086190882316695
0.315,1.008569722652723
0.32,1.0085201286841428
0.325,1.0084701781845904
0.33,1.008419794014295
0.335,1.0083689353306815
0.34,1.0083176076230285
0.34500000000000003,1.0082658960689652
0.35000000000000003,1.0082140100845538
0.355,1.0081623176519603
0.36,1.0081113423721977
0.365,1.0080616970374534
0.37,1.008013937644263
0.375,1.0079683426984125
0.38,1.007924653087299
0.385,1.0078818422348592
0.39,1.0078380146409986
0.395,1.0077905397968543
0.4,1.0077365042617212
0.405,1.0076734986638916
0.41000000000000003,1.0076006504890744
0.41500000000000004,1.0075196850526345
0.42,1.0074356799433895
0.425,1.0073571187071368
0.43,1.0072948952416456
0.435,1.0072601039159363
0.44,1.0072607710690955
0.445,1.0072980928900133
0.45,1.007363143336651
0.455,1.0074352667595987
0.46,1.0074833308524072
0.465,1.0074705853330972
0.47000000000000003,1.0073630407487257
0.47500000000000003,1.0071401691925286
0.48,1.0068055891308558
0.485,1.0063945826200453
0.49,1.005975172334274
0.495,1.005640324159442
0.5,1.0054906841210203
0.505,1.0056098476576294
0.51,1.0060369242939342
0.515,1.0067433111472015
0.52,1.0076213035664743
0.525,1.008490850427814
0.53,1.009127271849853
0.535,1.0093075907957636
0.54,1.0088674042124859
0.545,1.0077554767714756
0.55,1.0060710721319706
0.555,1.0040706089690288
0.56,1.0021358432601233
0.5650000000000001,1.0007046122465815
0.5700000000000001,1.0001753199345715
0.5750000000000001,1.0008051778573877
0.58,1.0026270594871904
0.585,1.0054087231923876
0.59,1.0086705470688848
0.595,1.0117649978842946
0.6,1.0140056688771544
0.605,1.0148197414127866
0.61,1.0138890707221366
0.615,1.01124461855762
0.62,1.0072875338788883
0.625,1.0027262987782102
0.63,0.9984393288215092
0.635,0.9952912675867615
0.64,0.9939439675389742
0.645,0.9947061981228792
0.65,0.9974582862884621
0.655,1.0016708347966372
0.66,1.0065145170495486
0.665,1.0110362657807233
0.67,1.0143614490240724
0.675,1.0158758202844493
0.68,1.015346513111774
0.685,1.0129565667262648
0.6900000000000001,1.0092483947878745
0.6950000000000001,1.0049928738542302
0.7000000000000001,1.001017069537548
0.705,0.9980312553133256
0.71,0.9964934256782155
0.715,0.9965382001543666
0.72,0.9979802352286258
0.725,1.000384504210384
0.73,1.0031814433015873
0.735,1.005797135793135
0.74,1.0077686335339493
0.745,1.008821372830887
0.75,1.0088969927075617
0.755,1.0081324540293901
0.76,1.006802039585258
0.765,1.0052403221559976
0.77,1.0037655870377131
0.775,1.002619932079856
0.78,1.0019358485480008
0.785,1.0017315380759313
0.79,1.0019305055758916
0.795,1.0023965041466187
0.8,1.00297331681098
0.805,1.0035199567555113
0.81,1.0039348603211118
0.8150000000000001,1.0041664491850721
0.8200000000000001,1.0042109962781458
0.8250000000000001,1.004101274338309
0.8300000000000001,1.0038906382708095
0.835,1.0036370419942209
0.84,1.0033903690990245
0.845,1.0031848620559813
0.85,1.003036853883238
0.855,1.0029467995758363
0.86,1.0029039505745445
0.865,1.0028919143245631
0.87,1.0028936619685551
0.875,1.00289509634658
0.88,1.002886876913565
0.885,1.0028646727913613
0.89,1.002828303852578
0.895,1.0027803234397556
0.9,1.0027245349851182
0.905,1.002664782533498
0.91,1.002604177124373
0.915,1.0025447671561225
0.92,1.0024875588524844
0.925,1.0024327486939457
0.93,1.0023800332446462
0.935,1.0023288952870248
0.9400000000000001,1.0022788098365534
0.9450000000000001,1.0022293547781593
0.9500000000000001,1.0021802400872877
0.9550000000000001,1.0021312844363337
0.96,1.002082370373101
0.965,1.0020334033262237
0.97,1.0019842898591356
0.975,1.0019349403118238
0.98,1.0018852922637957
0.985,1.0018353449018138
0.99,1.001785190466854
0.995,1.0017350274920986
1.0,1.0016851418680104
1.0050000000000001,1.0016358465970505
1.01,1.0015873801383846
1.0150000000000001,1.0015397764842373
1.02,1.0014927360230916
1.025,1.0014455412145862
1.03,1.0013970694923928
1.035,1.0013459509719274
1.04,1.001290894814522
1.045,1.0012311635865625
1.05,1.0011671142861103
1.055,1.0011006608022253
1.06,1.0010354661022582
1.065,1.000976668178563
1.07,1.0009300035993305
1.075,1.0009003261303937
1.08,1.0008897138257942
1.085,1.0008955779802688
1.09,1.0009093680807215
1.095,1.0009165313392896
1.1,1.0008982637179975
1.105,1.000835245942248
1.11,1.0007130171642922
1.115,1.0005279998296854
1.12,1.0002926206044536
1.125,1.0000376810922338
1.1300000000000001,0.999810308912267
1.135,0.9996665695114316
1.1400000000000001,0.9996590983914677
1.145,0.9998216963163697
1.1500000000000001,1.0001543238544968
1.155,1.0006128523931017
1.16,1.0011078291317685
1.165,1.0015151350851634
1.17,1.001698821924058
1.175,1.0015430578202356
1.18,1.0009867932344627
1.185,1.0000524584323722
1.19,0.9988596349045137
1.195,0.9976167430546891
1.2,0.996588284660241
1.205,0.9960412766772471
1.21,0.9961807933654784
1.215,0.9970892559560336
1.22,0.9986856703529069
1.225,1.0007184454777183
1.23,1.0027987824002351
1.235,1.004472126945601
1.24,1.005315026504818
1.245,1.0050366057023403
1.25,1.003560227528883
1.2550000000000001,1.0010632326033668
1.26,0.9979609581348714
1.2650000000000001,0.9948338964852756
1.27,0.9923108904887988
1.2750000000000001,0.9909330881781374
1.28,0.9910297343049225
1.285,0.9926357583917677
1.29,0.995472412565216
1.295,0.9989978161803381
1.3,1.00251766301335
1.305,1.005331720775277
1.31,1.0068828660257758
1.315,1.0068745764774107
1.32,1.0053302950423313
1.325,1.0025819812521357
1.33,0.9991919338065789
1.335,0.9958273799380308
1.34,0.9931176047386536
1.345,0.991526181645546
1.35,0.9912657969943041
1.355,0.9922718679286198
1.36,0.9942367393402296
1.365,0.9966924049513504
1.37,0.9991197239211077
1.375,1.0010580791861776
1.3800000000000001,1.0021917850813435
1.385,1.0023971284747881
1.3900000000000001,1.0017443898764204
1.395,1.0004597560792228
1.4000000000000001,0.9988602152126279
1.405,0.9972787091661334
1.41,0.9959965651060378
1.415,0.9951962154192694
1.42,0.9949409171091664
1.425,0.995181386890607
1.43,0.995783597657377
1.435,0.996568523012734
1.44,0.9973537534373688
1.445,0.9979883563377484
1.45,0.9983753535965407
1.455,0.9984797828452062
1.46,0.9983235955241996
1.465,0.9979709884545115
1.47,0.9975088778217175
1.475,0.9970271515213667
1.48,0.9966023681891053
1.485,0.9962871179504758
1.49,0.9961057278023431
1.495,0.9960557005224224
1.5,0.996113404537482
1.5050000000000001,0.9962421347741333
1.51,0.9964006886939825
1.5150000000000001,0.9965509330891957
1.52,0.996663340469412
1.5250000000000001,0.9967200237138195
1.53,0.9967152966741959
1.5350000000000001,0.9966541732830796
1.54,0.9965494576393394
1.545,0.9964181687419048
1.55,0.9962780027611756
1.555,0.9961443939277069
1.56,0.9960285315336275
1.565,0.9959364669660827
1.57,0.9958692397383097
1.575,0.9958237954131521
1.58,0.995794379160353
1.585,0.9957740705262326
1.59,0.9957561687863065
1.595,0.9957352251197347
1.6,0.9957076239638555
1.605,0.9956717178485175
1.61,0.9956275993119967
1.615,0.9955766395473853
1.62,0.9955209342328903
1.625,0.9954627780421125
1.6300000000000001,0.9954042510457186
1.635,0.9953469549180695
1.6400000000000001,0.9952918958707808
1.645,0.9952394827451212
1.6500000000000001,0.995189596642994
1.655,0.995141692382446
1.6600000000000001,0.9950949076657224
1.665,0.9950481762857027
1.67,0.9950003590452767
1.675,0.9949504130679281
1.68,0.9948976120477374
1.685,0.9948418060589297
1.69,0.994783674450059
1.695,0.9947248892147531
1.7,0.9946680834079664
1.705,0.994616525150156
1.71,0.9945734444049337
1.715,0.9945410496869063
1.72,0.99451939369537
1.725,0.9945053728447151
1.73,0.9944922343700117
1.735,0.9944699695619493
1.74,0.9944268549275079
1.745,0.994352152281538
1.75,0.994239621501914
1.7550000000000001,0.994091109903418
1.76,0.9939191732665321
1.7650000000000001,0.9937475850373391
1.77,0.9936088105391284
1.7750000000000001,0.9935381060851946
1.78,0.9935647911179942
1.7850000000000001,0.9937022606109907
1.79,0.9939391823398216
1.795,0.9942347452082854
1.8,0.9945205231661028
1.805,0.9947103726896163
1.81,0.9947178948190415
1.815,0.9944787259446115
1.82,0.9939728473200492
1.825,0.9932408825025639
1.83,0.9923885514662251
1.835,0.9915753461927853
1.84,0.9909869194214859
1.845,0.9907949814556036
1.85,0.9911126309694246
1.855,0.9919557978150182
1.86,0.9932218139955371
1.865,0.99469352929109
1.87,0.9960720810674706
1.875,0.9970344549248333
1.8800000000000001,0.9973050074260937
1.885,0.996725074847298
1.8900000000000001,0.9953032897446469
1.895,0.9932321081371491
1.9000000000000001,0.9908630287412534
1.905,0.9886426106049485
1.9100000000000001,0.9870213440275432
1.915,0.986355084964991
1.92,0.9868219274709668
1.925,0.9883749321844532
1.93,0.9907433761350091
1.935,0.993483912486551
1.94,0.9960710262089286
1.945,0.9980065326684104
1.95,0.9989231278902492
1.955,0.9986584349146502
1.96,0.9972832415078136
1.965,0.9950787888960758
1.97,0.9924701294803203
1.975,0.9899325954108823
1.98,0.987893830962077
1.985,0.9866534692881429
1.99,0.9863367876812219
1.995,0.986889361976743
2.0,0.9881094977780115
2.005,0.989706739548928
2.0100000000000002,0.9913700593549398
2.015,0.9928292307182405
2.02,0.993896911820118
2.025,0.9944855503095147
2.0300000000000002,0.9946003107302375
2.035,0.9943148590582449
2.04,0.9937397134512634
2.045,0.9929926291695939
2.05,0.9921777044156294
2.055,0.9913757943988653
2.06,0.9906448275508629
2.065,0.9900259071654611
2.07,0.9895502632120076
2.075,0.9892431272918286
2.08,0.9891228107182706
2.085,0.9891957517314048
2.09,0.9894501779392296
2.095,0.9898517286695818
2.1,0.9903437769420871
2.105,0.9908535984828613
2.11,0.9913035602165831
2.115,0.9916248141245814
2.12,0.9917701055534661
2.125,0.9917224643278362
2.13,0.9914976353726743
2.1350000000000002,0.9911397494159585
2.14,0.9907114320516892
2.145,0.9902808309268661
2.15,0.9899085985073373
2.1550000000000002,0.9896376243437756
2.16,0.9894874121126112
2.165,0.9894537441629946
2.17,0.9895130243205328
2.1750000000000003,0.9896297443769747
2.18,0.989765065649751
2.185,0.9898845783276508
2.19,0.9899637972428016
2.195,0.9899906859142934
2.2,0.9899652596356894
2.205,0.9898969242590983
2.21,0.9898005519331695
2.215,0.9896923530737733
2.22,0.989586421890537
2.225,0.9894925027826378
2.23,0.9894151521512171
2.235,0.9893541454052837
2.24,0.9893057606125712
2.245,0.9892644789421772
2.25,0.9892246654202594
2.255,0.9891818978241443
2.2600000000000002,0.9891337550460636
2.265,0.9890800207363438
2.27,0.9890223760065512
2.275,0.9889637322131658
2.2800000000000002,0.9889073890373108
2.285,0.9888562002225556
2.29,0.988811899570955
2.295,0.9887746939235298
2.3000000000000003,0.9887431771317668
2.305,0.9887145663503287
2.31,0.9886852140124182
2.315,0.9886513087156437
2.32,0.9886096483523763
2.325,0.9885583515130324
2.33,0.9884973711248856
2.335,0.9884286903550874
2.34,0.9883561175453325
2.345,0.988284655349817
2.35,0.9882194970261806
2.355,0.9881647924699614
2.36,0.9881224139157987
2.365,0.9880910154557835
2.37,0.9880656967227479
2.375,0.9880385257312244
2.38,0.9880000350298901
2.3850000000000002,0.9879415838608213
2.39,0.9878582079185417
2.395,0.9877513164679651
2.4,0.9876304239904978
2.4050000000000002,0.9875131042479393
2.41,0.9874225914734929
2.415,0.9873829395034868
2.42,0.9874123259740717
2.4250000000000003,0.9875158167628787
2.43,0.9876794842472421
2.435,0.9878679799506408
2.44,0.9880273190412958
2.445,0.9880936748961776
2.45,0.9880075081749976
2.455,0.9877306536709012
2.46,0.9872624962660175
2.465,0.9866505776664395
2.47,0.9859913018538219
2.475,0.98541803745494
2.48,0.9850766994789416
2.485,0.9850923076875762
2.49,0.9855332383974524
2.495,0.9863819612049717
2.4995,0.987399517594012
