step,energy,drift,timestamp
0,1.3280335233e+00,0.000000e+00,2025-11-14T23:50:14.531427Z
25,2.0675265074e-04,-9.998443e-01,2025-11-14T23:50:14.565595Z
50,2.2533535977e-04,-9.998303e-01,2025-11-14T23:50:14.604026Z
75,2.4854024832e-04,-9.998129e-01,2025-11-14T23:50:14.669884Z
100,2.6688268754e-04,-9.997990e-01,2025-11-14T23:50:14.721491Z
125,2.7531664680e-04,-9.997927e-01,2025-11-14T23:50:14.792417Z
150,2.7487126801e-04,-9.997930e-01,2025-11-14T23:50:14.848465Z
175,2.7053014983e-04,-9.997963e-01,2025-11-14T23:50:14.908079Z
200,2.6726697238e-04,-9.997987e-01,2025-11-14T23:50:14.947606Z
225,2.6706582553e-04,-9.997989e-01,2025-11-14T23:50:15.021181Z
250,2.6864942786e-04,-9.997977e-01,2025-11-14T23:50:15.071659Z
275,2.6951126037e-04,-9.997971e-01,2025-11-14T23:50:15.117849Z
300,2.6832338194e-04,-9.997980e-01,2025-11-14T23:50:15.179008Z
325,2.6587864931e-04,-9.997998e-01,2025-11-14T23:50:15.219433Z
350,2.6413756559e-04,-9.998011e-01,2025-11-14T23:50:15.269453Z
375,2.6445693588e-04,-9.998009e-01,2025-11-14T23:50:15.310918Z
400,2.6653571065e-04,-9.997993e-01,2025-11-14T23:50:15.355609Z
425,2.6882041171e-04,-9.997976e-01,2025-11-14T23:50:15.405075Z
450,2.6985226197e-04,-9.997968e-01,2025-11-14T23:50:15.450381Z
475,2.6935829991e-04,-9.997972e-01,2025-11-14T23:50:15.493323Z
500,2.6825137924e-04,-9.997980e-01,2025-11-14T23:50:15.548866Z
525,2.6768901209e-04,-9.997984e-01,2025-11-14T23:50:15.597087Z
550,2.6808140180e-04,-9.997981e-01,2025-11-14T23:50:15.640028Z
575,2.6886576842e-04,-9.997975e-01,2025-11-14T23:50:15.665984Z
600,2.6913251146e-04,-9.997973e-01,2025-11-14T23:50:15.715859Z
625,2.6847350958e-04,-9.997978e-01,2025-11-14T23:50:15.770975Z
650,2.6731108725e-04,-9.997987e-01,2025-11-14T23:50:15.809920Z
675,2.6648420271e-04,-9.997993e-01,2025-11-14T23:50:15.863596Z
700,2.6651759516e-04,-9.997993e-01,2025-11-14T23:50:15.912667Z
725,2.6722326285e-04,-9.997988e-01,2025-11-14T23:50:15.948643Z
750,2.6793708081e-04,-9.997982e-01,2025-11-14T23:50:15.992321Z
775,2.6812540965e-04,-9.997981e-01,2025-11-14T23:50:16.037929Z
800,2.6780933703e-04,-9.997983e-01,2025-11-14T23:50:16.082577Z
825,2.6746489937e-04,-9.997986e-01,2025-11-14T23:50:16.136732Z
850,2.6754016304e-04,-9.997985e-01,2025-11-14T23:50:16.184909Z
875,2.6804669689e-04,-9.997982e-01,2025-11-14T23:50:16.234615Z
900,2.6857646643e-04,-9.997978e-01,2025-11-14T23:50:16.287664Z
925,2.6869382945e-04,-9.997977e-01,2025-11-14T23:50:16.342363Z
