time,delta_E
0.0,24.34746641982783
0.5,24.065482260847364
1.0,23.237457164837647
1.5,21.899513559037832
2.0,20.110012969780225
2.5,17.94701372754426
3.0,15.504866322195202
3.5,12.89009755163974
4.0,10.216763943432113
4.5,7.601476538216293
5.0,5.158314277839343
5.5,2.9938479118966383
6.0,1.2024913232285321
6.5,0.13761677961650265
7.0,0.9680212884277957
7.5,1.252500499822608
8.0,0.9786460929164545
8.5,0.15840436671677738
9.0,1.1724448769660416
9.5,2.955849073187492
10.0,5.1140151749626295
10.5,7.55280300713563
11.0,10.165831701444613
11.5,12.839120044353772
12.0,15.456058374849835
12.5,17.902495117738482
13.0,20.071716089882916
13.5,21.869099401255916
14.0,23.216242855362616
14.5,24.054383872364742
15.0,24.34696270358864
15.5,24.0812171602119
16.0,23.268739296522064
16.5,21.944969734089522
17.0,20.167651733878515
17.5,18.014312401569082
18.0,15.578880931019679
18.5,12.967591388377993
19.0,10.294348746390844
19.5,7.675760331064277
20.0,5.226049378600587
20.5,3.052072599491804
21.0,1.2486590713769843
21.5,0.10552622053966165
22.0,0.951413754713237
22.5,1.2521060902958152
23.0,0.9944873286589541
23.5,0.18979522073276756
24.0,1.1268690381988882
24.5,2.898071939522692
25.0,5.046552934462449
25.5,7.478594561908524
26.0,10.088110430572414
26.5,12.761272735138029
27.0,15.381477447692362
27.5,17.834430614008088
28.0,20.013133873033986
28.5,21.82255174575022
29.0,23.183757096553965
29.5,24.037373940523747
30.0,24.346167432328087
30.5,24.09666804312777
31.0,23.299759098196535
31.5,21.99020203317473
32.0,20.225120082365677
32.5,18.08150654710859
33.0,15.652866320864671
33.5,13.045137185019971
34.0,10.37206877573165
34.5,7.750260799748933
35.0,5.294076933470556
35.5,3.1106562557025668
36.0,1.2952398254088902
36.5,0.0729837486676781
37.0,0.934332524017492
37.5,1.2512345549614892
38.0,1.009866780673756
38.5,0.22075798117147372
39.0,1.0816704984800896
39.5,2.8406062220591664
40.0,4.979323838617388
40.5,7.40453186458187
41.0,10.01044207992375
41.5,12.683384036023593
42.0,15.306763383651372
42.5,17.766147741278658
43.0,19.954258257767627
43.5,21.775649131296586
44.0,23.150870972018485
44.5,24.019936392203697
45.0,24.344936661911532
45.5,24.111695288884174
46.0,23.330386390239305
46.5,22.035090890910226
47.0,20.282309897648712
47.5,18.148500104836703
48.0,15.726738733406417
48.5,13.122663478943592
49.0,10.449864574175496
49.5,7.82492995772683
50.0,5.362359687178914
50.5,3.1695714256196665
51.0,1.342214865037247
51.5,0.040000526673090286
52.0,0.9167824437357772
52.5,1.2498856978999768
53.0,1.0247804747826896
53.5,0.25128612037326303
54.0,1.0368571870743528
54.5,2.7834601965903487
55.0,4.912335575430305
55.5,7.330621220060257
56.0,9.932830922483191
56.5,12.605455700458165
57.0,15.231915083174918
57.5,17.697642371921507
58.0,19.8950820608558
58.5,21.728381425401107
59.0,23.117571631947
59.5,24.00205599018134
60.0,24.343253185011868
60.5,24.126280196705277
61.0,23.360601494088613
61.5,22.079616186762436
62.0,20.3392011451372
62.5,18.215273634344868
63.0,15.800479786384642
63.5,13.20015335413342
64.0,10.527721031622342
64.5,7.899754759874558
65.0,5.4308868363885185
65.5,3.2288096353773814
66.0,1.3895780479566118
66.5,0.006580446230286308
67.0,0.8987653124364512
67.5,1.248059448834287
68.0,1.039226752323011
68.5,0.2813767149834009
69.0,0.992432938937351
69.5,2.7266382418971276
70.0,4.845592698239061
70.5,7.2568670014794385
71.0,9.855280821158427
71.5,12.527490789504341
72.0,15.156934561043006
72.5,17.628915283571114
73.0,19.83560469382255
73.5,21.68074660500084
74.0,23.083855615093842
74.5,23.983727891756082
75.0,24.34111089034744
