step,energy,drift,timestamp
0,5.2651726253e-06,0.000000e+00,2025-11-10T22:09:59.242791Z
25,3.5549327846e-03,6.741788e+02,2025-11-10T22:09:59.344550Z
50,1.3631100199e-02,2.587918e+03,2025-11-10T22:09:59.458346Z
75,3.0102428949e-02,5.716273e+03,2025-11-10T22:09:59.571810Z
100,5.2763303329e-02,1.002019e+04,2025-11-10T22:09:59.682542Z
125,8.1342821441e-02,1.544822e+04,2025-11-10T22:09:59.793034Z
150,1.1550889937e-01,2.193729e+04,2025-11-10T22:09:59.893382Z
175,1.5486801532e-01,2.941266e+04,2025-11-10T22:09:59.995014Z
200,1.9896508704e-01,3.778790e+04,2025-11-10T22:10:00.106037Z
225,2.4728795204e-01,4.696573e+04,2025-11-10T22:10:00.228361Z
250,2.9927719662e-01,5.683991e+04,2025-11-10T22:10:00.343485Z
275,3.5433798885e-01,6.729746e+04,2025-11-10T22:10:00.466161Z
300,4.1184954130e-01,7.822047e+04,2025-11-10T22:10:00.572954Z
325,4.7117049581e-01,8.948714e+04,2025-11-10T22:10:00.682449Z
350,5.3164235552e-01,1.009724e+05,2025-11-10T22:10:00.780046Z
375,5.9259473150e-01,1.125489e+05,2025-11-10T22:10:00.887250Z
400,6.5335436714e-01,1.240888e+05,2025-11-10T22:10:00.988878Z
425,7.1325645385e-01,1.354659e+05,2025-11-10T22:10:01.090988Z
450,7.7165477115e-01,1.465573e+05,2025-11-10T22:10:01.194083Z
475,8.2792831583e-01,1.572452e+05,2025-11-10T22:10:01.301670Z
500,8.8148513951e-01,1.674171e+05,2025-11-10T22:10:01.417762Z
525,9.3176627505e-01,1.769668e+05,2025-11-10T22:10:01.532169Z
550,9.7825202661e-01,1.857958e+05,2025-11-10T22:10:01.637961Z
575,1.0204702132e+00,1.938141e+05,2025-11-10T22:10:01.740758Z
600,1.0580037021e+00,2.009428e+05,2025-11-10T22:10:01.838133Z
625,1.0904947582e+00,2.071137e+05,2025-11-10T22:10:01.938827Z
650,1.1176461020e+00,2.122705e+05,2025-11-10T22:10:02.048154Z
675,1.1392209012e+00,2.163681e+05,2025-11-10T22:10:02.157502Z
700,1.1550441253e+00,2.193734e+05,2025-11-10T22:10:02.259508Z
725,1.1650056840e+00,2.212654e+05,2025-11-10T22:10:02.364370Z
750,1.1690634446e+00,2.220361e+05,2025-11-10T22:10:02.471045Z
775,1.1672437115e+00,2.216904e+05,2025-11-10T22:10:02.579384Z
800,1.1596384562e+00,2.202460e+05,2025-11-10T22:10:02.679890Z
825,1.1464008876e+00,2.177318e+05,2025-11-10T22:10:02.792225Z
850,1.1277417554e+00,2.141879e+05,2025-11-10T22:10:02.908225Z
875,1.1039274065e+00,2.096649e+05,2025-11-10T22:10:03.019934Z
900,1.0752783888e+00,2.042237e+05,2025-11-10T22:10:03.123898Z
925,1.0421663858e+00,1.979348e+05,2025-11-10T22:10:03.224559Z
950,1.0050083501e+00,1.908775e+05,2025-11-10T22:10:03.323294Z
975,9.6425885615e-01,1.831381e+05,2025-11-10T22:10:03.425170Z
1000,9.2040290854e-01,1.748086e+05,2025-11-10T22:10:03.531911Z
1025,8.7395065354e-01,1.659861e+05,2025-11-10T22:10:03.649419Z
1050,8.2543341461e-01,1.567713e+05,2025-11-10T22:10:03.762838Z
1075,7.7539909231e-01,1.472685e+05,2025-11-10T22:10:03.870553Z
1100,7.2440548243e-01,1.375834e+05,2025-11-10T22:10:03.974998Z
1125,6.7301195548e-01,1.278223e+05,2025-11-10T22:10:04.078403Z
1150,6.2177144541e-01,1.180904e+05,2025-11-10T22:10:04.181588Z
1175,5.7122444728e-01,1.084901e+05,2025-11-10T22:10:04.292989Z
1200,5.2189498888e-01,9.912110e+04,2025-11-10T22:10:04.405697Z
1225,4.7428694035e-01,9.007904e+04,2025-11-10T22:10:04.523230Z
1250,4.2887901837e-01,8.145483e+04,2025-11-10T22:10:04.645008Z
1275,3.8611839771e-01,7.333342e+04,2025-11-10T22:10:04.808398Z
1300,3.4641449554e-01,6.579257e+04,2025-11-10T22:10:04.944109Z
