step,drift_serial,drift_parallel
1,0.0,0.0
2,-2.1377377224258106e-16,0.0
3,-2.1377377224258106e-16,-2.1377377224258106e-16
4,2.1377377224258106e-16,-2.1377377224258106e-16
5,0.0,2.1377377224258106e-16
6,-2.1377377224258106e-16,0.0
7,-2.1377377224258106e-16,-2.1377377224258106e-16
8,0.0,-2.1377377224258106e-16
9,0.0,0.0
10,0.0,0.0
11,2.1377377224258106e-16,0.0
12,2.1377377224258106e-16,2.1377377224258106e-16
13,0.0,2.1377377224258106e-16
14,2.1377377224258106e-16,0.0
15,0.0,2.1377377224258106e-16
16,2.1377377224258106e-16,0.0
17,-4.275475444851621e-16,2.1377377224258106e-16
18,-2.1377377224258106e-16,-4.275475444851621e-16
19,-2.1377377224258106e-16,-2.1377377224258106e-16
20,-2.1377377224258106e-16,-2.1377377224258106e-16
21,2.1377377224258106e-16,-2.1377377224258106e-16
22,-2.1377377224258106e-16,2.1377377224258106e-16
23,-4.275475444851621e-16,-2.1377377224258106e-16
24,2.1377377224258106e-16,-4.275475444851621e-16
25,4.275475444851621e-16,2.1377377224258106e-16
26,-6.413213167277432e-16,4.275475444851621e-16
27,4.275475444851621e-16,-6.413213167277432e-16
28,0.0,4.275475444851621e-16
29,-2.1377377224258106e-16,0.0
30,2.1377377224258106e-16,-2.1377377224258106e-16
31,2.1377377224258106e-16,2.1377377224258106e-16
32,-4.275475444851621e-16,2.1377377224258106e-16
33,0.0,-4.275475444851621e-16
34,-6.413213167277432e-16,0.0
35,-1.2826426334554865e-15,-6.413213167277432e-16
36,2.1377377224258106e-16,-1.2826426334554865e-15
37,2.1377377224258106e-16,2.1377377224258106e-16
38,2.1377377224258106e-16,2.1377377224258106e-16
39,0.0,2.1377377224258106e-16
40,2.1377377224258106e-16,0.0
41,0.0,2.1377377224258106e-16
42,-2.1377377224258106e-16,0.0
43,4.275475444851621e-16,-2.1377377224258106e-16
44,-2.1377377224258106e-16,4.275475444851621e-16
45,-2.1377377224258106e-16,-2.1377377224258106e-16
46,-2.1377377224258106e-16,-2.1377377224258106e-16
47,-2.1377377224258106e-16,-2.1377377224258106e-16
48,0.0,-2.1377377224258106e-16
49,-2.1377377224258106e-16,0.0
50,-2.1377377224258106e-16,-2.1377377224258106e-16
51,-6.413213167277432e-16,-2.1377377224258106e-16
52,2.1377377224258106e-16,-6.413213167277432e-16
53,-2.1377377224258106e-16,2.1377377224258106e-16
54,-2.1377377224258106e-16,-2.1377377224258106e-16
55,0.0,-2.1377377224258106e-16
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,2.1377377224258106e-16,0.0
60,-2.1377377224258106e-16,2.1377377224258106e-16
61,0.0,-2.1377377224258106e-16
62,2.1377377224258106e-16,0.0
63,-2.1377377224258106e-16,2.1377377224258106e-16
64,-2.1377377224258106e-16,-2.1377377224258106e-16
65,-2.1377377224258106e-16,-2.1377377224258106e-16
66,2.1377377224258106e-16,-2.1377377224258106e-16
67,-2.1377377224258106e-16,2.1377377224258106e-16
68,-2.1377377224258106e-16,-2.1377377224258106e-16
69,-6.413213167277432e-16,-2.1377377224258106e-16
70,0.0,-6.413213167277432e-16
71,4.275475444851621e-16,0.0
72,-2.1377377224258106e-16,4.275475444851621e-16
73,0.0,-2.1377377224258106e-16
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,4.275475444851621e-16,0.0
79,-2.1377377224258106e-16,4.275475444851621e-16
80,4.275475444851621e-16,-2.1377377224258106e-16
81,-2.1377377224258106e-16,4.275475444851621e-16
82,0.0,-2.1377377224258106e-16
83,-4.275475444851621e-16,0.0
84,0.0,-4.275475444851621e-16
85,-2.1377377224258106e-16,0.0
86,0.0,-2.1377377224258106e-16
87,2.1377377224258106e-16,0.0
88,0.0,2.1377377224258106e-16
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,-2.1377377224258106e-16,0.0
93,2.1377377224258106e-16,-2.1377377224258106e-16
94,2.1377377224258106e-16,2.1377377224258106e-16
95,-2.1377377224258106e-16,2.1377377224258106e-16
96,0.0,-2.1377377224258106e-16
97,-2.1377377224258106e-16,0.0
98,-2.1377377224258106e-16,-2.1377377224258106e-16
99,-2.1377377224258106e-16,-2.1377377224258106e-16
100,-2.1377377224258106e-16,-2.1377377224258106e-16
101,0.0,-2.1377377224258106e-16
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,2.1377377224258106e-16,0.0
107,-2.1377377224258106e-16,2.1377377224258106e-16
108,-2.1377377224258106e-16,-2.1377377224258106e-16
109,0.0,-2.1377377224258106e-16
110,-2.1377377224258106e-16,0.0
111,0.0,-2.1377377224258106e-16
112,0.0,0.0
113,-2.1377377224258106e-16,0.0
