time,KE,GE,PE,H_total
0.0,0.0,0.9999861859153533,1.3814084646735203e-05,1.0
0.005,0.045990215023615263,0.950288784368177,1.3196748512472384e-05,0.9962921961403047
0.01,0.17482857361871149,0.8199481110956723,1.1567153333425375e-05,0.9947882518677172
0.015,0.36108270108807483,0.634645596322439,9.218326715135529e-06,0.995737515737229
0.02,0.5684596640940687,0.43040788479402275,6.566862466128665e-06,0.9988741157505575
0.025,0.7574706758456218,0.2460149676561223,4.071929556980463e-06,1.003489715431301
0.03,0.8935816056382849,0.11501857796173681,2.148090242602033e-06,1.0086023316902644
0.035,0.9540416731527812,0.059136032981340333,1.0898702148638109e-06,1.0131787960043366
0.04,0.9319422503365193,0.08441415473638345,1.0229319767191896e-06,1.0163574280048795
0.045,0.8367441404824325,0.1808739979174479,1.890475812735935e-06,1.0176200288756931
0.05,0.6913460836135755,0.3255275535090974,3.475668060576726e-06,1.0168771127907335
0.055,0.5265414625495317,0.4879060754248172,5.45331613451538e-06,1.0144529912904834
0.06,0.3742416276072315,0.6367326575500962,7.458363296657639e-06,1.0109817435206245
0.065,0.26102092924997156,0.7462149558217569,9.156203340283628e-06,1.0072450412750686
0.07,0.20334320618012844,0.8006401407520067,1.0300668599908351e-05,1.003993647600735
0.075,0.20533747683164166,0.7964460089776061,1.0769360683821453e-05,1.0017942551699317
0.08,0.25934380877046653,0.7415788460835865,1.0571666536773672e-05,1.00093322652059
0.085,0.3488159610056357,0.6525664264505775,9.83090177494058e-06,1.0013922183579882
0.09,0.4526936446903806,0.550189984081623,8.747159918981033e-06,1.0028923759319226
0.095,0.5501382231836215,0.4548426706547765,7.550596268433876e-06,1.0049884444346664
0.1,0.6245835569649694,0.38259513667107703,6.455580689931248e-06,1.0071851492167365
0.105,0.6663413138846563,0.34269998513635463,5.624564698977555e-06,1.0090469235857098
0.11,0.6734208288158005,0.3368518026143105,5.147274148245726e-06,1.0102777787042592
0.115,0.6506616302844043,0.36009177041903095,5.036892501740037e-06,1.0107584375959369
