t,E_sum_sq,rel_drift
1.475000000000000089e+00,2.210210079622173396e+01,-1.482340975862353992e-03
1.500000000000000000e+00,2.210470281373284251e+01,-1.364788329718595768e-03
1.525000000000000133e+00,2.210722256318099710e+01,-1.250952348990068018e-03
1.550000000000000044e+00,2.210965692073564526e+01,-1.140974160531596591e-03
1.575000000000000178e+00,2.211200340283865629e+01,-1.034965965290665863e-03
1.600000000000000089e+00,2.211426013389468892e+01,-9.330124979758310259e-04
1.625000000000000000e+00,2.211642581197757096e+01,-8.351725763567547679e-04
1.650000000000000133e+00,2.211849967298939035e+01,-7.414807204668695225e-04
1.675000000000000044e+00,2.212048145369088914e+01,-6.519488227977545845e-04
1.700000000000000178e+00,2.212237135400071253e+01,-5.665678515248141192e-04
1.725000000000000089e+00,2.212416999893705949e+01,-4.853095698883553221e-04
1.750000000000000000e+00,2.212587840054950661e+01,-4.081282560186180958e-04
1.775000000000000133e+00,2.212749792016077066e+01,-3.349624087585466054e-04
1.800000000000000044e+00,2.212903023120961166e+01,-2.657364263285377174e-04
1.825000000000000178e+00,2.213047728295613581e+01,-2.003622460301161107e-04
1.850000000000000089e+00,2.213184126528088669e+01,-1.387409345349947896e-04
1.875000000000000000e+00,2.213312457477902839e+01,-8.076421966511475314e-05
1.900000000000000133e+00,2.213432978232132342e+01,-2.631595590656805761e-05
1.925000000000000044e+00,2.213545960222474918e+01,2.472648279592913064e-05
1.950000000000000178e+00,2.213651686314755196e+01,7.249088815033783947e-05
1.975000000000000089e+00,2.213750448079708022e+01,1.171089845254326054e-04
2.000000000000000000e+00,2.213842543251325523e+01,1.587152806955475354e-04
2.024999999999999911e+00,2.213928273376707878e+01,1.974460081019072132e-04
2.050000000000000266e+00,2.214007941659159329e+01,2.334381464173269764e-04
2.075000000000000178e+00,2.214081850994287848e+01,2.668285363051403668e-04
2.100000000000000089e+00,2.214150302197024445e+01,2.977530784308451994e-04
2.125000000000000000e+00,2.214213592415889309e+01,3.263460170671909043e-04
