mode_n,theory_energy,measured_energy,rel_error
1,0.2092007535649994,0.21439409925042638,0.02482469874953577
2,0.23464829249038746,0.2384281000255502,0.016108395654818523
3,0.27181721363716543,0.2671129148221517,0.017306846582914506
4,0.31660588224892106,0.3177566619064844,0.0036347387148624255
5,0.3662292755967088,0.3688835686188543,0.0072476265525762765
6,0.4189730188423709,0.41264399605404123,0.015106039061457672
