time,energy_left,energy_barrier,energy_right
0.0,2.658680776358274,2.432359580907642e-33,5.520794432439163e-48
0.05,2.8967904950221524,3.4669009650618355e-33,6.742789296309014e-23
0.1,3.5532010999742676,4.496902114689477e-33,1.8247277642247162e-22
0.15,4.587062886235841,5.4592831354638314e-33,2.4221813722549547e-22
0.2,5.9341365987032235,6.329826587088258e-33,3.6070101189766084e-22
0.25,7.510923972853272,7.114691019715163e-33,4.2140022693039886e-22
0.3,9.220023812386808,7.825881450230943e-33,4.561362329254763e-22
0.35000000000000003,10.956358661942925,8.466242257292503e-33,4.81004931551202e-22
0.4,12.613860826835555,9.027087442807015e-33,4.796142834526111e-22
0.45,14.092178203845743,9.469996722321284e-33,5.185784660266872e-22
0.5,15.302961906367415,9.729447208831865e-33,6.802067289214513e-22
0.55,16.17532870026621,9.715507138295136e-33,1.2359963613344296e-21
0.6,16.660149471717556,9.318557023585614e-33,2.30676077919336e-21
0.65,16.73289611455334,8.448114031299182e-33,4.442554094772472e-21
0.7000000000000001,16.394877585450484,7.086812320480098e-33,8.308979865336894e-21
0.75,15.672804528173769,5.391285823012514e-33,1.4361904497477104e-20
0.8,14.616733272579976,3.853935446549573e-33,2.4083472233370517e-20
0.85,13.296546529566545,3.5294800212182457e-33,3.84617360038301e-20
0.9,11.797222527382283,6.351688530524889e-33,5.876882569581094e-20
0.9500000000000001,10.213220404286135,1.5531914508749811e-32,8.739613352140124e-20
1.0,8.642362489316794,3.6052166478047165e-32,1.2528913548894144e-19
1.05,7.179620456939458,7.520367846582426e-32,1.7460127614873834e-19
1.1,5.911210908169018,1.4314288651177043e-31,2.3740919420559245e-19
1.1500000000000001,4.9093773314547136,2.5339933594068967e-31,3.1369502783712597e-19
1.2,4.228182117875526,4.231533468850213e-31,4.0511608858676055e-19
1.25,3.9005584885223814,6.73223422912429e-31,5.108036375777795e-19
1.3,3.9367833091518323,1.0274888279144534e-30,6.281159089921502e-19
1.35,4.324434208249761,1.511484509789356e-30,7.5520860204353585e-19
1.4000000000000001,5.029795019279223,2.1500733154151235e-30,8.857215548190077e-19
1.45,6.000579136066521,2.9637541052120885e-30,1.013183166964207e-18
1.5,7.169757187230797,3.963606186545919e-30,1.1306664088328783e-18
1.55,8.460208845241892,5.1449695475375236e-30,1.2284836027047847e-18
1.6,9.789872642152687,6.479907756930361e-30,1.3005091602736264e-18
1.6500000000000001,11.077044883745558,7.909596500905226e-30,1.3428084009457533e-18
1.7,12.245479983889211,9.33786288292147e-30,1.3574051414463025e-18
1.75,13.228968949587808,1.0628035550415589e-29,1.3576574129971392e-18
1.8,13.975117933635383,1.1606864342057174e-29,1.3713652510284195e-18
1.85,14.44811098341383,1.2079640372919323e-29,1.447980015112904e-18
1.9000000000000001,14.630315553206168,1.1862695430968475e-29,1.6624970693707624e-18
1.95,14.522670540157405,1.084065415645142e-29,2.1259911190402822e-18
2.0,14.143878807450541,9.056253213314182e-30,2.9863930923050306e-18
2.05,13.52850376938234,6.841723060652696e-30,4.4335002083590725e-18
2.1,12.724137554603747,4.999259337305848e-30,6.7075541013291345e-18
2.15,11.787862318449712,5.035877579619434e-30,1.0081385997615084e-17
2.2,10.782263346033474,9.453064143535547e-30,1.4866484170113585e-17
2.25,9.771270869233735,2.2083383034879404e-29,2.139521144286736e-17
2.3000000000000003,8.816106572157294,4.8454794943069015e-29,2.9980157896306227e-17
2.35,7.971591478783378,9.614637682749205e-29,4.091145467476906e-17
2.4,7.283036419593128,1.7508035150507735e-28,5.439069286680901e-17
2.45,6.783887695366207,2.9767007558202026e-28,7.048323769620519e-17
2.5,6.494242784626514,4.78717984687571e-28,8.90962591967047e-17
2.5500000000000003,6.420288314362736,7.349363774619336e-28,1.0988455469978778e-16
2.6,6.554649496107071,1.0839422842330022e-27,1.3224331425849587e-16
2.65,6.877581095733733,1.5425796555985612e-27,1.552952568506196e-16
2.7,7.358878552036129,2.1244450344790337e-27,1.7787025028877096e-16
2.75,7.9603471647855475,2.8365478154282764e-27,1.986284710836336e-16
2.8000000000000003,8.638639520465428,3.675160242392731e-27,2.161732891166499e-16
2.85,9.348257695092618,4.621088883995387e-27,2.29279037862223e-16
2.9,10.044517419955767,5.634868868887115e-27,2.3726700069877516e-16
2.95,10.686285483562795,6.652761164077492e-27,2.4042855763977137e-16
3.0,11.238327463601989,7.584889507476326e-27,2.4063236429837246e-16
3.0500000000000003,11.673138021680792,8.317430957876311e-27,2.4201876100017757e-16
3.1,11.972167537456949,8.721408367471616e-27,2.517912963803236e-16
3.15,12.126403626019917,8.671262007818488e-27,2.8104675131773174e-16
3.2,12.136310860114486,8.076956843845269e-27,3.455631872043166e-16
3.25,12.011173787584175,6.933711746860063e-27,4.665184926949218e-16
3.3000000000000003,11.767924466104162,5.393375595590044e-27,6.70815563173746e-16
3.35,11.429564153319355,3.860788881398097e-27,9.91141836489565e-16
3.4,11.023308071812536,3.1168452723354743e-27,1.465393815488315e-15
3.45,10.578591611870827,4.46715972725351e-27,2.135184783821231e-15
3.5,10.125075956451255,9.910925223504023e-27,3.043784142542747e-15
3.5500000000000003,9.690781598308154,2.2318510975009675e-26,4.232685146704412e-15
3.6,9.300460833648767,4.5598514823467236e-26,5.73720899945142e-15
3.65,8.974296776432622,8.482549117416876e-26,7.581478018627481e-15
3.7,8.726988760916099,1.4628900883030844e-25,9.77207716837983e-15
3.75,8.567254346657986,2.3741395118658116e-25,1.229203931855375e-14
3.8000000000000003,8.497748650699464,3.6649291152378127e-25,1.5095263182497796e-14
