sigma_x,delta_x,delta_k,product
2.0,1.9999999999999998,0.25,0.49999999999999994
3.0,3.0000000000000004,0.16666666666666666,0.5
4.0,3.9999999999999996,0.12499999999999999,0.4999999999999999
6.0,5.999999999999997,0.08333333333333329,0.4999999999999995
8.0,7.999999973935846,0.062499999801390635,0.49999999678211543
