time,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10
0.0,3.3237926078496365,3.3237980543774226,3.037203745587375,0.006458798679372061,0.004617664520531782,0.00015427427157543806,0.00013593645658737256,5.641322885269199e-07,7.49998142194043e-07,1.0302268194025157e-08
1.0,3.11788988887482,3.046805422891348,2.7753992150293993,0.0065510662715310775,0.0033020208601302124,0.0003305767960342331,0.00013386777952856098,3.1843765360842334e-07,4.16021127257039e-07,5.458758060381848e-07
2.0,2.554090429917197,2.3095796697087203,2.082508059183495,0.006754438166228193,0.0007816681661248011,0.0011351680627202673,0.00012510257923786626,1.6014469099834745e-05,9.263017458923147e-10,7.718523486671887e-06
3.0,1.7737063862197497,1.355342837658176,1.1963801676258456,0.006838095241979049,0.00022954361914537575,0.0029536933798423536,0.0001003834712945813,7.105285073664627e-05,9.192046196711668e-07,2.552293418652124e-05
4.0,0.9700491549508405,0.5010870936258683,0.4209374890645368,0.0064603165088180205,0.00407088652755818,0.00541806544865555,5.5926584745722356e-05,0.00015211281393108156,3.4228852435357524e-06,4.1217328195480357e-05
5.0,0.33761651744021154,0.035334436592264845,0.021678045133590958,0.005307936498291162,0.011788572499936232,0.007129297155498716,9.783955199188298e-06,0.00020295379752558368,5.807692386927188e-06,3.639404442041132e-05
6.0,0.02174833472515926,0.12469564906394705,0.13456858298897154,0.0033536803907153706,0.01965478308749536,0.006544914471436604,9.30335098151553e-06,0.00017325874761649234,5.867709250025147e-06,1.3578292081689755e-05
7.0,0.08227965618720447,0.7591183049384627,0.7196292643684257,0.0011529079434223644,0.022822943628831492,0.003554154033432319,0.00011012753180062643,7.80366791773134e-05,3.2741702796090106e-06,7.280421609382562e-09
8.0,0.4806552304428566,1.7533600419683804,1.5750192730909902,2.0869287185720146e-07,0.01865649603899307,0.0004292830667130623,0.0003260888882982028,3.4333734437160456e-06,4.2046151291634314e-07,1.755955249438222e-05
9.0,1.0933618520614725,2.8043265196477254,2.4065820086146537,0.0017419678686034143,0.009209699954618457,0.0010126467300020847,0.0005849707970391298,4.20380850729221e-05,7.337888617723433e-07,5.479670854495573e-05
