quantity,measured,theory,error_pct
omega,1.9912680147e+01,1.9941812925e+01,0.146089
omega2_over_k2,9.9708662415e-01,1.0000062866e+00,0.291964
chi_over_k,2.5073024881e-03,2.5073024881e-03,0.0
energy_drift,4.3101457730e-04,1.0000000000e-02,4.310146
