z_index,chi,omega_measured
0,0.061777275,0.06177727443774523
1,0.07480566,0.07480566129906359
2,0.08947023,0.0894702291563214
3,0.10569659,0.1056965877073863
4,0.123333685,0.12333368388052751
5,0.14214802,0.1421480164738496
6,0.16182226,0.1618222578230508
7,0.1819592,0.18195919511982558
8,0.20209153,0.20209152796193314
9,0.22169739,0.22169738788287932
10,0.24022122,0.2402212148925047
11,0.25709906,0.25709905965481167
12,0.27178657,0.2717865678552071
13,0.28378785,0.2837878437518732
14,0.2926833,0.29268330045422963
15,0.29815385,0.2981538444988938
16,0.3,0.3000000089473566
17,0.29815385,0.2981538444988938
18,0.2926833,0.29268330045422963
19,0.28378785,0.2837878437518732
20,0.27178657,0.2717865678552071
21,0.25709906,0.25709905965481167
22,0.24022122,0.2402212148925047
23,0.22169739,0.22169738788287932
24,0.20209153,0.20209152796193314
25,0.1819592,0.18195919511982558
26,0.16182226,0.1618222578230508
27,0.14214802,0.1421480164738496
28,0.123333685,0.12333368388052751
29,0.10569659,0.1056965877073863
30,0.08947023,0.0894702291563214
31,0.07480566,0.07480566129906359
32,0.061777275,0.06177727443774523
33,0.050391972,0.05039197156841976
34,0.041752774,0.041752773854829714
35,0.049325075,0.04932507451713411
36,0.05755572,0.05755571964677873
37,0.066335745,0.06633574449509977
38,0.07551705,0.07551705017658038
39,0.08491429,0.08491428856983196
40,0.09430938,0.09430938120208733
41,0.103458785,0.10345878349334581
42,0.11210324,0.11210323758742394
43,0.11997957,0.11997956663504902
44,0.12683372,0.12683372073839175
45,0.13243432,0.13243432211422335
46,0.13658553,0.13658553226803508
47,0.13913846,0.13913845878061493
48,0.14,0.13999999920933287
49,0.13913846,0.13913845878061493
50,0.13658553,0.13658553226803508
51,0.13243432,0.13243432211422335
52,0.12683372,0.12683372073839175
53,0.11997957,0.11997956663504902
54,0.11210324,0.11210323758742394
55,0.103458785,0.10345878349334581
56,0.09430938,0.09430938120208733
57,0.08491429,0.08491428856983196
58,0.07551705,0.07551705017658038
59,0.066335745,0.06633574449509977
60,0.05755572,0.05755571964677873
61,0.049325075,0.04932507451713411
62,0.041752774,0.041752773854829714
63,0.034909308,0.03490930760962318
