time,total_energy,mode1_energy,mode2_energy
0.0,0.5883396305982563,25.599995482053846,1.024001807145318
0.25,0.5884076977517056,25.528608210708395,1.0204212253562153
0.5,0.5883730720233997,25.318043902859483,1.0098610887590547
0.75,0.5883421381455086,24.970606810920756,0.9924656461592356
1.0,0.5883138077711606,24.490095843483132,0.9684737388846888
1.25,0.5882879054498149,23.88176490107544,0.9382147969179971
1.5,0.5882644525682245,23.152265457958215,0.9021043035779652
1.75,0.5882435792265756,22.309573839998098,0.860638087320659
2.0,0.5882255032111908,21.36290401429481,0.8143855110320873
2.25,0.5882104730102228,20.32260684619544,0.7639816515456948
2.5,0.5881986959088789,19.2000569255782,0.7101185766664564
2.75,0.5881902951089494,18.00752819990869,0.6535358394966104
3.0,0.5881853161398126,16.758059773881467,0.5950103206390817
3.25,0.588183765552661,15.465313342948262,0.5353455578234279
3.5,0.5881856452680431,14.14342381949227,0.4753607095451557
3.75,0.5881909564153023,12.80684478482891,0.4158793043390786
4.0,0.5881996747881556,11.47019045678191,0.3577179302517767
4.25,0.5882117219321489,10.148075900682187,0.3016750198975399
4.5,0.5882269554959726,8.854957230846425,0.2485198851647337
4.75,0.588245183561535,7.604973549703768,0.19898215220441667
5.0,0.5882661880457056,6.411792352749519,0.15374174182787062
5.25,0.5882897377994974,5.288460089618881,0.113419532940627
5.5,0.588315584120877,4.247259515207242,0.07856883725158063
5.75,0.5883434477184454,3.2995753905290797,0.049667802345758835
6.0,0.5883730125243669,2.455770001718949,0.02711284745178798
6.25,0.5884039340908447,1.725069858231796,0.011213222045029444
6.5,0.5884358568589815,1.1154648090721762,0.002186761999362395
6.75,0.5884684275508834,0.6336206801089144,0.0001569015463289703
7.0,0.5885012966593294,0.2848063876994291,0.005150982045523743
7.25,0.5885341111873928,0.07283632557275593,0.01709988075172813
7.5,0.5885665091042896,2.865493294265873e-05,0.03583896462724932
7.75,0.5885981234855752,0.06717995387017164,0.061110356041710986
8.0,0.588628595120441,0.27355650330607045,0.09256647917669025
8.25,0.5886575851217524,0.6169023048068796,0.12977483835714007
8.5,0.5886847798855274,1.093463742661488,0.1722239626075183
8.75,0.5887098881321998,1.69803062064055,0.21933043471060493
9.0,0.5887326366194563,2.4239931248176023,0.27044690815116235
9.25,0.5887527714482353,3.263414089701164,0.3248710017593248
9.5,0.5887700659780609,4.207115777602639,0.3818549498159631
9.75,0.5887843300172658,5.244780222478569,0.44061587500959376
10.0,0.5887954138776598,6.365062041172678,0.5003465430839044
10.25,0.5888032056514578,7.555712478665553,0.5602264514041145
10.5,0.5888076259862937,8.803713331107218,0.61943309908999
10.75,0.5888086263114474,10.095419282404048,0.6771532838764286
11.0,0.5888061926836167,11.41670709813557,0.7325942705035066
11.25,0.5888003519231247,12.75313004559563,0.7849946772118034
11.5,0.5887911745341041,14.090075851603753,0.83363493080109
11.75,0.5887787717705179,15.412926471043063,0.8778471466479999
12.0,0.5887632892189206,16.7072179192729,0.9170242979888669
12.25,0.5887449017937855,17.95879842085477,0.9506285485488006
12.5,0.5887238129958416,19.153983145427937,0.9781986341023481
12.75,0.5887002568375701,20.279703838874322,0.9993561916265004
13.0,0.5886744981825344,21.323651713716462,1.0138109491737013
13.25,0.5886468286864578,22.274412036383136,1.0213647052514783
13.5,0.5886175595133011,23.121588939753387,1.0219140431318172
13.75,0.5885870147478254,23.855919096254883,1.0154517428986705
14.0,0.5885555284832543,24.46937300857994,1.0020668719370318
14.25,0.5885234449622646,24.95524281046072,0.9819435527265872
14.5,0.5884911182899254,25.308215617430836,0.9553584249768825
14.75,0.5884589086786274,25.524431625486617,0.9226768370798747
15.0,0.5884271753649908,25.601526322313838,0.8843478193127995
15.25,0.5883962692464266,25.538656349449116,0.8408979079593865
15.5,0.5883665283141282,25.33650873249608,0.7929239053007998
15.75,0.5883382762542546,24.9972933783608,0.7410846750419486
16.0,0.588311821768093,24.524718921424636,0.6860920859834775
16.25,0.5882874558065275,23.923952182630025,0.6287012284427985
16.5,0.5882654462173228,23.201561684630754,0.5697000379087834
16.75,0.588246032009439,22.365445840487276,0.5098984685469881
17.0,0.5882294200238443,21.424746600969403,0.4501173653442699
17.25,0.5882157847993432,20.389749504525966,0.39117718780861505
17.5,0.58820526976447,19.271771222657474,0.33388674016552045
17.75,0.588197987032573,18.083035830158163,0.27903206288862364
18.0,0.5881940147389363,16.83654115298117,0.22736563817070757
18.25,0.5881933934236042,15.545916654979889,0.17959605761284184
18.5,0.5881961240611484,14.225274417300884,0.1363782940434264
18.75,0.5882021690395423,12.889054839740554,0.09830471106327619
19.0,0.5882114549918877,11.551868751099976,0.06589693376189003
19.25,0.5882238751283465,10.228337654850787,0.03959869220349288
19.5,0.5882392896935313,8.932933856829234,0.01976973590252486
19.75,0.5882575253785273,7.679822222981528,0.006680902780880847
20.0,0.5882783758467304,6.482705297377214,0.0005104102261715368
20.25,0.58830160478376,5.354673473982627,0.0013414190697185744
20.5,0.5883269508072339,4.30806186044531,0.009160903805944285
20.75,0.5883541321326552,3.3543153989853995,0.023859844421683984
21.0,0.5883828493943922,2.503863719222848,0.04523473704147704
21.25,0.5884127869462538,1.766007091375455,0.07299040247263698
21.5,0.5884436145020412,1.148814726906141,0.10674405390093032
21.75,0.588474990731742,0.6590365387052478,0.14603056768907655
22.0,0.588506568693323,0.3020293257406965,0.19030888470380697
22.25,0.5885380014005145,0.08169818940410516,0.23896945407001138
22.5,0.5885689458422264,0.0004538222486098855,0.2913426169359582
22.75,0.5885990652982012,0.0591861362746314,0.3467078149283383
