x,p_initial,p_final
0.0,0.0,-1.5302753498361318e-05
0.05,3.2840518302418e-18,-2.8883865992117705e-06
0.1,9.687481594849843e-18,6.291646723815787e-06
0.15000000000000002,2.0961004420861508e-17,1.202431035006032e-05
0.2,3.931572599344318e-17,1.4395999298753641e-05
0.25,6.713885708307189e-17,1.3799968843763259e-05
0.30000000000000004,1.0620045002666422e-16,1.092783818968964e-05
0.35000000000000003,1.5592310810911945e-16,6.743808398393578e-06
0.4,2.1003700568542386e-16,2.440596838673827e-06
0.45,2.505956442327083e-16,-6.23086781006355e-07
0.5,2.378725114719212e-16,-1.0025782278763573e-06
0.55,9.410323879431647e-17,2.7376655595836986e-06
0.6000000000000001,-3.215721294408988e-16,1.1918151119118868e-05
0.65,-1.2501645207170668e-15,2.763355282455522e-05
0.7000000000000001,-3.085363747037444e-15,5.064462084949718e-05
0.75,-6.444640946305643e-15,8.128154650475399e-05
0.8,-1.2260412190277243e-14,0.00011936802902410838
0.8500000000000001,-2.1889019454180976e-14,0.00016417508555367972
0.9,-3.7228239843395236e-14,0.00021441210516136113
0.9500000000000001,-6.082214488166098e-14,0.0002682607522708498
1.0,-9.591363234893435e-14,0.00032345360216761663
1.05,-1.463780974244146e-13,0.00037739615979364685
1.1,-2.1643529643863067e-13,0.00042732604552155105
1.1500000000000001,-3.0999075085233975e-13,0.0004704995183777825
1.2000000000000002,-4.2940624721087384e-13,0.0005043915799216163
1.25,-5.734494456602089e-13,0.0005268932171558206
1.3,-7.341418191487854e-13,0.0005364885239627584
1.35,-8.922407288056798e-13,0.0005323940989876877
1.4000000000000001,-1.0112008795125627e-12,0.000514646270560918
1.4500000000000002,-1.029730169885315e-12,0.00048412476854304014
1.5,-8.535792004198366e-13,0.00044250743887273847
1.55,-3.481059843197481e-13,0.00039215684975253966
1.6,6.654108451371152e-13,0.00033594603200414244
1.6500000000000001,2.4046055591918758e-12,0.00027703765587550256
1.7000000000000002,5.103901475506463e-12,0.00021863550569270032
1.75,8.963330457644227e-12,0.00016373122152584237
1.8,1.4051178762564936e-11,0.00011487041355347993
1.85,2.0137465271836017e-11,7.396087533162227e-05
1.9000000000000001,2.6428996106691195e-11,4.214229924602245e-05
1.9500000000000002,3.117102839789676e-11,1.973057960433729e-05
2.0,3.10769864693701e-11,6.242434366386305e-06
2.0500000000000003,2.0548587779194513e-11,4.976221016131555e-07
2.1,-9.342510027939216e-12,7.875732116728994e-07
2.15,-7.211948892372661e-11,5.092071625870695e-06
2.2,-1.8738115035075943e-10,1.1320128299896992e-05
2.25,-3.8240668883774007e-10,1.754844255854931e-05
2.3000000000000003,-6.937021425082738e-10,2.223099405382572e-05
2.35,-1.1681831692811588e-09,2.4356540787343392e-05
2.4000000000000004,-1.8635325142098703e-09,2.3536774771269713e-05
2.45,-2.8470866027033165e-09,2.001581978510346e-05
2.5,-4.192409227318802e-09,1.4601006373413092e-05
2.5500000000000003,-5.9725298748591686e-09,8.524091684087926e-06
2.6,-8.248706112297716e-09,3.2502859875930104e-06
2.6500000000000004,-1.1053581326957626e-08,2.587510934961837e-07
2.7,-1.4367842633692398e-08,8.216467936582456e-07
2.75,-1.8090054276010962e-08,5.809041777015373e-06
2.8000000000000003,-2.2000383917798134e-08,1.554402198780044e-05
2.85,-2.572059586506238e-08,2.972635441807228e-05
2.9000000000000004,-2.867508902399333e-08,4.743494422938906e-05
2.95,-3.006100158564402e-08,6.72099276437271e-05
3.0,-2.883950346401489e-08,8.720567865313438e-05
3.0500000000000003,-2.376523697074745e-08,0.00010539755334624747
3.1,-1.3476144808112634e-08,0.00011981870704315303
3.1500000000000004,3.328906652716513e-09,0.0001287995526834241
3.2,2.7593092960686763e-08,0.00013118198034781531
3.25,5.945151361521742e-08,0.00012648322593613673
3.3000000000000003,9.759594427290079e-08,0.00011498983856122158
3.35,1.3842954296384444e-07,9.77700400747791e-05
3.4000000000000004,1.7500121388930712e-07,7.660192301398434e-05
3.45,1.957333739924627e-07,5.3824199149242844e-05
3.5,1.8299188568791374e-07,3.212462005483599e-05
3.5500000000000003,1.1159365785780416e-07,1.4287866964338428e-05
3.6,-5.259471949622544e-08,2.9288477741114938e-06
3.6500000000000004,-3.537474798304309e-07,2.3854228562214395e-07
3.7,-8.465694824637199e-07,7.767825585418897e-06
3.75,-1.595829968155361e-06,2.6270338581685645e-05
3.8000000000000003,-2.6745352989572424e-06,5.5618993196353335e-05
3.85,-4.160316573704181e-06,9.48029118735273e-05
3.9000000000000004,-6.129636625399322e-06,0.0001420034236946394
3.95,-8.649515988747562e-06,0.00019474003454074412
4.0,-1.1766657150640301e-05,0.00025007083568975483
4.05,-1.5494125625768083e-05,0.0003048272500705998
4.1000000000000005,-1.9796133173139442e-05,0.00035586071531118246
4.15,-2.457195996028165e-05,0.00040027894696983523
4.2,-2.9640630782257482e-05,0.00043565164645604734
4.25,-3.472858871167119e-05,0.00046016955213747313
4.3,-3.946322922852377e-05,0.000472746048151099
4.3500000000000005,-4.3375687749635403e-05,0.0004730565032160962
4.4,-4.591661151943385e-05,0.0004615164541935401
4.45,-4.6488675534645786e-05,0.00043920508793857566
4.5,-4.449919803124302e-05,0.0004077447439333748
4.55,-3.9435258289786326e-05,0.00036915004393315166
4.6000000000000005,-3.096212785336864e-05,0.0003256616061716711
4.65,-1.904355168957171e-05,0.00027957914386946025
4.7,-4.079482544339446e-06,0.00023310725678466472
4.75,1.2946607312815108e-05,0.00018822469231448584
4.800000000000001,3.032251983164861e-05,0.000146584641318872
4.8500000000000005,4.5479718120622046e-05,0.00010945012885656778
4.9,5.4902158222115664e-05,7.766512775899972e-05
4.95,5.4092812740347844e-05,5.1658975912209015e-05
5.0,3.7619980245672434e-05,3.147924979774346e-05
5.050000000000001,-7.358047519413403e-07,1.684657849533577e-05
5.1000000000000005,-6.7717356116705e-05,7.224021190864651e-06
5.15,-0.000170198898699247,1.893539128928403e-06
5.2,-0.00031466656860239044,3.266298743668537e-08
5.25,-0.000506584155064878,7.855343768251807e-07
5.300000000000001,-0.0007496719973798932,3.3239066159782977e-06
5.3500000000000005,-0.001045143298986027,6.895243521110834e-06
5.4,-0.001390958270952891,1.0856590064054595e-05
5.45,-0.0017811706794575947,1.4694269662891474e-05
5.5,-0.0022054515253007974,1.8030592054024417e-05
5.550000000000001,-0.002648878651018192,2.0619576859690726e-05
5.6000000000000005,-0.003092077145384925,2.233419417984994e-05
5.65,-0.00351178201683026,2.3147811691094746e-05
5.7,-0.0038818709522373575,2.3112460495891573e-05
5.75,-0.004174881221258292,2.2336248670480587e-05
5.800000000000001,-0.004363982211484311,2.0961828962660337e-05
5.8500000000000005,-0.004425326192539267,1.9147331779207987e-05
5.9,-0.004340648409523516,1.7050665920543888e-05
5.95,-0.004099938225315905,1.4817615644093372e-05
6.0,-0.0037039611959235174,1.2573758149785039e-05
6.050000000000001,-0.003166383338380765,1.041991101359137e-05
6.1000000000000005,-0.002515238758817735,8.430602032728056e-06
6.15,-0.0017934945842970347,6.654931173962157e-06
6.2,-0.0010585054893374908,5.1191545867512744e-06
6.25,-0.00038021452941865565,3.8303476268705925e-06
6.300000000000001,0.00016195462295276686,2.7805789031879845e-06
6.3500000000000005,0.0004834615122582563,1.95113193050912e-06
6.4,0.0005000974124011148,1.3164283174227155e-06
6.45,0.00013422673293789092,8.474228053367425e-07
6.5,-0.00067858092366219,5.143457707328293e-07
6.550000000000001,-0.0019830187984392184,2.887565170790013e-07
6.6000000000000005,-0.003798157013622007,1.449376699884496e-07
6.65,-0.006112760878102935,6.070687391386267e-08
6.7,-0.008882334962167494,1.7748459811699635e-08
6.75,-0.01202832640641251,1.577852111953798e-09
6.800000000000001,-0.015439784337200694,1.2489321454015433e-09
6.8500000000000005,-0.01897759492773445,8.903230307545988e-09
6.9,-0.022481206195520083,1.9243258717065266e-08
6.95,-0.025777539663044757,2.8993550682121003e-08
7.0,-0.028691576760679318,3.6394390575767853e-08
7.050000000000001,-0.03105792644150774,4.075643330835058e-08
7.1000000000000005,-0.03273254593748443,4.2090402710364424e-08
7.15,-0.0336037148314683,4.0815241535005146e-08
7.2,-0.03360136461138772,3.7540454915293814e-08
7.25,-0.03270394617260613,3.2913641865273286e-08
7.300000000000001,-0.030942173642437214,2.7521870396399658e-08
7.3500000000000005,-0.028399204305812706,2.1835077592086894e-08
7.4,-0.025207084411439422,1.6180525973246903e-08
7.45,-0.021539586902686574,1.0739037555868433e-08
7.5,-0.017601863877955492,5.555854336654474e-09
7.550000000000001,-0.013617607064752695,5.612223670943339e-10
7.6000000000000005,-0.009814628629556366,-4.402071310352711e-09
7.65,-0.006409921237249607,-9.54514128406715e-09
7.7,-0.0035953157511751785,-1.509295620427158e-08
7.75,-0.0015248205725297435,-2.1236495088864206e-08
7.800000000000001,-0.00030460030601476065,-2.8075670151458213e-08
7.8500000000000005,1.3656226811692946e-05,-3.555231177227211e-08
7.9,-0.0005645005849521588,-4.3374289540676864e-08
7.95,-0.001977555625540716,-5.09348555748808e-08
8.0,-0.004113189516259429,-5.723570543678886e-08
8.05,-0.006816868863910555,-6.082814387330882e-08
8.1,-0.009903149356423863,-5.979405212800992e-08
8.15,-0.013168779565733407,-5.179677609031594e-08
