x,y,l_z_initial,l_z_final
-3.100000,-1.300000,-1.5677763457e-04,-1.0657779046e-02
-3.100000,-1.200000,-1.3714762888e-04,-5.6956822608e-03
-3.100000,-1.100000,-1.1812105364e-04,-1.0980927977e-03
-3.100000,-1.000000,-9.9886189276e-05,-6.3074224622e-04
-3.100000,-0.900000,-8.2634725577e-05,-3.1494702386e-03
-3.100000,-0.800000,-6.6558280982e-05,-4.3176964186e-03
-3.100000,-0.700000,-5.1844521221e-05,-7.0679500565e-03
-3.100000,-0.600000,-3.8672987790e-05,-7.8578589448e-03
-3.100000,-0.500000,-2.7210778840e-05,-9.3121203793e-03
-3.100000,-0.400000,-1.7608251875e-05,-8.8309754083e-03
-3.100000,-0.300000,-9.9949356173e-06,-8.9337896091e-03
-3.100000,-0.200000,-4.4758446343e-06,-8.1710782612e-03
-3.100000,-0.100000,-1.1283828304e-06,-7.5161049231e-03
-3.100000,0.000000,0.0000000000e+00,-6.7158205277e-03
-3.100000,0.100000,-1.1067301725e-06,-5.9549172224e-03
-3.100000,0.200000,-4.4326938994e-06,-5.0126832243e-03
-3.100000,0.300000,-9.9305927632e-06,-3.9497858230e-03
-3.100000,0.400000,-1.7523167965e-05,-3.7167374522e-03
-3.100000,0.500000,-2.7105540967e-05,-2.0817955581e-03
-3.100000,0.600000,-3.8548307569e-05,-3.3152113237e-03
-3.100000,0.700000,-5.1701221305e-05,-2.7544823760e-03
-3.100000,0.800000,-6.6397280102e-05,-4.3231991500e-03
-3.100000,0.900000,-8.2457022648e-05,-6.0338336426e-03
-3.100000,1.000000,-9.9692847078e-05,-6.7696786938e-03
-3.100000,1.100000,-1.1791318258e-04,-7.6052570632e-03
-3.100000,1.200000,-1.3692637121e-04,-4.2504239648e-03
-3.100000,1.300000,-1.5654414958e-04,3.2118329958e-03
-3.100000,1.400000,-1.7658465427e-04,8.6439775592e-03
-3.100000,1.500000,-1.9687490869e-04,8.1760239597e-03
-3.100000,1.600000,-2.1725277933e-04,3.1719040226e-03
-3.100000,1.700000,-2.3756841526e-04,-1.6557286351e-03
-3.100000,1.800000,-2.5768520461e-04,3.3588392648e-04
-3.100000,1.900000,-2.7748029654e-04,1.6601558926e-02
-3.100000,2.000000,-2.9684474552e-04,3.0263509655e-02
-3.100000,2.100000,-3.1568333936e-04,2.0235878566e-02
-3.100000,2.200000,-3.3391417213e-04,8.2539510144e-03
-3.100000,2.300000,-3.5146802045e-04,2.0238271847e-02
-3.100000,2.400000,-3.6828757663e-04,5.0075082920e-02
-3.100000,2.500000,-3.8432658596e-04,4.2762395289e-02
-3.100000,2.600000,-3.9954892831e-04,8.5155542368e-03
-3.100000,2.700000,-4.1392767771e-04,-2.0745689031e-02
-3.100000,2.800000,-4.2744416653e-04,-7.1618217210e-03
-3.100000,2.900000,-4.4008707502e-04,-1.1503017028e-03
-3.100000,3.000000,-4.5185156145e-04,2.2868881592e-04
-3.100000,3.100000,-4.6273844360e-04,2.0200040167e-03
-3.000000,-3.200000,-4.9390340247e-04,-6.5276079172e-04
-3.000000,-3.100000,-4.8278130693e-04,4.9743110880e-03
-3.000000,-3.000000,-4.7193982809e-04,-9.7752896871e-04
-3.000000,-2.900000,-4.6017322251e-04,4.2616039804e-03
-3.000000,-2.800000,-4.4747613025e-04,4.2947394984e-02
-3.000000,-2.700000,-4.3384879539e-04,3.1316100096e-02
-3.000000,-2.600000,-4.1929796355e-04,1.9965249097e-03
-3.000000,-2.500000,-4.0383784994e-04,-3.6928806324e-03
-3.000000,-2.400000,-3.8749116864e-04,-1.8283245660e-02
-3.000000,-2.300000,-3.7029020939e-04,-3.1790937323e-02
-3.000000,-2.200000,-3.5227794145e-04,-2.8711365062e-02
-3.000000,-2.100000,-3.3350911725e-04,-6.1478023240e-03
-3.000000,-2.000000,-3.1405134030e-04,5.3006482545e-04
-3.000000,-1.900000,-2.9398605328e-04,-7.4578214186e-03
-3.000000,-1.800000,-2.7340939288e-04,-1.9938534947e-02
-3.000000,-1.700000,-2.5243284942e-04,-2.2592398119e-02
-3.000000,-1.600000,-2.3118366172e-04,-1.2321983569e-02
-3.000000,-1.500000,-2.0980487180e-04,-2.6951322495e-03
-3.000000,-1.400000,-1.8845496204e-04,-3.7484381315e-05
-3.000000,-1.300000,-1.6730699945e-04,-3.6766868236e-03
-3.000000,-1.200000,-1.4654722000e-04,-1.0954713819e-02
-3.000000,-1.100000,-1.2637300074e-04,-1.4211928222e-02
-3.000000,-1.000000,-1.0699019034e-04,-1.5009462594e-02
-3.000000,-0.900000,-8.8609798956e-05,-1.4564352843e-02
-3.000000,-0.800000,-7.1444085394e-05,-9.6770246400e-03
-3.000000,-0.700000,-5.5702122440e-05,-7.8824046772e-03
-3.000000,-0.600000,-4.1584965354e-05,-4.9938314603e-03
-3.000000,-0.500000,-2.9280591972e-05,-4.7879421656e-03
-3.000000,-0.400000,-1.8958819698e-05,-3.8160948488e-03
-3.000000,-0.300000,-1.0766430956e-05,-4.1013588096e-03
-3.000000,-0.200000,-4.8227499576e-06,-4.1719962434e-03
-3.000000,-0.100000,-1.2159069355e-06,-4.3760418909e-03
-3.000000,0.000000,0.0000000000e+00,-4.6009232340e-03
-3.000000,0.100000,-1.1933204283e-06,-4.9858771195e-03
-3.000000,0.200000,-4.7777476237e-06,-5.0753985165e-03
-3.000000,0.300000,-1.0699350387e-05,-5.3406373281e-03
-3.000000,0.400000,-1.8870158028e-05,-5.8856414310e-03
-3.000000,0.500000,-2.9170995242e-05,-4.8802474151e-03
-3.000000,0.600000,-4.1455215068e-05,-5.6886968327e-03
-3.000000,0.700000,-5.5553119878e-05,-2.8978813569e-03
-3.000000,0.800000,-7.1276834310e-05,-1.0863714331e-03
-3.000000,0.900000,-8.8425387298e-05,2.1793696921e-03
-3.000000,1.000000,-1.0678977162e-04,5.5131229929e-03
-3.000000,1.100000,-1.2615777564e-04,4.5882666328e-03
-3.000000,1.200000,-1.4631841871e-04,2.4732536461e-03
-3.000000,1.300000,-1.6706586517e-04,-1.2572918775e-03
-3.000000,1.400000,-1.8820273589e-04,-4.7699546102e-03
-3.000000,1.500000,-2.0954277951e-04,-4.3566266958e-03
-3.000000,1.600000,-2.3091290201e-04,5.3758867194e-03
-3.000000,1.700000,-2.5215458428e-04,2.0955101064e-02
-3.000000,1.800000,-2.7312473967e-04,2.3461256411e-02
-3.000000,1.900000,-2.9369607854e-04,1.2151985509e-02
-3.000000,2.000000,-3.1375705510e-04,4.5985884887e-03
-3.000000,2.100000,-3.3321147411e-04,1.3775802328e-02
-3.000000,2.200000,-3.5197783245e-04,3.8518800768e-02
-3.000000,2.300000,-3.6998846536e-04,4.0854087567e-02
-3.000000,2.400000,-3.8718855936e-04,2.6787873754e-02
-3.000000,2.500000,-4.0353508508e-04,1.3637377776e-02
-3.000000,2.600000,-4.1899569419e-04,1.2018603878e-02
-3.000000,2.700000,-4.3354761607e-04,-8.6062818076e-03
-3.000000,2.800000,-4.4717658134e-04,-2.6314438765e-02
-3.000000,2.900000,-4.5987579286e-04,1.1369824349e-03
-3.000000,3.000000,-4.7164495784e-04,1.4995640509e-02
-3.000000,3.100000,-4.8248939038e-04,6.9332313344e-03
-2.900000,-3.200000,-5.1430392152e-04,4.0644824136e-03
-2.900000,-3.100000,-5.0320232647e-04,5.8007911246e-03
-2.900000,-3.000000,-4.9244877731e-04,8.0466107374e-03
-2.900000,-2.900000,-4.8072301371e-04,-2.6326819768e-02
-2.900000,-2.800000,-4.6801467626e-04,3.3995327249e-03
-2.900000,-2.700000,-4.5431887478e-04,4.1254734026e-02
-2.900000,-2.600000,-4.3963716231e-04,3.2744909077e-02
-2.900000,-2.500000,-4.2397860101e-04,-2.1422465602e-02
-2.900000,-2.400000,-4.0736091362e-04,-1.4934038397e-02
-2.900000,-2.300000,-3.8981170871e-04,-9.6584309433e-03
-2.900000,-2.200000,-3.7136976080e-04,-1.3601275164e-02
-2.900000,-2.100000,-3.5208631860e-04,-2.3767441624e-02
-2.900000,-2.000000,-3.3202640451e-04,-2.4312931003e-02
-2.900000,-1.900000,-3.1127005816e-04,-8.3690922776e-03
-2.900000,-1.800000,-2.8991346489e-04,-2.2821280965e-04
-2.900000,-1.700000,-2.6806989815e-04,-3.5730443684e-03
-2.900000,-1.600000,-2.4587039409e-04,-1.3469015150e-02
-2.900000,-1.500000,-2.2346406694e-04,-2.1811880916e-02
-2.900000,-1.400000,-2.0101796823e-04,-1.8909963132e-02
-2.900000,-1.300000,-1.7871639217e-04,-1.1908701676e-02
-2.900000,-1.200000,-1.5675953577e-04,-6.6553780718e-03
-2.900000,-1.100000,-1.3536143714e-04,-1.9148841311e-03
-2.900000,-1.000000,-1.1474714029e-04,-1.0856426456e-03
-2.900000,-0.900000,-9.5149070153e-05,-3.0701646207e-03
-2.900000,-0.800000,-7.6802646828e-05,-3.8453970485e-03
-2.900000,-0.700000,-5.9941221361e-05,-6.9271259716e-03
-2.900000,-0.600000,-4.4790473364e-05,-7.5301402091e-03
-2.900000,-0.500000,-3.1562468325e-05,-9.3457168477e-03
-2.900000,-0.400000,-2.0449623561e-05,-8.7941670307e-03
-2.900000,-0.300000,-1.1618869924e-05,-8.6894168005e-03
-2.900000,-0.200000,-5.2063154760e-06,-7.9509873537e-03
-2.900000,-0.100000,-1.3127126665e-06,-6.9375887576e-03
-2.900000,0.000000,0.0000000000e+00,-5.9774618384e-03
-2.900000,0.100000,-1.2891334354e-06,-5.1470788240e-03
-2.900000,0.200000,-5.1593460706e-06,-3.8567535288e-03
-2.900000,0.300000,-1.1548883999e-05,-2.9589689962e-03
-2.900000,0.400000,-2.0357170664e-05,-2.5819003017e-03
-2.900000,0.500000,-3.1448261374e-05,-9.6871073442e-04
-2.900000,0.600000,-4.4655372863e-05,-2.4915993208e-03
-2.900000,0.700000,-5.9786217083e-05,-1.6318462173e-03
-2.900000,0.800000,-7.6628837719e-05,-3.1926346386e-03
-2.900000,0.900000,-9.4957643248e-05,-3.9628368597e-03
-2.900000,1.000000,-1.1453934940e-04,-4.1182559603e-03
-2.900000,1.100000,-1.3513858201e-04,-4.1352795667e-03
-2.900000,1.200000,-1.5652294222e-04,-8.8409654745e-04
-2.900000,1.300000,-1.7846739384e-04,5.8524516936e-03
-2.900000,1.400000,-2.0075789010e-04,1.2022355076e-02
-2.900000,1.500000,-2.2319421089e-04,1.3334789754e-02
-2.900000,1.600000,-2.4559202670e-04,8.2804898776e-03
-2.900000,1.700000,-2.6778424060e-04,2.6376292880e-03
-2.900000,1.800000,-2.8962168503e-04,2.2103287452e-03
-2.900000,1.900000,-3.1097326446e-04,1.3942612584e-02
-2.900000,2.000000,-3.3172564185e-04,3.2538017498e-02
-2.900000,2.100000,-3.5178256565e-04,3.1553464566e-02
-2.900000,2.200000,-3.7106392874e-04,2.0142108241e-02
-2.900000,2.300000,-3.8950464112e-04,1.6526321595e-02
-2.900000,2.400000,-4.0705338738e-04,2.2499545194e-02
-2.900000,2.500000,-4.2367132790e-04,3.3965668340e-02
-2.900000,2.600000,-4.3933079126e-04,-1.3321103700e-02
-2.900000,2.700000,-4.5401399453e-04,-3.0582690278e-02
-2.900000,2.800000,-4.6771181834e-04,7.1422179102e-03
-2.900000,2.900000,-4.8042265567e-04,4.5594552526e-02
-2.900000,3.000000,-4.9215134601e-04,6.1673051429e-03
-2.900000,3.100000,-5.0290820140e-04,9.4446158030e-04
-2.800000,-3.200000,-5.3531545271e-04,4.3156772281e-02
-2.800000,-3.100000,-5.2428418861e-04,9.6406795022e-03
-2.800000,-3.000000,-5.1366813096e-04,1.9289320995e-02
-2.800000,-2.900000,-5.0203330365e-04,1.3558051555e-02
-2.800000,-2.800000,-4.8936384651e-04,-3.3274164869e-02
-2.800000,-2.700000,-4.7564913913e-04,-4.0790268860e-03
-2.800000,-2.600000,-4.6088484567e-04,2.7111876861e-02
-2.800000,-2.500000,-4.4507407558e-04,2.9415706692e-02
-2.800000,-2.400000,-4.2822865764e-04,-2.2934815854e-02
-2.800000,-2.300000,-4.1037051866e-04,-2.0732621501e-02
-2.800000,-2.200000,-3.9153315103e-04,-1.2156003402e-02
-2.800000,-2.100000,-3.7176314391e-04,-3.8318621075e-03
-2.800000,-2.000000,-3.5112174151e-04,-4.7335143024e-03
-2.800000,-1.900000,-3.2968637920e-04,-1.3540822076e-02
-2.800000,-1.800000,-3.0755213322e-04,-2.2197141515e-02
-2.800000,-1.700000,-2.8483300443e-04,-1.6966135059e-02
-2.800000,-1.600000,-2.6166294116e-04,-6.7039317360e-03
-2.800000,-1.500000,-2.3819649182e-04,-1.5969524578e-03
-2.800000,-1.400000,-2.1460896746e-04,-9.6747447065e-04
-2.800000,-1.300000,-1.9109598924e-04,-4.8202662281e-03
-2.800000,-1.200000,-1.6787229829e-04,-1.2162322914e-02
-2.800000,-1.100000,-1.4516971927e-04,-1.3890203129e-02
-2.800000,-1.000000,-1.2323419499e-04,-1.2905697198e-02
-2.800000,-0.900000,-1.0232184966e-04,-1.1382148133e-02
-2.800000,-0.800000,-8.2694093347e-05,-6.5406743561e-03
-2.800000,-0.700000,-6.4611846450e-05,-5.1962605422e-03
-2.800000,-0.600000,-4.8329038434e-05,-2.9561661351e-03
-2.800000,-0.500000,-3.4085611856e-05,-2.8477691187e-03
-2.800000,-0.400000,-2.2100333363e-05,-2.2626250164e-03
-2.800000,-0.300000,-1.2563768717e-05,-2.3576236801e-03
