quantity,measured,theory,error_pct
omega,7.6803851113e+00,7.6725110909e+00,0.102626
omega2_over_k2,1.0027349321e+00,1.0006799550e+00,0.205358
chi_over_k,2.6075945876e-02,2.6075945876e-02,0.0
