x,psi_1,psi_2,psi_3,psi_4,psi_5
2.8100000000e+01,1.9532155181e-01,-5.9689166673e-02,-1.7708087849e-01,1.1380408627e-01,1.4230299039e-01
2.8200000000e+01,1.9513257616e-01,-6.1996797504e-02,-1.7543518387e-01,1.1773541267e-01,1.3802872574e-01
2.8300000000e+01,1.9493625387e-01,-6.4295091845e-02,-1.7373004542e-01,1.2159581967e-01,1.3362455329e-01
2.8400000000e+01,1.9473259235e-01,-6.6583703582e-02,-1.7196604090e-01,1.2538298189e-01,1.2909461809e-01
2.8500000000e+01,1.9452159925e-01,-6.8862288059e-02,-1.7014376803e-01,1.2909461809e-01,1.2444318356e-01
2.8600000000e+01,1.9430328253e-01,-7.1130502128e-02,-1.6826384425e-01,1.3272849252e-01,1.1967462745e-01
2.8700000000e+01,1.9407765040e-01,-7.3388004204e-02,-1.6632690656e-01,1.3628241628e-01,1.1479343778e-01
2.8800000000e+01,1.9384471135e-01,-7.5634454318e-02,-1.6433361126e-01,1.3975424859e-01,1.0980420853e-01
2.8900000000e+01,1.9360447416e-01,-7.7869514161e-02,-1.6228463374e-01,1.4314189818e-01,1.0471163541e-01
2.9000000000e+01,1.9335694787e-01,-8.0092847141e-02,-1.6018066828e-01,1.4644332444e-01,9.9520511368e-02
2.9100000000e+01,1.9310214181e-01,-8.2304118433e-02,-1.5802242779e-01,1.4965653871e-01,9.4235722101e-02
2.9200000000e+01,1.9284006555e-01,-8.4502995028e-02,-1.5581064353e-01,1.5277960548e-01,8.8862241470e-02
2.9300000000e+01,1.9257072898e-01,-8.6689145782e-02,-1.5354606497e-01,1.5581064353e-01,8.3405126808e-02
2.9400000000e+01,1.9229414222e-01,-8.8862241470e-02,-1.5122945940e-01,1.5874782708e-01,7.7869514161e-02
2.9500000000e+01,1.9201031570e-01,-9.1021954832e-02,-1.4886161178e-01,1.6158938687e-01,7.2260613452e-02
2.9600000000e+01,1.9171926010e-01,-9.3167960621e-02,-1.4644332444e-01,1.6433361126e-01,6.6583703582e-02
2.9700000000e+01,1.9142098638e-01,-9.5299935659e-02,-1.4397541676e-01,1.6697884722e-01,6.0844127462e-02
2.9800000000e+01,1.9111550577e-01,-9.7417558877e-02,-1.4145872497e-01,1.6952350137e-01,5.5047286979e-02
2.9900000000e+01,1.9080282976e-01,-9.9520511368e-02,-1.3889410181e-01,1.7196604090e-01,4.9198637916e-02
3.0000000000e+01,1.9048297014e-01,-1.0160847644e-01,-1.3628241628e-01,1.7430499452e-01,4.3303684816e-02
3.0100000000e+01,1.9015593894e-01,-1.0368113964e-01,-1.3362455329e-01,1.7653895332e-01,3.7367975805e-02
3.0200000000e+01,1.8982174848e-01,-1.0573818885e-01,-1.3092141345e-01,1.7866657167e-01,3.1397097363e-02
3.0300000000e+01,1.8948041134e-01,-1.0777931428e-01,-1.2817391267e-01,1.8068656795e-01,2.5396669071e-02
3.0400000000e+01,1.8913194036e-01,-1.0980420853e-01,-1.2538298189e-01,1.8259772540e-01,1.9372338324e-02
3.0500000000e+01,1.8877634868e-01,-1.1181256668e-01,-1.2254956680e-01,1.8439889280e-01,1.3329775009e-02
3.0600000000e+01,1.8841364967e-01,-1.1380408627e-01,-1.1967462745e-01,1.8608898521e-01,7.2746661775e-03
3.0700000000e+01,1.8804385699e-01,-1.1577846738e-01,-1.1675913798e-01,1.8766698457e-01,1.2127106845e-03
3.0800000000e+01,1.8766698457e-01,-1.1773541267e-01,-1.1380408627e-01,1.8913194036e-01,-4.8503861694e-03
3.0900000000e+01,1.8728304660e-01,-1.1967462745e-01,-1.1081047358e-01,1.9048297014e-01,-1.0908918010e-02
3.1000000000e+01,1.8689205752e-01,-1.2159581967e-01,-1.0777931428e-01,1.9171926010e-01,-1.6957182758e-02
3.1100000000e+01,1.8649403206e-01,-1.2349870001e-01,-1.0471163541e-01,1.9284006555e-01,-2.2989488000e-02
3.1200000000e+01,1.8608898521e-01,-1.2538298189e-01,-1.0160847644e-01,1.9384471135e-01,-2.9000156340e-02
3.1300000000e+01,1.8567693221e-01,-1.2724838156e-01,-9.8470888809e-02,1.9473259235e-01,-3.4983530748e-02
3.1400000000e+01,1.8525788859e-01,-1.2909461809e-01,-9.5299935659e-02,1.9550317371e-01,-4.0933979881e-02
3.1500000000e+01,1.8483187010e-01,-1.3092141345e-01,-9.2096691421e-02,1.9615599128e-01,-4.6845903386e-02
3.1600000000e+01,1.8439889280e-01,-1.3272849252e-01,-8.8862241470e-02,1.9669065181e-01,-5.2713737165e-02
3.1700000000e+01,1.8395897299e-01,-1.3451558318e-01,-8.5597681757e-02,1.9710683324e-01,-5.8531958621e-02
3.1800000000e+01,1.8351212723e-01,-1.3628241628e-01,-8.2304118433e-02,1.9740428489e-01,-6.4295091845e-02
3.1900000000e+01,1.8305837233e-01,-1.3802872574e-01,-7.8982667477e-02,1.9758282758e-01,-6.9997712780e-02
3.2000000000e+01,1.8259772540e-01,-1.3975424859e-01,-7.5634454318e-02,1.9764235376e-01,-7.5634454318e-02
3.2100000000e+01,1.8213020376e-01,-1.4145872497e-01,-7.2260613452e-02,1.9758282758e-01,-8.1200011354e-02
3.2200000000e+01,1.8165582502e-01,-1.4314189818e-01,-6.8862288059e-02,1.9740428489e-01,-8.6689145782e-02
3.2300000000e+01,1.8117460705e-01,-1.4480351475e-01,-6.5440629615e-02,1.9710683324e-01,-9.2096691421e-02
3.2400000000e+01,1.8068656795e-01,-1.4644332444e-01,-6.1996797504e-02,1.9669065181e-01,-9.7417558877e-02
3.2500000000e+01,1.8019172610e-01,-1.4806108030e-01,-5.8531958621e-02,1.9615599128e-01,-1.0264674034e-01
3.2600000000e+01,1.7969010014e-01,-1.4965653871e-01,-5.5047286979e-02,1.9550317371e-01,-1.0777931428e-01
3.2700000000e+01,1.7918170895e-01,-1.5122945940e-01,-5.1543963312e-02,1.9473259235e-01,-1.1281045010e-01
