file,status,detail
drift_analysis.csv,PASS,ok
energy_components.csv,PASS,ok
energy_trace.csv,PASS,ok
entropy_trace.csv,PASS,ok
sanity_report.csv,WARN,no numeric rows
summary_metrics.csv,WARN,no numeric rows
