quantity,measured,theory,error_pct
omega,5.7850326292e+01,5.8291271870e+01,0.756452
omega2_over_k2,9.8492824426e-01,1.0000000662e+00,1.507182
chi_over_k,2.5732841325e-04,2.5732841325e-04,0.0
energy_drift,2.6294293097e-04,1.0000000000e-02,2.629429
