step,time,signal_before,signal_after
0,0.0,-0.007206979981668547,-1.4291121631288063e-09
1,0.05,-0.007007071743378401,-1.3077679641721197e-09
2,0.1,-0.006807022869802042,-1.1900825596882252e-09
3,0.15000000000000002,-0.0066068892376547035,-1.0759935229042722e-09
4,0.2,-0.006406726317809099,-9.654385267247318e-10
5,0.25,-0.006206589161075206,-8.583553740435484e-10
6,0.30000000000000004,-0.006006532384222283,-7.546820269615663e-10
7,0.35000000000000003,-0.005806610156246245,-6.543566349285557e-10
8,0.4,-0.00560687618488542,-5.573175618291578e-10
9,0.45,-0.005407383703387554,-4.635034120320586e-10
10,0.5,-0.005208185457530884,-3.728530554216759e-10
11,0.55,-0.005009333692901926,-2.8530565143161336e-10
12,0.6000000000000001,-0.0048108801424325475,-2.00800672099092e-10
13,0.65,-0.004612876014198776,-1.192779241595195e-10
14,0.7000000000000001,-0.0044153719794836725,-4.06775702002959e-11
15,0.75,-0.004218418161106494,3.505985110711315e-11
16,0.8,-0.004022064122020257,1.0799340567788214e-10
17,0.8500000000000001,-0.003826358854179692,1.7818174556844192e-10
18,0.9,-0.003631350767681477,2.456830913962304e-10
19,0.9500000000000001,-0.003437087680178522,3.10555215605902e-10
20,1.0,-0.003243616806569955,3.72855426563427e-10
21,1.05,-0.0030509847489683596,4.326405534596263e-10
22,1.1,-0.002859237486945699,4.899669320048064e-10
23,1.1500000000000001,-0.0026684203680592405,5.448903908962884e-10
24,1.2000000000000002,-0.002478578098658693,5.974662390407542e-10
25,1.25,-0.0022897547349756565,6.477492535134747e-10
26,1.3,-0.002101993674496364,6.957936682366264e-10
27,1.35,-0.0019153376476185996,7.416531633590528e-10
28,1.4000000000000001,-0.001729828709593548,7.853808553199803e-10
29,1.4500000000000002,-0.0015455082327532402,8.27029287579358e-10
30,1.5,-0.0013624168990241348,8.666504219976533e-10
31,1.55,-0.0011805946927272778,9.042956308481007e-10
32,1.6,-0.0010000808936653665,9.40015689444577e-10
33,1.6500000000000001,-0.0008209140704969435,9.738607693684469e-10
34,1.7000000000000002,-0.0006431320743978338,1.0058804322779029e-09
35,1.75,-0.00046677203300983706,1.036123624283507e-09
36,1.8,-0.0002918703446765784,1.0646386708738243e-09
37,1.85,-0.00011846267296632005,1.091473272375229e-09
38,1.9000000000000001,5.341605851857085e-05,1.1166744999301512e-09
39,1.9500000000000002,0.00022373167104590218,1.1402887919782312e-09
40,2.0,0.00039245073537219236,1.1623619512250347e-09
41,2.0500000000000003,0.0005595405760760691,1.1829391420831925e-09
42,2.1,0.0007249692756072381,1.2020648885710144e-09
43,2.15,0.000888705678051829,1.2197830726538412e-09
44,2.2,0.0010507193926150217,1.2361369330135914e-09
