step,time,center_of_mass,rms_width,max_amplitude,max_position,total_energy,implied_velocity
0,0.0,10.213252095568718,7.934496826043733,-0.028307694832953978,1.0,0.009129579169881068,0.0
625,31.25,20.49492971505306,6.326186943338858,-0.030678705053597564,21.0,0.007686356877174686,0.329013683823499
1250,62.5,46.35779166826304,6.223088309067807,0.03114506864415196,43.0,0.008787663544295554,0.8276115825027194
1875,93.75,67.63661499540915,15.426013264560963,-0.02309344112449,69.0,0.009171259624541224,0.6809223464686754
2499,124.95,91.03655174482859,28.194024117574223,0.02404659422840711,111.0,0.008725558948588716,0.7499979727378024
