step,time,env_before,env_after,thr_before,thr_after
0,0.0,0.00895218396048793,0.02262154055981627,0.020441802782592108,0.01515754366788195
1,0.05,0.009791753998778227,0.0151206159123426,0.020441802782592108,0.01515754366788195
2,0.1,0.009773408012400423,0.015074972013100216,0.020441802782592108,0.01515754366788195
3,0.15000000000000002,0.01007486407464378,0.012561347093146913,0.020441802782592108,0.01515754366788195
4,0.2,0.010051626597339106,0.012533254609033215,0.020441802782592108,0.01515754366788195
5,0.25,0.01023232892228168,0.01102432650664084,0.020441802782592108,0.01515754366788195
6,0.30000000000000004,0.01020620052372134,0.011006680511033836,0.020441802782592108,0.01515754366788195
7,0.35000000000000003,0.010332297599777426,0.009931177717981604,0.020441802782592108,0.01515754366788195
8,0.4,0.010304201468786158,0.009920754710618688,0.020441802782592108,0.01515754366788195
9,0.45,0.010398702857768345,0.00908743425476889,0.020441802782592108,0.01515754366788195
10,0.5,0.010369150301758263,0.00908237657697877,0.020441802782592108,0.01515754366788195
11,0.55,0.01044283293317412,0.008403931528288465,0.020441802782592108,0.01515754366788195
12,0.6000000000000001,0.010412140810559497,0.008403030776203621,0.020441802782592108,0.01515754366788195
13,0.65,0.01047094801432459,0.007832247978360303,0.020441802782592108,0.01515754366788195
14,0.7000000000000001,0.010439328043534308,0.007834658305390894,0.020441802782592108,0.01515754366788195
15,0.75,0.010486898582954901,0.007343092205985875,0.020441802782592108,0.01515754366788195
16,0.8,0.01045450014632363,0.007348191729416501,0.020441802782592108,0.01515754366788195
17,0.8500000000000001,0.01049323050410815,0.006917363434220416,0.020441802782592108,0.01515754366788195
18,0.9,0.010460163486516285,0.006924678538472061,0.020441802782592108,0.01515754366788195
19,0.9500000000000001,0.010491719575845245,0.006541897328039745,0.020441802782592108,0.01515754366788195
20,1.0,0.010458067547496789,0.006551057626752356,0.020441802782592108,0.01515754366788195
21,1.05,0.010483656714660283,0.006207227053570505,0.020441802782592108,0.01515754366788195
22,1.1,0.010449485011550035,0.006217936840136223,0.020441802782592108,0.01515754366788195
23,1.1500000000000001,0.010470011803882793,0.005906311716252268,0.020441802782592108,0.01515754366788195
24,1.2000000000000002,0.01043537272124005,0.005918330961368293,0.020441802782592108,0.01515754366788195
25,1.25,0.010451533462510439,0.005633769740990628,0.020441802782592108,0.01515754366788195
26,1.3,0.010416469723265934,0.005646900945368894,0.020441802782592108,0.01515754366788195
27,1.35,0.010428812709804447,0.00538539385634837,0.020441802782592108,0.01515754366788195
28,1.4000000000000001,0.010393359855605572,0.005399472663755732,0.020441802782592108,0.01515754366788195
29,1.4500000000000002,0.010402325190383312,0.005157831800826716,0.020441802782592108,0.01515754366788195
30,1.5,0.010366513274315125,0.005172720119014991,0.020441802782592108,0.01515754366788195
31,1.55,0.010372460101446988,0.0049483690000735525,0.020441802782592108,0.01515754366788195
32,1.6,0.010336314913865382,0.004963949847794616,0.020441802782592108,0.01515754366788195
33,1.6500000000000001,0.010339540563645904,0.004754776390799034,0.020441802782592108,0.01515754366788195
34,1.7000000000000002,0.010303084537408733,0.004770949964896368,0.020441802782592108,0.01515754366788195
35,1.75,0.010303838311025998,0.004575201224397063,0.020441802782592108,0.01515754366788195
36,1.8,0.010267091201433948,0.0045918818492254815,0.020441802782592108,0.01515754366788195
37,1.85,0.010265584505444507,0.0044080870252003745,0.020441802782592108,0.01515754366788195
38,1.9000000000000001,0.01022856390864424,0.004425200752875326,0.020441802782592108,0.01515754366788195
39,1.9500000000000002,0.01022497784369389,0.004252113811656946,0.020441802782592108,0.01515754366788195
40,2.0,0.010187699597178872,0.004269596510756047,0.020441802782592108,0.01515754366788195
41,2.0500000000000003,0.010182190733508498,0.004106152705367617,0.020441802782592108,0.01515754366788195
42,2.1,0.010144669229198546,0.004123948521858705,0.020441802782592108,0.01515754366788195
43,2.15,0.010137374066320827,0.003969230952502927,0.020441802782592108,0.01515754366788195
44,2.2,0.01009962249790103,0.003987291058202853,0.020441802782592108,0.01515754366788195
45,2.25,0.010090660953298912,0.003840504609803692,0.020441802782592108,0.01515754366788195
46,2.3000000000000003,0.01005269151349244,0.0038587861756546006,0.020441802782592108,0.01515754366788195
47,2.35,0.010042169683954449,0.0037192369594548284,0.020441802782592108,0.01515754366788195
48,2.4000000000000004,0.010003993723227633,0.0037377023065124555,0.020441802782592108,0.01515754366788195
49,2.45,0.009992006093849527,0.003604781265617283,0.020441802782592108,0.01515754366788195
50,2.5,0.009953634249097475,0.003623397157909233,0.020441802782592108,0.01515754366788195
51,2.5500000000000003,0.009940265477642879,0.0034965668629101947,0.020441802782592108,0.01515754366788195
52,2.6,0.009901707777286887,0.0035153039145719026,0.020441802782592108,0.01515754366788195
53,2.6500000000000004,0.009887034148371953,0.003394087831440132,0.020441802782592108,0.01515754366788195
54,2.7,0.009848300098761727,0.0034129200066594758,0.020441802782592108,0.01515754366788195
55,2.75,0.009832390718644168,0.003296893700930399,0.020441802782592108,0.01515754366788195
56,2.8000000000000003,0.009793489375524734,0.003315797889833264,0.020441802782592108,0.01515754366788195
57,2.85,0.009776407161155064,0.003204581762088625,0.020441802782592108,0.01515754366788195
58,2.9000000000000004,0.009737347189114717,0.003223537419193753,0.020441802782592108,0.01515754366788195
59,2.95,0.009719149692568091,0.00311679066244905,0.020441802782592108,0.01515754366788195
60,3.0,0.009679939414749135,0.0031357794970046657,0.020441802782592108,0.01515754366788195
61,3.0500000000000003,0.009660679514862294,0.0030331950372389084,0.020441802782592108,0.01515754366788195
62,3.1,0.009621326954733745,0.0030522007468335986,0.020441802782592108,0.01515754366788195
