step,energy,drift,timestamp
0,5.7013805734e-04,0.000000e+00,2025-11-14T18:43:49.428073Z
25,3.6231782044e-01,6.344914e+02,2025-11-14T18:43:49.490031Z
50,1.1796374569e+00,2.068038e+03,2025-11-14T18:43:49.551930Z
75,2.0079138538e+00,3.520803e+03,2025-11-14T18:43:49.646964Z
100,2.4506915737e+00,4.297418e+03,2025-11-14T18:43:49.752556Z
125,2.3834107616e+00,4.179410e+03,2025-11-14T18:43:49.898323Z
150,1.9714169936e+00,3.456789e+03,2025-11-14T18:43:50.030246Z
175,1.5282810635e+00,2.679546e+03,2025-11-14T18:43:50.131813Z
200,1.3101693578e+00,2.296986e+03,2025-11-14T18:43:50.233469Z
225,1.3896908338e+00,2.436464e+03,2025-11-14T18:43:50.331386Z
250,1.6557173783e+00,2.903064e+03,2025-11-14T18:43:50.407457Z
275,1.9227037993e+00,3.371348e+03,2025-11-14T18:43:50.474731Z
300,2.0530284563e+00,3.599932e+03,2025-11-14T18:43:50.543647Z
325,2.0255750445e+00,3.551780e+03,2025-11-14T18:43:50.627467Z
350,1.9177616779e+00,3.362679e+03,2025-11-14T18:43:50.713957Z
375,1.8362945994e+00,3.219789e+03,2025-11-14T18:43:50.787725Z
400,1.8456712302e+00,3.236236e+03,2025-11-14T18:43:50.860030Z
425,1.9404243458e+00,3.402429e+03,2025-11-14T18:43:50.926106Z
450,2.0648585891e+00,3.620682e+03,2025-11-14T18:43:51.001984Z
475,2.1582503229e+00,3.784487e+03,2025-11-14T18:43:51.109551Z
500,2.1920608716e+00,3.843790e+03,2025-11-14T18:43:51.195409Z
525,2.1788351730e+00,3.820592e+03,2025-11-14T18:43:51.307984Z
550,2.1548942669e+00,3.778601e+03,2025-11-14T18:43:51.396209Z
575,2.1524044897e+00,3.774234e+03,2025-11-14T18:43:51.475697Z
600,2.1819946683e+00,3.826134e+03,2025-11-14T18:43:51.558089Z
625,2.2314219917e+00,3.912827e+03,2025-11-14T18:43:51.648287Z
650,2.2798463918e+00,3.997762e+03,2025-11-14T18:43:51.762139Z
675,2.3121901839e+00,4.054492e+03,2025-11-14T18:43:51.878881Z
700,2.3281648296e+00,4.082511e+03,2025-11-14T18:43:51.988272Z
725,2.3379455231e+00,4.099666e+03,2025-11-14T18:43:52.084212Z
750,2.3543454825e+00,4.128430e+03,2025-11-14T18:43:52.178953Z
775,2.3827728763e+00,4.178291e+03,2025-11-14T18:43:52.277865Z
800,2.4200996667e+00,4.243761e+03,2025-11-14T18:43:52.398546Z
825,2.4565097146e+00,4.307623e+03,2025-11-14T18:43:52.514542Z
850,2.4833597299e+00,4.354716e+03,2025-11-14T18:43:52.616280Z
875,2.4961406106e+00,4.377134e+03,2025-11-14T18:43:52.731505Z
900,2.4969641655e+00,4.378578e+03,2025-11-14T18:43:52.826255Z
925,2.4903236116e+00,4.366931e+03,2025-11-14T18:43:52.936361Z
950,2.4812144129e+00,4.350954e+03,2025-11-14T18:43:53.084456Z
975,2.4712776646e+00,4.333525e+03,2025-11-14T18:43:53.216620Z
1000,2.4605262193e+00,4.314667e+03,2025-11-14T18:43:53.360314Z
1025,2.4474659100e+00,4.291760e+03,2025-11-14T18:43:53.498947Z
1050,2.4326227068e+00,4.265726e+03,2025-11-14T18:43:53.618222Z
1075,2.4181675665e+00,4.240372e+03,2025-11-14T18:43:53.749437Z
1100,2.4093134133e+00,4.224842e+03,2025-11-14T18:43:53.902642Z
1125,2.4119657194e+00,4.229494e+03,2025-11-14T18:43:54.007960Z
1150,2.4324432242e+00,4.265411e+03,2025-11-14T18:43:54.106493Z
1175,2.4739415305e+00,4.338197e+03,2025-11-14T18:43:54.193166Z
1200,2.5353352742e+00,4.445880e+03,2025-11-14T18:43:54.293765Z
1225,2.6089660637e+00,4.575025e+03,2025-11-14T18:43:54.393246Z
1250,2.6821501397e+00,4.703387e+03,2025-11-14T18:43:54.505360Z
1275,2.7361692440e+00,4.798135e+03,2025-11-14T18:43:54.607266Z
1300,2.7491578169e+00,4.820916e+03,2025-11-14T18:43:54.707507Z
1325,2.7089427926e+00,4.750380e+03,2025-11-14T18:43:54.795415Z
1350,2.6351521436e+00,4.620954e+03,2025-11-14T18:43:54.898794Z
1375,2.5754935179e+00,4.516316e+03,2025-11-14T18:43:54.983319Z
1400,2.5664415488e+00,4.500439e+03,2025-11-14T18:43:55.069632Z
1425,2.6001769208e+00,4.559609e+03,2025-11-14T18:43:55.181506Z
1450,2.6349108045e+00,4.620531e+03,2025-11-14T18:43:55.290709Z
1475,2.6218220469e+00,4.597574e+03,2025-11-14T18:43:55.384209Z
1500,2.5344738900e+00,4.444369e+03,2025-11-14T18:43:55.475404Z
1525,2.3951132017e+00,4.199935e+03,2025-11-14T18:43:55.561935Z
1550,2.2640491066e+00,3.970054e+03,2025-11-14T18:43:55.649458Z
1575,2.1965243162e+00,3.851618e+03,2025-11-14T18:43:55.738249Z
1600,2.2167984210e+00,3.887178e+03,2025-11-14T18:43:55.831506Z
1625,2.3065244568e+00,4.044554e+03,2025-11-14T18:43:55.943335Z
1650,2.4157072119e+00,4.236057e+03,2025-11-14T18:43:56.033444Z
1675,2.5011237170e+00,4.385874e+03,2025-11-14T18:43:56.119240Z
1700,2.5471359668e+00,4.466578e+03,2025-11-14T18:43:56.208376Z
1725,2.5650732042e+00,4.498039e+03,2025-11-14T18:43:56.289914Z
1750,2.5830221365e+00,4.529520e+03,2025-11-14T18:43:56.430489Z
1775,2.6148012544e+00,4.585260e+03,2025-11-14T18:43:56.522285Z
1800,2.6507297915e+00,4.648277e+03,2025-11-14T18:43:56.651651Z
1825,2.6649917427e+00,4.673292e+03,2025-11-14T18:43:56.739252Z
1850,2.6294648143e+00,4.610979e+03,2025-11-14T18:43:56.825086Z
1875,2.5389110485e+00,4.452151e+03,2025-11-14T18:43:56.918318Z
1900,2.4144804395e+00,4.233905e+03,2025-11-14T18:43:57.004438Z
1925,2.2942709651e+00,4.023062e+03,2025-11-14T18:43:57.128850Z
1950,2.2197796873e+00,3.892407e+03,2025-11-14T18:43:57.210789Z
1975,2.2117901415e+00,3.878394e+03,2025-11-14T18:43:57.299600Z
2000,2.2703324802e+00,3.981075e+03,2025-11-14T18:43:57.411260Z
2025,2.3737269288e+00,4.162425e+03,2025-11-14T18:43:57.513331Z
2050,2.4905623974e+00,4.367350e+03,2025-11-14T18:43:57.606924Z
2075,2.5912829329e+00,4.544010e+03,2025-11-14T18:43:57.709174Z
2100,2.6496642136e+00,4.646408e+03,2025-11-14T18:43:57.822471Z
2125,2.6488043261e+00,4.644900e+03,2025-11-14T18:43:57.935829Z
2150,2.5789428697e+00,4.522366e+03,2025-11-14T18:43:58.151414Z
2175,2.4418894267e+00,4.281979e+03,2025-11-14T18:43:58.337204Z
2200,2.2580197846e+00,3.959479e+03,2025-11-14T18:43:58.477857Z
2225,2.0637287766e+00,3.618700e+03,2025-11-14T18:43:58.756102Z
