time,delta_E
0.0,24.347466419827224
0.5,24.065482260846743
1.0,23.237457164837
1.5,21.899513559037157
2.0,20.1100129697795
2.5,17.947013727543517
3.0,15.504866322194369
3.5,12.890097551638847
4.0,10.216763943431147
4.5,7.601476538215304
5.0,5.1583142778383575
5.5,2.9938479118956796
6.0,1.2024913232276095
6.5,0.1376167796173633
7.0,0.9680212884285475
7.5,1.2525004998232119
8.0,0.9786460929168763
8.5,0.1584043667169901
9.0,1.1724448769660671
9.5,2.9558490731877693
10.0,5.114015174963153
10.5,7.55280300713638
11.0,10.165831701445551
11.5,12.839120044354813
12.0,15.456058374851034
12.5,17.902495117739804
13.0,20.071716089884244
13.5,21.869099401257202
14.0,23.216242855363785
14.5,24.05438387236579
15.0,24.34696270358937
15.5,24.081217160212145
16.0,23.268739296521574
16.5,21.944969734088218
17.0,20.167651733876497
17.5,18.014312401566553
18.0,15.578880931016672
18.5,12.967591388374515
19.0,10.29434874638713
19.5,7.675760331060693
20.0,5.226049378597305
20.5,3.0520725994889197
21.0,1.2486590713745762
21.5,0.10552622054152638
22.0,0.9514137547145008
22.5,1.2521060902964427
23.0,0.9944873286589366
23.5,0.1897952207321234
24.0,1.1268690382001318
24.5,2.8980719395244856
25.0,5.046552934464651
25.5,7.478594561910975
26.0,10.088110430574899
26.5,12.761272735140329
27.0,15.381477447694346
27.5,17.834430614009598
28.0,20.01313387303476
28.5,21.822551745750182
29.0,23.183757096552817
29.5,24.03737394052132
30.0,24.34616743232431
30.5,24.096668043122847
31.0,23.29975909819072
31.5,21.990202033168146
32.0,20.225120082358547
32.5,18.081506547101093
33.0,15.652866320857092
33.5,13.045137185012328
34.0,10.37206877572409
34.5,7.750260799741635
35.0,5.294076933463811
35.5,3.1106562556966617
36.0,1.2952398254040645
36.5,0.0729837486712328
37.0,0.9343325240196527
37.5,1.2512345549621913
38.0,1.0098667806730015
38.5,0.22075798116933076
39.0,1.0816704984834888
39.5,2.8406062220636077
40.0,4.979323838622608
40.5,7.4045318645876295
41.0,10.010442079929796
41.5,12.683384036029649
42.0,15.306763383657232
42.5,17.76614774128423
43.0,19.95425825777248
43.5,21.775649131300586
44.0,23.15087097202139
44.5,24.01993639220531
45.0,24.3449366619116
45.5,24.111695288882398
46.0,23.330386390235663
46.5,22.03509089090484
47.0,20.282309897641554
47.5,18.148500104828088
48.0,15.726738733396685
48.5,13.122663478933127
49.0,10.449864574164781
49.5,7.824929957716425
50.0,5.362359687169351
50.5,3.1695714256113785
51.0,1.3422148650305263
51.5,0.040000526677990145
52.0,0.9167824437386767
52.5,1.2498856979007837
53.0,1.0247804747814049
53.5,0.2512861203699792
54.0,1.0368571870794592
54.5,2.783460196597021
55.0,4.9123355754382185
55.5,7.330621220069017
56.0,9.932830922492323
56.5,12.60545570046728
57.0,15.231915083183525
57.5,17.697642371928993
58.0,19.895082060861736
58.5,21.728381425405306
59.0,23.117571631949414
59.5,24.002055990181912
60.0,24.343253185010617
60.5,24.12628019670214
61.0,23.360601494083532
61.5,22.079616186755448
62.0,20.339201145128374
62.5,18.215273634334544
63.0,15.800479786373229
63.5,13.200153354121259
64.0,10.527721031609895
64.5,7.89975475986235
65.0,5.43088683637712
65.5,3.228809635367342
66.0,1.3895780479483772
66.5,0.006580446236318149
67.0,0.8987653124400115
67.5,1.2480594488352252
68.0,1.0392267523212948
68.5,0.28137671497911554
69.0,0.9924329389440112
69.5,2.726638241905853
70.0,4.845592698249458
70.5,7.256867001491083
71.0,9.855280821170732
71.5,12.527490789516769
72.0,15.156934561054962
72.5,17.628915283582096
73.0,19.835604693832117
73.5,21.68074660500854
74.0,23.083855615099136
74.5,23.983727891758694
75.0,24.341110890347306
